frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,74,172.19.0.10,172.19.0.5
0.000043000,74,172.19.0.5,172.19.0.10
0.000111000,66,172.19.0.10,172.19.0.5
0.001524000,103,172.19.0.10,172.19.0.5
0.001545000,66,172.19.0.5,172.19.0.10
0.002898000,70,172.19.0.5,172.19.0.10
0.002992000,66,172.19.0.10,172.19.0.5
0.003585000,571,172.19.0.10,172.19.0.5
0.003613000,66,172.19.0.5,172.19.0.10
0.004258000,170,172.19.0.5,172.19.0.10
0.004373000,66,172.19.0.10,172.19.0.5
5.216128000,42,,
5.216176000,42,,
5.216187000,42,,
5.216196000,42,,
16.004004000,74,172.19.0.7,172.19.0.5
16.004085000,66,172.19.0.5,172.19.0.7
16.004566000,74,172.19.0.5,172.19.0.10
16.004683000,66,172.19.0.10,172.19.0.5
17.004134000,74,172.19.0.7,172.19.0.5
17.004158000,66,172.19.0.5,172.19.0.7
17.004582000,74,172.19.0.5,172.19.0.10
17.004691000,66,172.19.0.10,172.19.0.5
18.005073000,74,172.19.0.7,172.19.0.5
18.005100000,66,172.19.0.5,172.19.0.7
18.005455000,74,172.19.0.5,172.19.0.10
18.005566000,66,172.19.0.10,172.19.0.5
19.005655000,74,172.19.0.7,172.19.0.5
19.005680000,66,172.19.0.5,172.19.0.7
19.006220000,74,172.19.0.5,172.19.0.10
19.006321000,66,172.19.0.10,172.19.0.5
20.010512000,74,172.19.0.7,172.19.0.5
20.010554000,66,172.19.0.5,172.19.0.7
20.011065000,74,172.19.0.5,172.19.0.10
20.011181000,66,172.19.0.10,172.19.0.5
21.008793000,74,172.19.0.7,172.19.0.5
21.008841000,66,172.19.0.5,172.19.0.7
21.009295000,74,172.19.0.5,172.19.0.10
21.009412000,66,172.19.0.10,172.19.0.5
22.013553000,74,172.19.0.7,172.19.0.5
22.013580000,66,172.19.0.5,172.19.0.7
22.014079000,74,172.19.0.5,172.19.0.10
22.014162000,66,172.19.0.10,172.19.0.5
23.013653000,74,172.19.0.7,172.19.0.5
23.013696000,66,172.19.0.5,172.19.0.7
23.014194000,74,172.19.0.5,172.19.0.10
23.014292000,66,172.19.0.10,172.19.0.5
24.012547000,74,172.19.0.7,172.19.0.5
24.012572000,66,172.19.0.5,172.19.0.7
24.012978000,74,172.19.0.5,172.19.0.10
24.013114000,66,172.19.0.10,172.19.0.5
25.012767000,74,172.19.0.7,172.19.0.5
25.012797000,66,172.19.0.5,172.19.0.7
25.013399000,74,172.19.0.5,172.19.0.10
25.013494000,66,172.19.0.10,172.19.0.5
25.183955000,42,,
25.184009000,42,,
26.013231000,74,172.19.0.7,172.19.0.5
26.013257000,66,172.19.0.5,172.19.0.7
26.014514000,74,172.19.0.5,172.19.0.10
26.014606000,66,172.19.0.10,172.19.0.5
27.016422000,74,172.19.0.7,172.19.0.5
27.016453000,66,172.19.0.5,172.19.0.7
27.018047000,74,172.19.0.5,172.19.0.10
27.018236000,66,172.19.0.10,172.19.0.5
28.015903000,74,172.19.0.7,172.19.0.5
28.015946000,66,172.19.0.5,172.19.0.7
28.016321000,74,172.19.0.5,172.19.0.10
28.016412000,66,172.19.0.10,172.19.0.5
29.016729000,74,172.19.0.7,172.19.0.5
29.016759000,66,172.19.0.5,172.19.0.7
29.017095000,74,172.19.0.5,172.19.0.10
29.017203000,66,172.19.0.10,172.19.0.5
30.017074000,74,172.19.0.7,172.19.0.5
30.017101000,66,172.19.0.5,172.19.0.7
30.017638000,74,172.19.0.5,172.19.0.10
30.017729000,66,172.19.0.10,172.19.0.5
31.017825000,74,172.19.0.7,172.19.0.5
31.017853000,66,172.19.0.5,172.19.0.7
31.019004000,74,172.19.0.5,172.19.0.10
31.019375000,66,172.19.0.10,172.19.0.5
32.019978000,74,172.19.0.7,172.19.0.5
32.020024000,66,172.19.0.5,172.19.0.7
32.022345000,74,172.19.0.5,172.19.0.10
32.022442000,66,172.19.0.10,172.19.0.5
33.020071000,74,172.19.0.7,172.19.0.5
33.020217000,66,172.19.0.5,172.19.0.7
33.020671000,74,172.19.0.5,172.19.0.10
33.020747000,66,172.19.0.10,172.19.0.5
34.020722000,74,172.19.0.7,172.19.0.5
34.020746000,66,172.19.0.5,172.19.0.7
34.021699000,74,172.19.0.5,172.19.0.10
34.021796000,66,172.19.0.10,172.19.0.5
34.022319000,68,172.19.0.5,172.19.0.7
34.022730000,68,172.19.0.7,172.19.0.5
34.022757000,66,172.19.0.5,172.19.0.7
35.021394000,73,172.19.0.7,172.19.0.5
35.021447000,66,172.19.0.5,172.19.0.7
35.021993000,73,172.19.0.5,172.19.0.10
35.022077000,66,172.19.0.10,172.19.0.5
36.024405000,74,172.19.0.7,172.19.0.5
36.024430000,66,172.19.0.5,172.19.0.7
36.025135000,74,172.19.0.5,172.19.0.10
36.025231000,66,172.19.0.10,172.19.0.5
37.022664000,74,172.19.0.7,172.19.0.5
37.022694000,66,172.19.0.5,172.19.0.7
37.023253000,74,172.19.0.5,172.19.0.10
37.023348000,66,172.19.0.10,172.19.0.5
38.022876000,74,172.19.0.7,172.19.0.5
38.022901000,66,172.19.0.5,172.19.0.7
38.023321000,74,172.19.0.5,172.19.0.10
38.023581000,66,172.19.0.10,172.19.0.5
39.023938000,74,172.19.0.7,172.19.0.5
