frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,75,172.19.0.6,172.19.0.2
0.000404000,71,172.19.0.2,172.19.0.6
0.000476000,75,172.19.0.6,172.19.0.2
0.000602000,71,172.19.0.2,172.19.0.6
0.000835000,66,172.19.0.6,172.19.0.2
0.000861000,75,172.19.0.6,172.19.0.2
0.001017000,71,172.19.0.2,172.19.0.6
0.001073000,66,172.19.0.6,172.19.0.2
0.001674000,75,172.19.0.6,172.19.0.2
0.002136000,71,172.19.0.2,172.19.0.6
0.002197000,66,172.19.0.6,172.19.0.2
0.002325000,75,172.19.0.6,172.19.0.2
0.002660000,71,172.19.0.2,172.19.0.6
0.002864000,66,172.19.0.6,172.19.0.2
0.003106000,75,172.19.0.6,172.19.0.2
0.003385000,71,172.19.0.2,172.19.0.6
0.003440000,66,172.19.0.6,172.19.0.2
0.003690000,75,172.19.0.6,172.19.0.2
0.004101000,71,172.19.0.2,172.19.0.6
0.004161000,66,172.19.0.6,172.19.0.2
0.004500000,75,172.19.0.6,172.19.0.2
0.004964000,71,172.19.0.2,172.19.0.6
0.005024000,66,172.19.0.6,172.19.0.2
0.005367000,75,172.19.0.6,172.19.0.2
0.006393000,71,172.19.0.2,172.19.0.6
0.006462000,75,172.19.0.6,172.19.0.2
0.007044000,71,172.19.0.2,172.19.0.6
0.007401000,75,172.19.0.6,172.19.0.2
0.008082000,71,172.19.0.2,172.19.0.6
0.008151000,75,172.19.0.6,172.19.0.2
0.008331000,71,172.19.0.2,172.19.0.6
0.008815000,75,172.19.0.6,172.19.0.2
0.009370000,71,172.19.0.2,172.19.0.6
0.009438000,75,172.19.0.6,172.19.0.2
0.009604000,71,172.19.0.2,172.19.0.6
0.009867000,75,172.19.0.6,172.19.0.2
0.010260000,71,172.19.0.2,172.19.0.6
0.010628000,75,172.19.0.6,172.19.0.2
0.011268000,71,172.19.0.2,172.19.0.6
0.011728000,75,172.19.0.6,172.19.0.2
0.012462000,71,172.19.0.2,172.19.0.6
0.012529000,84,172.19.0.6,172.19.0.2
0.012831000,71,172.19.0.2,172.19.0.6
0.012894000,84,172.19.0.6,172.19.0.2
0.013081000,71,172.19.0.2,172.19.0.6
