frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,42,,
0.000014000,42,,
0.003691000,42,,
0.003744000,42,,
1.944597000,68,172.19.0.7,172.19.0.8
1.945069000,68,172.19.0.8,172.19.0.7
1.945093000,66,172.19.0.7,172.19.0.8
3.072011000,42,,
3.072016000,42,,
3.072025000,42,,
3.072108000,42,,
7.168238000,42,,
7.168254000,42,,
7.168263000,42,,
7.168756000,42,,
18.366575000,75,172.19.0.8,172.19.0.7
18.366666000,66,172.19.0.7,172.19.0.8
18.366991000,75,172.19.0.7,172.19.0.5
18.367204000,66,172.19.0.5,172.19.0.7
18.367251000,75,172.19.0.7,172.19.0.4
18.367372000,66,172.19.0.4,172.19.0.7
19.368579000,76,172.19.0.8,172.19.0.7
19.368608000,66,172.19.0.7,172.19.0.8
19.369007000,76,172.19.0.7,172.19.0.5
19.369077000,66,172.19.0.5,172.19.0.7
19.369147000,76,172.19.0.7,172.19.0.4
19.369259000,66,172.19.0.4,172.19.0.7
20.368927000,75,172.19.0.8,172.19.0.7
20.368951000,66,172.19.0.7,172.19.0.8
20.369590000,75,172.19.0.7,172.19.0.5
20.369705000,66,172.19.0.5,172.19.0.7
20.369753000,75,172.19.0.7,172.19.0.4
20.369851000,66,172.19.0.4,172.19.0.7
21.369846000,76,172.19.0.8,172.19.0.7
21.369867000,66,172.19.0.7,172.19.0.8
21.370622000,76,172.19.0.7,172.19.0.5
21.370718000,66,172.19.0.5,172.19.0.7
21.370774000,76,172.19.0.7,172.19.0.4
21.370932000,66,172.19.0.4,172.19.0.7
22.372908000,76,172.19.0.8,172.19.0.7
22.372951000,66,172.19.0.7,172.19.0.8
22.373487000,76,172.19.0.7,172.19.0.5
22.373701000,66,172.19.0.5,172.19.0.7
22.373771000,76,172.19.0.7,172.19.0.4
22.373968000,66,172.19.0.4,172.19.0.7
23.374952000,76,172.19.0.8,172.19.0.7
23.374978000,66,172.19.0.7,172.19.0.8
23.375428000,76,172.19.0.7,172.19.0.5
23.375581000,66,172.19.0.5,172.19.0.7
23.375628000,76,172.19.0.7,172.19.0.4
23.375768000,66,172.19.0.4,172.19.0.7
24.374293000,76,172.19.0.8,172.19.0.7
24.374318000,66,172.19.0.7,172.19.0.8
24.374630000,76,172.19.0.7,172.19.0.5
24.374779000,66,172.19.0.5,172.19.0.7
24.374840000,76,172.19.0.7,172.19.0.4
24.374940000,66,172.19.0.4,172.19.0.7
25.375202000,76,172.19.0.8,172.19.0.7
25.375267000,66,172.19.0.7,172.19.0.8
25.375716000,76,172.19.0.7,172.19.0.5
25.375935000,66,172.19.0.5,172.19.0.7
25.375998000,76,172.19.0.7,172.19.0.4
25.376183000,66,172.19.0.4,172.19.0.7
26.376239000,75,172.19.0.8,172.19.0.7
26.376351000,66,172.19.0.7,172.19.0.8
26.376566000,75,172.19.0.7,172.19.0.5
26.376660000,66,172.19.0.5,172.19.0.7
26.376699000,75,172.19.0.7,172.19.0.4
26.376920000,66,172.19.0.4,172.19.0.7
27.377647000,76,172.19.0.8,172.19.0.7
27.377670000,66,172.19.0.7,172.19.0.8
27.378443000,76,172.19.0.7,172.19.0.5
27.378674000,66,172.19.0.5,172.19.0.7
27.378759000,76,172.19.0.7,172.19.0.4
27.378922000,66,172.19.0.4,172.19.0.7
28.378411000,76,172.19.0.8,172.19.0.7
28.378445000,66,172.19.0.7,172.19.0.8
28.378701000,76,172.19.0.7,172.19.0.5
28.378816000,66,172.19.0.5,172.19.0.7
28.378877000,76,172.19.0.7,172.19.0.4
28.379000000,66,172.19.0.4,172.19.0.7
29.379205000,76,172.19.0.8,172.19.0.7
29.379225000,66,172.19.0.7,172.19.0.8
29.380244000,76,172.19.0.7,172.19.0.5
29.380410000,66,172.19.0.5,172.19.0.7
29.380455000,76,172.19.0.7,172.19.0.4
29.380582000,66,172.19.0.4,172.19.0.7
30.379692000,76,172.19.0.8,172.19.0.7
30.379715000,66,172.19.0.7,172.19.0.8
30.380244000,76,172.19.0.7,172.19.0.5
30.380380000,66,172.19.0.5,172.19.0.7
30.380428000,76,172.19.0.7,172.19.0.4
30.380539000,66,172.19.0.4,172.19.0.7
30.464193000,42,,
30.464207000,42,,
31.381609000,76,172.19.0.8,172.19.0.7
31.381631000,66,172.19.0.7,172.19.0.8
31.381948000,76,172.19.0.7,172.19.0.5
31.382231000,66,172.19.0.5,172.19.0.7
31.382280000,76,172.19.0.7,172.19.0.4
