frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.3,172.19.0.6
0.000544000,68,172.19.0.6,172.19.0.3
0.001041000,66,172.19.0.3,172.19.0.6
0.961800000,68,172.19.0.8,172.19.0.6
0.962189000,68,172.19.0.6,172.19.0.8
0.962344000,66,172.19.0.8,172.19.0.6
0.962433000,68,172.19.0.6,172.19.0.2
0.962606000,68,172.19.0.6,172.19.0.3
0.962893000,68,172.19.0.3,172.19.0.6
0.962944000,66,172.19.0.6,172.19.0.3
0.963175000,68,172.19.0.6,172.19.0.8
0.963590000,68,172.19.0.8,172.19.0.6
0.963619000,66,172.19.0.6,172.19.0.8
0.964009000,68,172.19.0.2,172.19.0.6
0.964054000,66,172.19.0.6,172.19.0.2
0.964144000,68,172.19.0.2,172.19.0.6
0.965963000,68,172.19.0.6,172.19.0.2
0.966149000,66,172.19.0.2,172.19.0.6
6.117415000,42,,
6.117428000,42,,
6.121367000,42,,
6.121381000,42,,
6.121459000,42,,
6.121468000,42,,
6.121478000,42,,
6.121487000,42,,
60.000080000,68,172.19.0.3,172.19.0.6
60.000322000,68,172.19.0.6,172.19.0.3
60.000429000,66,172.19.0.3,172.19.0.6
60.996716000,68,172.19.0.2,172.19.0.6
60.997195000,68,172.19.0.6,172.19.0.2
60.997351000,66,172.19.0.2,172.19.0.6
60.997392000,68,172.19.0.6,172.19.0.2
60.997492000,68,172.19.0.6,172.19.0.3
60.997646000,68,172.19.0.6,172.19.0.8
60.997681000,68,172.19.0.2,172.19.0.6
60.997704000,66,172.19.0.6,172.19.0.2
60.997872000,68,172.19.0.8,172.19.0.6
60.997910000,66,172.19.0.6,172.19.0.8
60.997963000,68,172.19.0.3,172.19.0.6
60.997983000,66,172.19.0.6,172.19.0.3
60.998161000,68,172.19.0.8,172.19.0.6
60.998506000,68,172.19.0.6,172.19.0.8
60.998570000,66,172.19.0.8,172.19.0.6
66.021484000,42,,
66.021499000,42,,
66.021508000,42,,
66.021518000,42,,
66.024833000,42,,
66.024845000,42,,
66.024909000,42,,
66.024918000,42,,
68.581511000,70,,
