frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,74,172.19.0.4,172.19.0.5,,,,,
0.000054000,74,172.19.0.5,172.19.0.4,,,,,
0.000138000,66,172.19.0.4,172.19.0.5,,,,,
0.000285000,152,172.19.0.4,172.19.0.5,1,,,,
0.000312000,66,172.19.0.5,172.19.0.4,,,,,
0.000584000,70,172.19.0.5,172.19.0.4,2,,,,
0.000713000,66,172.19.0.4,172.19.0.5,,,,,
0.001475000,121,172.19.0.4,172.19.0.5,3,1,$SYS/broker/connection/226902cc54a5.b3->b4/state,31,2
0.001504000,66,172.19.0.5,172.19.0.4,,,,,
0.001706000,70,172.19.0.5,172.19.0.4,4,,,,2
0.001863000,66,172.19.0.4,172.19.0.5,,,,,
0.001934000,82,172.19.0.4,172.19.0.5,8,,exmp/temp,,3
0.001959000,66,172.19.0.5,172.19.0.4,,,,,
0.002221000,71,172.19.0.5,172.19.0.4,9,,,,3
0.002387000,66,172.19.0.4,172.19.0.5,,,,,
0.910507000,74,172.19.0.5,172.19.0.6,,,,,
0.910622000,74,172.19.0.6,172.19.0.5,,,,,
0.910667000,66,172.19.0.5,172.19.0.6,,,,,
0.910811000,152,172.19.0.5,172.19.0.6,1,,,,
0.910871000,66,172.19.0.6,172.19.0.5,,,,,
0.911459000,70,172.19.0.6,172.19.0.5,2,,,,
0.911487000,66,172.19.0.5,172.19.0.6,,,,,
0.911670000,121,172.19.0.5,172.19.0.6,3,1,$SYS/broker/connection/eefad1da9baa.b4->b5/state,31,2
0.911848000,66,172.19.0.6,172.19.0.5,,,,,
0.911884000,82,172.19.0.5,172.19.0.6,8,,exmp/temp,,3
0.911942000,66,172.19.0.6,172.19.0.5,,,,,
0.912120000,70,172.19.0.6,172.19.0.5,4,,,,2
0.912149000,66,172.19.0.5,172.19.0.6,,,,,
0.912518000,71,172.19.0.6,172.19.0.5,9,,,,3
0.912543000,66,172.19.0.5,172.19.0.6,,,,,
3.813983000,75,172.19.0.6,172.19.0.5,8,,a0,,5
3.814123000,66,172.19.0.5,172.19.0.6,,,,,
3.815729000,75,172.19.0.5,172.19.0.4,8,,a0,,6
3.815841000,71,172.19.0.5,172.19.0.6,9,,,,5
3.816015000,66,172.19.0.6,172.19.0.5,,,,,
3.817374000,71,172.19.0.4,172.19.0.5,9,,,,6
3.817411000,66,172.19.0.5,172.19.0.4,,,,,
9.116889000,76,172.19.0.4,172.19.0.5,3,1,a0,3137,1
9.117011000,66,172.19.0.5,172.19.0.4,,,,,
9.118036000,76,172.19.0.4,172.19.0.5,3,1,a0,3137,2
9.118078000,66,172.19.0.5,172.19.0.4,,,,,
9.119100000,76,172.19.0.5,172.19.0.6,3,1,a0,3137,1
9.119167000,76,172.19.0.4,172.19.0.5,3,1,a0,3137,3
9.119198000,66,172.19.0.5,172.19.0.4,,,,,
9.119270000,66,172.19.0.6,172.19.0.5,,,,,
