frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,74,172.19.0.9,172.19.0.6,,,,,
0.000052000,74,172.19.0.6,172.19.0.9,,,,,
0.000105000,66,172.19.0.9,172.19.0.6,,,,,
0.000253000,103,172.19.0.9,172.19.0.6,1,,,,
0.000280000,66,172.19.0.6,172.19.0.9,,,,,
0.000571000,70,172.19.0.6,172.19.0.9,2,,,,
0.000670000,66,172.19.0.9,172.19.0.6,,,,,
0.001374000,321,172.19.0.9,172.19.0.6,8,,a0^a1^a2^a3^a4^a5^a6^a7^a8^a9^b0^b1^b2^b3^b4^b5^b6^b7^b8^b9^c0^c1^c2^c3^c4^c5^c6^c7^c8^c9^d0^d1^d2^d3^d4^d5^d6^d7^d8^d9^e0^e1^e2^e3^e4^e5^e6^e7^e8^e9,,1
0.001409000,66,172.19.0.6,172.19.0.9,,,,,
0.002091000,120,172.19.0.6,172.19.0.9,9,,,,1
0.002179000,66,172.19.0.9,172.19.0.6,,,,,
5.147620000,42,,,,,,,
5.147674000,42,,,,,,,
5.147687000,42,,,,,,,
5.147700000,42,,,,,,,
5.205089000,76,172.19.0.5,172.19.0.6,3,1,a0,3933,1
5.205188000,66,172.19.0.6,172.19.0.5,,,,,
5.206230000,76,172.19.0.6,172.19.0.9,3,1,a0,3933,1
5.206349000,66,172.19.0.9,172.19.0.6,,,,,
5.206404000,76,172.19.0.6,172.19.0.7,3,1,a0,3933,1
5.206508000,66,172.19.0.7,172.19.0.6,,,,,
5.206554000,70,172.19.0.6,172.19.0.5,4,,,,1
5.206584000,70,172.19.0.9,172.19.0.6,4,,,,1
5.206612000,66,172.19.0.6,172.19.0.9,,,,,
5.206650000,66,172.19.0.5,172.19.0.6,,,,,
5.206950000,70,172.19.0.7,172.19.0.6,4,,,,1
5.206974000,66,172.19.0.6,172.19.0.7,,,,,
6.206299000,76,172.19.0.5,172.19.0.6,3,1,a0,3433,2
6.206370000,66,172.19.0.6,172.19.0.5,,,,,
6.206847000,76,172.19.0.6,172.19.0.9,3,1,a0,3433,2
6.206981000,66,172.19.0.9,172.19.0.6,,,,,
6.207088000,76,172.19.0.6,172.19.0.7,3,1,a0,3433,2
6.207279000,66,172.19.0.7,172.19.0.6,,,,,
6.207393000,70,172.19.0.6,172.19.0.5,4,,,,2
6.207463000,70,172.19.0.9,172.19.0.6,4,,,,2
6.207696000,66,172.19.0.6,172.19.0.9,,,,,
6.207724000,66,172.19.0.5,172.19.0.6,,,,,
6.208029000,70,172.19.0.7,172.19.0.6,4,,,,2
