frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,74,172.19.0.10,172.19.0.2,,,,,
0.000065000,74,172.19.0.2,172.19.0.10,,,,,
0.000132000,66,172.19.0.10,172.19.0.2,,,,,
0.000267000,103,172.19.0.10,172.19.0.2,1,,,,
0.000403000,66,172.19.0.2,172.19.0.10,,,,,
0.000894000,70,172.19.0.2,172.19.0.10,2,,,,
0.000953000,66,172.19.0.10,172.19.0.2,,,,,
0.001454000,76,172.19.0.10,172.19.0.2,3,2,a0,3539,1
0.001491000,66,172.19.0.2,172.19.0.10,,,,,
0.001843000,70,172.19.0.2,172.19.0.10,5,,,,1
0.001934000,66,172.19.0.10,172.19.0.2,,,,,
0.002176000,70,172.19.0.10,172.19.0.2,6,,,,1
0.002200000,66,172.19.0.2,172.19.0.10,,,,,
0.002474000,76,172.19.0.2,172.19.0.3,3,1,a0,3539,1
0.002619000,66,172.19.0.3,172.19.0.2,,,,,
0.002672000,70,172.19.0.2,172.19.0.10,7,,,,1
0.002762000,66,172.19.0.10,172.19.0.2,,,,,
0.003248000,70,172.19.0.3,172.19.0.2,4,,,,1
0.003274000,66,172.19.0.2,172.19.0.3,,,,,
1.002100000,76,172.19.0.10,172.19.0.2,3,2,a0,3734,2
1.002174000,66,172.19.0.2,172.19.0.10,,,,,
1.002874000,70,172.19.0.2,172.19.0.10,5,,,,2
1.002955000,66,172.19.0.10,172.19.0.2,,,,,
1.004499000,70,172.19.0.10,172.19.0.2,6,,,,2
1.004524000,66,172.19.0.2,172.19.0.10,,,,,
1.005479000,76,172.19.0.2,172.19.0.3,3,1,a0,3734,2
1.005597000,66,172.19.0.3,172.19.0.2,,,,,
1.005641000,70,172.19.0.2,172.19.0.10,7,,,,2
1.005698000,66,172.19.0.10,172.19.0.2,,,,,
1.006150000,70,172.19.0.3,172.19.0.2,4,,,,2
1.006176000,66,172.19.0.2,172.19.0.3,,,,,
2.003203000,76,172.19.0.10,172.19.0.2,3,2,a0,3434,3
2.003356000,66,172.19.0.2,172.19.0.10,,,,,
2.004182000,70,172.19.0.2,172.19.0.10,5,,,,3
2.004292000,66,172.19.0.10,172.19.0.2,,,,,
2.004592000,70,172.19.0.10,172.19.0.2,6,,,,3
2.004923000,76,172.19.0.2,172.19.0.3,3,1,a0,3434,3
2.005042000,66,172.19.0.3,172.19.0.2,,,,,
2.005092000,70,172.19.0.2,172.19.0.10,7,,,,3
2.005172000,66,172.19.0.10,172.19.0.2,,,,,
2.005487000,70,172.19.0.3,172.19.0.2,4,,,,3
2.005509000,66,172.19.0.2,172.19.0.3,,,,,
3.004532000,76,172.19.0.10,172.19.0.2,3,2,a0,3937,4
3.004889000,70,172.19.0.2,172.19.0.10,5,,,,4
3.005010000,66,172.19.0.10,172.19.0.2,,,,,
3.005282000,70,172.19.0.10,172.19.0.2,6,,,,4
3.005579000,76,172.19.0.2,172.19.0.3,3,1,a0,3937,4
3.005727000,70,172.19.0.2,172.19.0.10,7,,,,4
3.005811000,66,172.19.0.10,172.19.0.2,,,,,
3.006209000,70,172.19.0.3,172.19.0.2,4,,,,4
3.006232000,66,172.19.0.2,172.19.0.3,,,,,
4.005557000,76,172.19.0.10,172.19.0.2,3,2,a0,3332,5
4.006146000,70,172.19.0.2,172.19.0.10,5,,,,5
4.006251000,66,172.19.0.10,172.19.0.2,,,,,
4.006772000,70,172.19.0.10,172.19.0.2,6,,,,5
4.007577000,76,172.19.0.2,172.19.0.3,3,1,a0,3332,5
4.007690000,70,172.19.0.2,172.19.0.10,7,,,,5
4.007788000,66,172.19.0.10,172.19.0.2,,,,,
4.008679000,70,172.19.0.3,172.19.0.2,4,,,,5
4.008705000,66,172.19.0.2,172.19.0.3,,,,,
5.006335000,76,172.19.0.10,172.19.0.2,3,2,a0,3335,6
5.006663000,70,172.19.0.2,172.19.0.10,5,,,,6
5.006771000,66,172.19.0.10,172.19.0.2,,,,,
5.007079000,70,172.19.0.10,172.19.0.2,6,,,,6
5.007423000,76,172.19.0.2,172.19.0.3,3,1,a0,3335,6
5.007587000,70,172.19.0.2,172.19.0.10,7,,,,6
5.007692000,66,172.19.0.10,172.19.0.2,,,,,
5.008253000,70,172.19.0.3,172.19.0.2,4,,,,6
5.008280000,66,172.19.0.2,172.19.0.3,,,,,
6.008047000,76,172.19.0.10,172.19.0.2,3,2,a0,3430,7
6.008376000,70,172.19.0.2,172.19.0.10,5,,,,7
6.008479000,66,172.19.0.10,172.19.0.2,,,,,
6.008787000,70,172.19.0.10,172.19.0.2,6,,,,7
6.009124000,76,172.19.0.2,172.19.0.3,3,1,a0,3430,7
6.009249000,70,172.19.0.2,172.19.0.10,7,,,,7
6.009332000,66,172.19.0.10,172.19.0.2,,,,,
6.009597000,70,172.19.0.3,172.19.0.2,4,,,,7
6.009621000,66,172.19.0.2,172.19.0.3,,,,,
7.008840000,76,172.19.0.10,172.19.0.2,3,2,a0,3531,8
7.009167000,70,172.19.0.2,172.19.0.10,5,,,,8
7.009269000,66,172.19.0.10,172.19.0.2,,,,,
7.009532000,70,172.19.0.10,172.19.0.2,6,,,,8
7.009823000,76,172.19.0.2,172.19.0.3,3,1,a0,3531,8
7.009924000,70,172.19.0.2,172.19.0.10,7,,,,8
7.010028000,66,172.19.0.10,172.19.0.2,,,,,
7.010397000,70,172.19.0.3,172.19.0.2,4,,,,8
7.010421000,66,172.19.0.2,172.19.0.3,,,,,
8.009474000,76,172.19.0.10,172.19.0.2,3,2,a0,3430,9
8.010023000,70,172.19.0.2,172.19.0.10,5,,,,9
8.010108000,66,172.19.0.10,172.19.0.2,,,,,
8.010424000,70,172.19.0.10,172.19.0.2,6,,,,9
8.010739000,76,172.19.0.2,172.19.0.3,3,1,a0,3430,9
8.010868000,70,172.19.0.2,172.19.0.10,7,,,,9
8.010937000,66,172.19.0.10,172.19.0.2,,,,,
8.011383000,70,172.19.0.3,172.19.0.2,4,,,,9
