frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,74,172.19.0.9,172.19.0.8,,,,,
0.000053000,74,172.19.0.8,172.19.0.9,,,,,
0.000108000,66,172.19.0.9,172.19.0.8,,,,,
0.000257000,103,172.19.0.9,172.19.0.8,1,,,,
0.000283000,66,172.19.0.8,172.19.0.9,,,,,
0.000854000,70,172.19.0.8,172.19.0.9,2,,,,
0.000932000,66,172.19.0.9,172.19.0.8,,,,,
0.001176000,571,172.19.0.9,172.19.0.8,8,,a0^a1^a2^a3^a4^a5^a6^a7^a8^a9^b0^b1^b2^b3^b4^b5^b6^b7^b8^b9^c0^c1^c2^c3^c4^c5^c6^c7^c8^c9^d0^d1^d2^d3^d4^d5^d6^d7^d8^d9^e0^e1^e2^e3^e4^e5^e6^e7^e8^e9^f0^f1^f2^f3^f4^f5^f6^f7^f8^f9^g0^g1^g2^g3^g4^g5^g6^g7^g8^g9^h0^h1^h2^h3^h4^h5^h6^h7^h8^h9^i0^i1^i2^i3^i4^i5^i6^i7^i8^i9^j0^j1^j2^j3^j4^j5^j6^j7^j8^j9,,1
0.001300000,66,172.19.0.8,172.19.0.9,,,,,
0.001441000,75,172.19.0.8,172.19.0.7,8,,a0,,3
0.001581000,66,172.19.0.7,172.19.0.8,,,,,
0.001656000,75,172.19.0.8,172.19.0.7,8,,a1,,4
0.001712000,66,172.19.0.7,172.19.0.8,,,,,
0.001762000,75,172.19.0.8,172.19.0.7,8,,a2,,5
0.001815000,66,172.19.0.7,172.19.0.8,,,,,
0.001862000,75,172.19.0.8,172.19.0.7,8,,a3,,6
0.001915000,66,172.19.0.7,172.19.0.8,,,,,
0.001962000,75,172.19.0.8,172.19.0.7,8,,a4,,7
0.002015000,66,172.19.0.7,172.19.0.8,,,,,
0.002062000,75,172.19.0.8,172.19.0.7,8,,a5,,8
0.002086000,71,172.19.0.7,172.19.0.8,9,,,,3
0.002121000,66,172.19.0.8,172.19.0.7,,,,,
0.002205000,66,172.19.0.7,172.19.0.8,,,,,
0.002241000,93,172.19.0.8,172.19.0.7,8^8^8,,a6^a7^a8,,9^10^11
0.002307000,66,172.19.0.7,172.19.0.8,,,,,
0.002355000,102,172.19.0.8,172.19.0.7,8^8^8^8,,a9^b0^b1^b2,,12^13^14^15
0.002426000,66,172.19.0.7,172.19.0.8,,,,,
0.002477000,75,172.19.0.8,172.19.0.7,8,,b3,,16
0.002530000,66,172.19.0.7,172.19.0.8,,,,,
0.002556000,71,172.19.0.7,172.19.0.8,9,,,,4
0.002579000,75,172.19.0.8,172.19.0.7,8,,b4,,17
0.002633000,66,172.19.0.8,172.19.0.7,,,,,
0.002655000,66,172.19.0.7,172.19.0.8,,,,,
0.002698000,75,172.19.0.8,172.19.0.7,8,,b5,,18
0.002866000,66,172.19.0.7,172.19.0.8,,,,,
0.002909000,138,172.19.0.8,172.19.0.7,8^8^8^8^8^8^8^8,,b6^b7^b8^b9^c0^c1^c2^c3,,19^20^21^22^23^24^25^26
