frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,74,172.19.0.5,172.19.0.6,,,,,
0.000081000,74,172.19.0.6,172.19.0.5,,,,,
0.000124000,66,172.19.0.5,172.19.0.6,,,,,
0.000263000,152,172.19.0.5,172.19.0.6,1,,,,
0.000298000,66,172.19.0.6,172.19.0.5,,,,,
0.000892000,70,172.19.0.6,172.19.0.5,2,,,,
0.000924000,66,172.19.0.5,172.19.0.6,,,,,
0.001207000,121,172.19.0.5,172.19.0.6,3,1,$SYS/broker/connection/eefad1da9baa.b4->b5/state,31,3
0.001300000,66,172.19.0.6,172.19.0.5,,,,,
0.001431000,70,172.19.0.6,172.19.0.5,4,,,,3
3.940726000,75,172.19.0.4,172.19.0.5,8,,a0,,4
3.940813000,66,172.19.0.5,172.19.0.4,,,,,
3.940998000,75,172.19.0.4,172.19.0.5,8,,a1,,5
3.941019000,75,172.19.0.5,172.19.0.6,8,,a0,,5
3.941022000,66,172.19.0.5,172.19.0.4,,,,,
3.941114000,66,172.19.0.6,172.19.0.5,,,,,
3.941117000,75,172.19.0.4,172.19.0.5,8,,a2,,6
3.941141000,66,172.19.0.5,172.19.0.4,,,,,
3.941170000,71,172.19.0.5,172.19.0.4,9,,,,4
3.941226000,66,172.19.0.4,172.19.0.5,,,,,
3.941250000,75,172.19.0.4,172.19.0.5,8,,a3,,7
3.941274000,66,172.19.0.5,172.19.0.4,,,,,
3.941347000,75,172.19.0.5,172.19.0.6,8,,a1,,6
3.941385000,75,172.19.0.4,172.19.0.5,8,,a4,,8
3.941402000,66,172.19.0.6,172.19.0.5,,,,,
3.941412000,66,172.19.0.5,172.19.0.4,,,,,
3.941509000,75,172.19.0.4,172.19.0.5,8,,a5,,9
3.941532000,66,172.19.0.5,172.19.0.4,,,,,
3.941625000,75,172.19.0.4,172.19.0.5,8,,a6,,10
3.941648000,66,172.19.0.5,172.19.0.4,,,,,
3.941675000,71,172.19.0.5,172.19.0.4,9,,,,5
3.941730000,66,172.19.0.4,172.19.0.5,,,,,
3.941754000,75,172.19.0.4,172.19.0.5,8,,a7,,11
3.941778000,66,172.19.0.5,172.19.0.4,,,,,
3.941839000,75,172.19.0.5,172.19.0.6,8,,a2,,7
3.941871000,75,172.19.0.4,172.19.0.5,8,,a8,,12
3.941892000,66,172.19.0.6,172.19.0.5,,,,,
3.941894000,66,172.19.0.5,172.19.0.4,,,,,
3.941940000,71,172.19.0.5,172.19.0.4,9,,,,6
3.941987000,75,172.19.0.4,172.19.0.5,8,,a9,,13
3.942010000,66,172.19.0.5,172.19.0.4,,,,,
3.942063000,66,172.19.0.4,172.19.0.5,,,,,
3.942070000,75,172.19.0.5,172.19.0.6,8,,a3,,8
3.942122000,66,172.19.0.6,172.19.0.5,,,,,
3.942152000,75,172.19.0.4,172.19.0.5,8,,b0,,14
3.942168000,71,172.19.0.5,172.19.0.4,9,,,,7
3.942220000,66,172.19.0.4,172.19.0.5,,,,,
3.942245000,66,172.19.0.5,172.19.0.4,,,,,
3.942305000,84,172.19.0.4,172.19.0.5,8^8,,b1^b2,,15^16
3.942351000,66,172.19.0.5,172.19.0.4,,,,,
3.942432000,93,172.19.0.4,172.19.0.5,8^8^8,,b3^b4^b5,,17^18^19
3.942490000,75,172.19.0.5,172.19.0.6,8,,a4,,9
3.942544000,66,172.19.0.6,172.19.0.5,,,,,
3.942592000,71,172.19.0.5,172.19.0.4,9,,,,8
3.942661000,71,172.19.0.6,172.19.0.5,9,,,,5
3.942679000,84,172.19.0.4,172.19.0.5,8^8,,b6^b7,,20^21
3.942686000,66,172.19.0.5,172.19.0.6,,,,,
3.942800000,75,172.19.0.5,172.19.0.6,8,,a5,,10
3.942867000,66,172.19.0.6,172.19.0.5,,,,,
3.942915000,71,172.19.0.5,172.19.0.4,9,,,,9
3.942978000,71,172.19.0.6,172.19.0.5,9,,,,6
3.942980000,138,172.19.0.4,172.19.0.5,8^8^8^8^8^8^8^8,,b8^b9^c0^c1^c2^c3^c4^c5,,22^23^24^25^26^27^28^29
3.943004000,66,172.19.0.5,172.19.0.6,,,,,
3.943132000,75,172.19.0.5,172.19.0.6,8,,a6,,11
3.943186000,66,172.19.0.6,172.19.0.5,,,,,
3.943233000,71,172.19.0.5,172.19.0.4,9,,,,10
3.943313000,71,172.19.0.6,172.19.0.5,9,,,,7
3.943323000,147,172.19.0.4,172.19.0.5,8^8^8^8^8^8^8^8^8,,c6^c7^c8^c9^d0^d1^d2^d3^d4,,30^31^32^33^34^35^36^37^38
3.943350000,66,172.19.0.5,172.19.0.6,,,,,
3.943643000,75,172.19.0.5,172.19.0.6,8,,a7,,12
3.943702000,66,172.19.0.6,172.19.0.5,,,,,
3.943753000,71,172.19.0.5,172.19.0.4,9,,,,11
3.943821000,84,172.19.0.4,172.19.0.5,8^8,,d5^d6,,39^40
3.943878000,71,172.19.0.6,172.19.0.5,9,,,,8
3.943916000,66,172.19.0.5,172.19.0.6,,,,,
3.943945000,75,172.19.0.5,172.19.0.6,8,,a8,,13
3.943998000,66,172.19.0.6,172.19.0.5,,,,,
3.944045000,71,172.19.0.5,172.19.0.4,9,,,,12
3.944109000,129,172.19.0.4,172.19.0.5,8^8^8^8^8^8^8,,d7^d8^d9^e0^e1^e2^e3,,41^42^43^44^45^46^47
3.944250000,75,172.19.0.5,172.19.0.6,8,,a9,,14
3.944305000,71,172.19.0.5,172.19.0.4,9,,,,13
3.944314000,71,172.19.0.6,172.19.0.5,9,,,,9
3.944351000,66,172.19.0.5,172.19.0.6,,,,,
3.944387000,120,172.19.0.4,172.19.0.5,8^8^8^8^8^8,,e4^e5^e6^e7^e8^e9,,48^49^50^51^52^53
3.944422000,66,172.19.0.6,172.19.0.5,,,,,
3.944793000,71,172.19.0.6,172.19.0.5,9,,,,10
3.944817000,66,172.19.0.5,172.19.0.6,,,,,
3.945204000,71,172.19.0.6,172.19.0.5,9,,,,11
3.945228000,66,172.19.0.5,172.19.0.6,,,,,
3.945325000,219,172.19.0.4,172.19.0.5,8^8^8^8^8^8^8^8^8^8^8^8^8^8^8^8^8,,f0^f1^f2^f3^f4^f5^f6^f7^f8^f9^g0^g1^g2^g3^g4^g5^g6,,54^55^56^57^58^59^60^61^62^63^64^65^66^67^68^69^70
3.945441000,75,172.19.0.5,172.19.0.6,8,,b0,,15
3.945512000,71,172.19.0.5,172.19.0.4,9,,,,14
3.945551000,71,172.19.0.6,172.19.0.5,9,,,,12
3.945582000,66,172.19.0.5,172.19.0.6,,,,,
3.945589000,111,172.19.0.4,172.19.0.5,8^8^8^8^8,,g7^g8^g9^h0^h1,,71^72^73^74^75
3.945715000,75,172.19.0.5,172.19.0.6,8,,b1,,16
3.945775000,71,172.19.0.5,172.19.0.4,9,,,,15
3.945804000,71,172.19.0.6,172.19.0.5,9,,,,13
3.945830000,66,172.19.0.5,172.19.0.6,,,,,
3.945839000,93,172.19.0.4,172.19.0.5,8^8^8,,h2^h3^h4,,76^77^78
3.945988000,75,172.19.0.5,172.19.0.6,8,,b2,,17
3.946055000,71,172.19.0.5,172.19.0.4,9,,,,16
3.946066000,71,172.19.0.6,172.19.0.5,9,,,,14
3.946207000,75,172.19.0.5,172.19.0.6,8,,b3,,18
3.946279000,71,172.19.0.6,172.19.0.5,9,,,,15
3.946413000,75,172.19.0.5,172.19.0.6,8,,b4,,19
3.946502000,71,172.19.0.6,172.19.0.5,9,,,,16
3.946696000,75,172.19.0.5,172.19.0.6,8,,b5,,20
3.946768000,76,172.19.0.6,172.19.0.5,9^9,,,,17^18
3.946894000,75,172.19.0.5,172.19.0.6,8,,b6,,21
3.946970000,71,172.19.0.6,172.19.0.5,9,,,,19
3.947074000,75,172.19.0.5,172.19.0.6,8,,b7,,22
3.947164000,71,172.19.0.6,172.19.0.5,9,,,,20
3.947669000,75,172.19.0.5,172.19.0.6,8,,b8,,23
3.947807000,76,172.19.0.6,172.19.0.5,9^9,,,,21^22
3.948122000,66,172.19.0.4,172.19.0.5,,,,,
3.948174000,96,172.19.0.5,172.19.0.4,9^9^9^9^9^9,,,,17^18^19^20^21^22
3.948268000,75,172.19.0.5,172.19.0.6,8,,b9,,24
3.948824000,66,172.19.0.4,172.19.0.5,,,,,
3.948875000,76,172.19.0.5,172.19.0.4,9^9,,,,23^24
3.949203000,66,172.19.0.4,172.19.0.5,,,,,
3.949374000,71,172.19.0.5,172.19.0.4,9,,,,25
3.949786000,71,172.19.0.6,172.19.0.5,9,,,,23
3.949840000,102,172.19.0.5,172.19.0.6,8^8^8^8,,c0^c1^c2^c3,,25^26^27^28
3.949856000,66,172.19.0.4,172.19.0.5,,,,,
3.949908000,76,172.19.0.5,172.19.0.4,9^9,,,,26^27
3.950031000,71,172.19.0.6,172.19.0.5,9,,,,24
3.950067000,75,172.19.0.5,172.19.0.6,8,,c4,,29
3.950231000,66,172.19.0.4,172.19.0.5,,,,,
3.950264000,71,172.19.0.6,172.19.0.5,9,,,,25
3.950289000,76,172.19.0.5,172.19.0.4,9^9,,,,28^29
3.950321000,75,172.19.0.5,172.19.0.6,8,,c5,,30
3.950469000,71,172.19.0.6,172.19.0.5,9,,,,26
3.950517000,75,172.19.0.5,172.19.0.6,8,,c6,,31
3.950583000,66,172.19.0.4,172.19.0.5,,,,,
3.950618000,71,172.19.0.5,172.19.0.4,9,,,,30
3.950651000,71,172.19.0.6,172.19.0.5,9,,,,27
3.950739000,66,172.19.0.4,172.19.0.5,,,,,
3.950743000,75,172.19.0.5,172.19.0.6,8,,c7,,32
3.950813000,71,172.19.0.5,172.19.0.4,9,,,,31
3.950845000,71,172.19.0.6,172.19.0.5,9,,,,28
3.950993000,66,172.19.0.4,172.19.0.5,,,,,
3.951042000,75,172.19.0.5,172.19.0.6,8,,c8,,33
3.951127000,71,172.19.0.6,172.19.0.5,9,,,,29
3.951198000,71,172.19.0.5,172.19.0.4,9,,,,32
3.951626000,66,172.19.0.4,172.19.0.5,,,,,
3.951683000,75,172.19.0.5,172.19.0.6,8,,c9,,34
3.951788000,71,172.19.0.6,172.19.0.5,9,,,,30
3.951847000,71,172.19.0.5,172.19.0.4,9,,,,33
3.952089000,75,172.19.0.5,172.19.0.6,8,,d0,,35
3.952129000,66,172.19.0.4,172.19.0.5,,,,,
3.952184000,71,172.19.0.5,172.19.0.4,9,,,,34
3.952574000,66,172.19.0.4,172.19.0.5,,,,,
3.952616000,71,172.19.0.5,172.19.0.4,9,,,,35
3.952812000,66,172.19.0.4,172.19.0.5,,,,,
3.952854000,76,172.19.0.5,172.19.0.4,9^9,,,,36^37
