frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,74,172.19.0.10,172.19.0.3
0.000081000,74,172.19.0.3,172.19.0.10
0.000415000,66,172.19.0.10,172.19.0.3
0.000544000,103,172.19.0.10,172.19.0.3
0.000581000,66,172.19.0.3,172.19.0.10
0.001901000,70,172.19.0.3,172.19.0.10
0.002373000,66,172.19.0.10,172.19.0.3
0.002698000,571,172.19.0.10,172.19.0.3
0.002748000,66,172.19.0.3,172.19.0.10
0.003471000,170,172.19.0.3,172.19.0.10
0.003557000,66,172.19.0.10,172.19.0.3
5.068720000,42,,
5.068861000,42,,
5.068899000,42,,
5.068964000,42,,
8.653462000,74,172.19.0.8,172.19.0.3
8.653532000,66,172.19.0.3,172.19.0.8
8.653705000,74,172.19.0.3,172.19.0.10
8.653849000,66,172.19.0.10,172.19.0.3
9.654657000,74,172.19.0.8,172.19.0.3
9.654699000,66,172.19.0.3,172.19.0.8
9.654969000,74,172.19.0.3,172.19.0.10
9.655156000,66,172.19.0.10,172.19.0.3
10.656052000,74,172.19.0.8,172.19.0.3
10.656080000,66,172.19.0.3,172.19.0.8
10.656343000,74,172.19.0.3,172.19.0.10
10.656442000,66,172.19.0.10,172.19.0.3
11.656465000,74,172.19.0.8,172.19.0.3
11.656499000,66,172.19.0.3,172.19.0.8
11.656998000,74,172.19.0.3,172.19.0.10
11.657269000,66,172.19.0.10,172.19.0.3
12.657397000,74,172.19.0.8,172.19.0.3
12.657422000,66,172.19.0.3,172.19.0.8
12.658184000,74,172.19.0.3,172.19.0.10
12.658279000,66,172.19.0.10,172.19.0.3
13.657516000,74,172.19.0.8,172.19.0.3
13.657563000,66,172.19.0.3,172.19.0.8
13.657948000,74,172.19.0.3,172.19.0.10
13.658070000,66,172.19.0.10,172.19.0.3
14.658628000,73,172.19.0.8,172.19.0.3
14.658671000,66,172.19.0.3,172.19.0.8
14.659321000,73,172.19.0.3,172.19.0.10
14.659457000,66,172.19.0.10,172.19.0.3
15.659442000,74,172.19.0.8,172.19.0.3
15.659469000,66,172.19.0.3,172.19.0.8
15.659869000,74,172.19.0.3,172.19.0.10
15.659985000,66,172.19.0.10,172.19.0.3
16.661792000,74,172.19.0.8,172.19.0.3
16.661815000,66,172.19.0.3,172.19.0.8
16.662699000,74,172.19.0.3,172.19.0.10
16.662844000,66,172.19.0.10,172.19.0.3
17.661599000,74,172.19.0.8,172.19.0.3
17.661642000,66,172.19.0.3,172.19.0.8
17.662021000,74,172.19.0.3,172.19.0.10
17.662135000,66,172.19.0.10,172.19.0.3
18.662729000,74,172.19.0.8,172.19.0.3
18.662756000,66,172.19.0.3,172.19.0.8
18.663268000,74,172.19.0.3,172.19.0.10
18.663365000,66,172.19.0.10,172.19.0.3
19.662918000,74,172.19.0.8,172.19.0.3
19.662945000,66,172.19.0.3,172.19.0.8
19.663892000,74,172.19.0.3,172.19.0.10
19.663984000,66,172.19.0.10,172.19.0.3
19.912483000,42,,
19.912681000,42,,
20.663617000,74,172.19.0.8,172.19.0.3
20.663741000,66,172.19.0.3,172.19.0.8
20.664577000,74,172.19.0.3,172.19.0.10
20.664679000,66,172.19.0.10,172.19.0.3
21.664872000,74,172.19.0.8,172.19.0.3
21.664897000,66,172.19.0.3,172.19.0.8
21.665706000,74,172.19.0.3,172.19.0.10
21.665904000,66,172.19.0.10,172.19.0.3
22.272158000,68,172.19.0.3,172.19.0.8
22.273286000,68,172.19.0.8,172.19.0.3
22.273317000,66,172.19.0.3,172.19.0.8
22.666407000,74,172.19.0.8,172.19.0.3
22.666579000,66,172.19.0.3,172.19.0.8
22.666963000,74,172.19.0.3,172.19.0.10
22.667053000,66,172.19.0.10,172.19.0.3
23.665683000,74,172.19.0.8,172.19.0.3
23.665717000,66,172.19.0.3,172.19.0.8
23.666026000,74,172.19.0.3,172.19.0.10
23.666218000,66,172.19.0.10,172.19.0.3
24.666595000,74,172.19.0.8,172.19.0.3
24.666624000,66,172.19.0.3,172.19.0.8
24.667070000,74,172.19.0.3,172.19.0.10
24.667301000,66,172.19.0.10,172.19.0.3
25.666844000,74,172.19.0.8,172.19.0.3
25.666894000,66,172.19.0.3,172.19.0.8
25.667634000,74,172.19.0.3,172.19.0.10
25.667734000,66,172.19.0.10,172.19.0.3
26.667621000,74,172.19.0.8,172.19.0.3
26.667648000,66,172.19.0.3,172.19.0.8
26.668009000,74,172.19.0.3,172.19.0.10
26.668141000,66,172.19.0.10,172.19.0.3
27.667992000,74,172.19.0.8,172.19.0.3
27.668018000,66,172.19.0.3,172.19.0.8
27.668413000,74,172.19.0.3,172.19.0.10
27.668508000,66,172.19.0.10,172.19.0.3
28.668240000,73,172.19.0.8,172.19.0.3
28.668266000,66,172.19.0.3,172.19.0.8
28.668668000,73,172.19.0.3,172.19.0.10
28.668764000,66,172.19.0.10,172.19.0.3
29.670144000,74,172.19.0.8,172.19.0.3
29.670171000,66,172.19.0.3,172.19.0.8
29.670412000,74,172.19.0.3,172.19.0.10
29.670451000,66,172.19.0.10,172.19.0.3
30.670655000,74,172.19.0.8,172.19.0.3
