frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.7,172.19.0.8
0.000427000,68,172.19.0.8,172.19.0.7
0.000453000,66,172.19.0.7,172.19.0.8
5.141603000,42,,
5.141663000,42,,
5.141723000,42,,
5.141734000,42,,
35.508133000,75,172.19.0.8,172.19.0.7
35.508217000,66,172.19.0.7,172.19.0.8
36.508943000,76,172.19.0.8,172.19.0.7
36.508965000,66,172.19.0.7,172.19.0.8
37.510138000,76,172.19.0.8,172.19.0.7
37.510223000,66,172.19.0.7,172.19.0.8
38.511436000,75,172.19.0.8,172.19.0.7
38.511457000,66,172.19.0.7,172.19.0.8
39.511950000,76,172.19.0.8,172.19.0.7
39.511971000,66,172.19.0.7,172.19.0.8
40.513561000,76,172.19.0.8,172.19.0.7
40.513582000,66,172.19.0.7,172.19.0.8
40.725703000,42,,
40.725838000,42,,
41.513310000,76,172.19.0.8,172.19.0.7
41.513359000,66,172.19.0.7,172.19.0.8
42.513943000,76,172.19.0.8,172.19.0.7
42.513966000,66,172.19.0.7,172.19.0.8
43.516034000,76,172.19.0.8,172.19.0.7
43.516073000,66,172.19.0.7,172.19.0.8
44.517142000,76,172.19.0.8,172.19.0.7
44.517163000,66,172.19.0.7,172.19.0.8
45.517597000,76,172.19.0.8,172.19.0.7
45.517629000,66,172.19.0.7,172.19.0.8
46.518346000,75,172.19.0.8,172.19.0.7
46.518412000,66,172.19.0.7,172.19.0.8
47.518738000,75,172.19.0.8,172.19.0.7
47.518773000,66,172.19.0.7,172.19.0.8
48.519866000,76,172.19.0.8,172.19.0.7
48.519912000,66,172.19.0.7,172.19.0.8
49.520418000,76,172.19.0.8,172.19.0.7
49.520442000,66,172.19.0.7,172.19.0.8
50.522192000,76,172.19.0.8,172.19.0.7
50.522240000,66,172.19.0.7,172.19.0.8
51.522957000,76,172.19.0.8,172.19.0.7
51.522997000,66,172.19.0.7,172.19.0.8
52.524980000,76,172.19.0.8,172.19.0.7
52.525000000,66,172.19.0.7,172.19.0.8
53.526107000,76,172.19.0.8,172.19.0.7
53.526149000,66,172.19.0.7,172.19.0.8
54.528913000,75,172.19.0.8,172.19.0.7
54.528934000,66,172.19.0.7,172.19.0.8
55.528551000,76,172.19.0.8,172.19.0.7
55.528571000,66,172.19.0.7,172.19.0.8
56.530765000,76,172.19.0.8,172.19.0.7
56.530838000,66,172.19.0.7,172.19.0.8
57.531370000,76,172.19.0.8,172.19.0.7
57.531410000,66,172.19.0.7,172.19.0.8
58.531450000,76,172.19.0.8,172.19.0.7
58.531474000,66,172.19.0.7,172.19.0.8
59.533167000,76,172.19.0.8,172.19.0.7
59.533190000,66,172.19.0.7,172.19.0.8
59.937529000,68,172.19.0.7,172.19.0.8
59.937960000,68,172.19.0.8,172.19.0.7
59.937983000,66,172.19.0.7,172.19.0.8
60.532743000,76,172.19.0.8,172.19.0.7
60.532814000,66,172.19.0.7,172.19.0.8
61.534283000,76,172.19.0.8,172.19.0.7
61.534306000,66,172.19.0.7,172.19.0.8
62.534952000,76,172.19.0.8,172.19.0.7
62.534974000,66,172.19.0.7,172.19.0.8
63.536893000,76,172.19.0.8,172.19.0.7
63.536932000,66,172.19.0.7,172.19.0.8
64.538989000,75,172.19.0.8,172.19.0.7
64.539009000,66,172.19.0.7,172.19.0.8
65.542130000,76,172.19.0.8,172.19.0.7
65.542198000,66,172.19.0.7,172.19.0.8
66.542268000,76,172.19.0.8,172.19.0.7
66.542309000,66,172.19.0.7,172.19.0.8
67.542597000,76,172.19.0.8,172.19.0.7
67.542644000,66,172.19.0.7,172.19.0.8
68.541932000,76,172.19.0.8,172.19.0.7
68.541955000,66,172.19.0.7,172.19.0.8
69.544639000,76,172.19.0.8,172.19.0.7
69.544667000,66,172.19.0.7,172.19.0.8
70.544495000,75,172.19.0.8,172.19.0.7
70.544524000,66,172.19.0.7,172.19.0.8
71.545292000,76,172.19.0.8,172.19.0.7
71.545445000,66,172.19.0.7,172.19.0.8
72.546158000,75,172.19.0.8,172.19.0.7
72.546179000,66,172.19.0.7,172.19.0.8
73.548126000,76,172.19.0.8,172.19.0.7
73.548166000,66,172.19.0.7,172.19.0.8
74.549762000,76,172.19.0.8,172.19.0.7
74.549786000,66,172.19.0.7,172.19.0.8
75.551721000,76,172.19.0.8,172.19.0.7
75.551756000,66,172.19.0.7,172.19.0.8
76.552922000,76,172.19.0.8,172.19.0.7
76.552946000,66,172.19.0.7,172.19.0.8
77.552436000,76,172.19.0.8,172.19.0.7
77.552478000,66,172.19.0.7,172.19.0.8
78.553175000,76,172.19.0.8,172.19.0.7
78.553202000,66,172.19.0.7,172.19.0.8
79.554109000,75,172.19.0.8,172.19.0.7
79.554136000,66,172.19.0.7,172.19.0.8
80.553935000,76,172.19.0.8,172.19.0.7
80.553984000,66,172.19.0.7,172.19.0.8
81.555588000,76,172.19.0.8,172.19.0.7
81.555632000,66,172.19.0.7,172.19.0.8
82.556329000,76,172.19.0.8,172.19.0.7
82.556353000,66,172.19.0.7,172.19.0.8
82.709619000,42,,
82.709819000,42,,
83.557240000,76,172.19.0.8,172.19.0.7
83.557261000,66,172.19.0.7,172.19.0.8
84.558305000,76,172.19.0.8,172.19.0.7
84.558327000,66,172.19.0.7,172.19.0.8
85.558480000,76,172.19.0.8,172.19.0.7
85.558505000,66,172.19.0.7,172.19.0.8
86.559470000,76,172.19.0.8,172.19.0.7
86.559497000,66,172.19.0.7,172.19.0.8
87.560447000,75,172.19.0.8,172.19.0.7
87.560468000,66,172.19.0.7,172.19.0.8
88.560946000,76,172.19.0.8,172.19.0.7
88.560994000,66,172.19.0.7,172.19.0.8
89.562727000,76,172.19.0.8,172.19.0.7
89.562749000,66,172.19.0.7,172.19.0.8
90.563539000,76,172.19.0.8,172.19.0.7
90.563559000,66,172.19.0.7,172.19.0.8
91.564158000,76,172.19.0.8,172.19.0.7
91.564179000,66,172.19.0.7,172.19.0.8
92.565200000,76,172.19.0.8,172.19.0.7
92.565223000,66,172.19.0.7,172.19.0.8
93.566106000,76,172.19.0.8,172.19.0.7
93.566129000,66,172.19.0.7,172.19.0.8
94.567832000,76,172.19.0.8,172.19.0.7
94.567858000,66,172.19.0.7,172.19.0.8
95.569287000,76,172.19.0.8,172.19.0.7
95.569327000,66,172.19.0.7,172.19.0.8
96.570481000,76,172.19.0.8,172.19.0.7
96.570522000,66,172.19.0.7,172.19.0.8
97.572873000,76,172.19.0.8,172.19.0.7
97.572933000,66,172.19.0.7,172.19.0.8
98.574051000,76,172.19.0.8,172.19.0.7
98.574075000,66,172.19.0.7,172.19.0.8
99.574948000,76,172.19.0.8,172.19.0.7
99.575005000,66,172.19.0.7,172.19.0.8
100.574882000,76,172.19.0.8,172.19.0.7
100.574905000,66,172.19.0.7,172.19.0.8
101.575629000,76,172.19.0.8,172.19.0.7
101.575670000,66,172.19.0.7,172.19.0.8
102.578371000,76,172.19.0.8,172.19.0.7
102.578399000,66,172.19.0.7,172.19.0.8
103.578711000,76,172.19.0.8,172.19.0.7
103.578736000,66,172.19.0.7,172.19.0.8
104.579395000,76,172.19.0.8,172.19.0.7
104.579454000,66,172.19.0.7,172.19.0.8
105.583040000,76,172.19.0.8,172.19.0.7
105.583104000,66,172.19.0.7,172.19.0.8
106.582283000,76,172.19.0.8,172.19.0.7
106.582325000,66,172.19.0.7,172.19.0.8
106.774228000,42,,
106.774289000,42,,
107.585633000,76,172.19.0.8,172.19.0.7
107.585665000,66,172.19.0.7,172.19.0.8
108.586913000,76,172.19.0.8,172.19.0.7
108.586968000,66,172.19.0.7,172.19.0.8
109.583828000,76,172.19.0.8,172.19.0.7
109.583891000,66,172.19.0.7,172.19.0.8
110.585209000,76,172.19.0.8,172.19.0.7
110.585256000,66,172.19.0.7,172.19.0.8
111.590593000,76,172.19.0.8,172.19.0.7
111.590631000,66,172.19.0.7,172.19.0.8
112.592709000,76,172.19.0.8,172.19.0.7
112.592758000,66,172.19.0.7,172.19.0.8
113.589799000,76,172.19.0.8,172.19.0.7
113.589822000,66,172.19.0.7,172.19.0.8
114.591608000,75,172.19.0.8,172.19.0.7
114.591644000,66,172.19.0.7,172.19.0.8
115.594774000,76,172.19.0.8,172.19.0.7
115.594800000,66,172.19.0.7,172.19.0.8
116.595975000,76,172.19.0.8,172.19.0.7
116.596018000,66,172.19.0.7,172.19.0.8
117.594780000,76,172.19.0.8,172.19.0.7
117.594805000,66,172.19.0.7,172.19.0.8
118.596780000,76,172.19.0.8,172.19.0.7
118.596803000,66,172.19.0.7,172.19.0.8
119.599991000,76,172.19.0.8,172.19.0.7
119.600053000,66,172.19.0.7,172.19.0.8
120.004318000,68,172.19.0.7,172.19.0.8
120.005044000,68,172.19.0.8,172.19.0.7
120.005068000,66,172.19.0.7,172.19.0.8
120.599523000,76,172.19.0.8,172.19.0.7
120.599598000,66,172.19.0.7,172.19.0.8
121.600547000,75,172.19.0.8,172.19.0.7
121.600567000,66,172.19.0.7,172.19.0.8
122.604116000,75,172.19.0.8,172.19.0.7
122.604163000,66,172.19.0.7,172.19.0.8
123.603466000,76,172.19.0.8,172.19.0.7
123.603487000,66,172.19.0.7,172.19.0.8
124.605205000,76,172.19.0.8,172.19.0.7
124.605239000,66,172.19.0.7,172.19.0.8
125.604198000,76,172.19.0.8,172.19.0.7
125.604220000,66,172.19.0.7,172.19.0.8
126.605089000,76,172.19.0.8,172.19.0.7
126.605157000,66,172.19.0.7,172.19.0.8
127.607007000,76,172.19.0.8,172.19.0.7
127.607028000,66,172.19.0.7,172.19.0.8
128.609008000,76,172.19.0.8,172.19.0.7
128.609050000,66,172.19.0.7,172.19.0.8
129.608749000,76,172.19.0.8,172.19.0.7
129.608789000,66,172.19.0.7,172.19.0.8
130.608837000,76,172.19.0.8,172.19.0.7
130.608858000,66,172.19.0.7,172.19.0.8
131.609111000,76,172.19.0.8,172.19.0.7
131.609148000,66,172.19.0.7,172.19.0.8
132.609756000,76,172.19.0.8,172.19.0.7
132.609783000,66,172.19.0.7,172.19.0.8
