frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.7,172.19.0.8
0.001234000,68,172.19.0.8,172.19.0.7
0.001349000,66,172.19.0.7,172.19.0.8
0.912949000,68,172.19.0.6,172.19.0.8
0.913467000,68,172.19.0.8,172.19.0.6
0.913575000,66,172.19.0.6,172.19.0.8
1.000623000,68,172.19.0.4,172.19.0.8
1.000888000,68,172.19.0.8,172.19.0.4
1.000996000,66,172.19.0.4,172.19.0.8
3.946232000,68,172.19.0.3,172.19.0.8
3.947154000,68,172.19.0.8,172.19.0.3
3.947254000,66,172.19.0.3,172.19.0.8
5.214547000,42,,
5.214561000,42,,
6.238704000,42,,
6.238718000,42,,
7.974752000,68,172.19.0.5,172.19.0.8
7.975458000,68,172.19.0.8,172.19.0.5
7.975663000,66,172.19.0.5,172.19.0.8
7.975792000,68,172.19.0.8,172.19.0.2
7.976320000,68,172.19.0.2,172.19.0.8
7.976373000,66,172.19.0.8,172.19.0.2
9.054550000,42,,
9.054659000,42,,
9.054710000,42,,
9.054723000,42,,
13.149917000,42,,
13.149945000,42,,
13.150044000,42,,
13.150060000,42,,
13.150175000,42,,
13.150184000,42,,
13.150663000,42,,
13.150675000,42,,
15.922571000,75,172.19.0.3,172.19.0.8
15.922871000,75,172.19.0.8,172.19.0.7
15.922993000,75,172.19.0.8,172.19.0.6
15.923134000,75,172.19.0.8,172.19.0.5
15.923186000,71,172.19.0.7,172.19.0.8
15.923215000,66,172.19.0.8,172.19.0.7
15.923262000,75,172.19.0.8,172.19.0.4
15.923340000,71,172.19.0.6,172.19.0.8
15.923369000,66,172.19.0.8,172.19.0.6
15.923389000,75,172.19.0.8,172.19.0.2
15.923552000,71,172.19.0.5,172.19.0.8
15.923566000,71,172.19.0.8,172.19.0.3
15.923580000,66,172.19.0.8,172.19.0.5
15.923705000,66,172.19.0.3,172.19.0.8
15.923937000,71,172.19.0.4,172.19.0.8
15.923965000,71,172.19.0.2,172.19.0.8
15.923964000,66,172.19.0.8,172.19.0.4
15.923994000,66,172.19.0.8,172.19.0.2
25.921191000,68,172.19.0.8,172.19.0.3
25.921683000,68,172.19.0.3,172.19.0.8
25.921876000,66,172.19.0.8,172.19.0.3
25.921991000,68,172.19.0.2,172.19.0.8
