frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,75,172.19.0.4,172.19.0.5
0.000162000,66,172.19.0.5,172.19.0.4
0.000330000,75,172.19.0.5,172.19.0.6
0.000484000,66,172.19.0.6,172.19.0.5
0.000541000,71,172.19.0.5,172.19.0.4
0.000681000,66,172.19.0.4,172.19.0.5
0.000882000,75,172.19.0.4,172.19.0.5
0.000905000,66,172.19.0.5,172.19.0.4
0.001100000,75,172.19.0.5,172.19.0.6
0.001158000,66,172.19.0.6,172.19.0.5
0.001231000,71,172.19.0.5,172.19.0.4
0.001349000,66,172.19.0.4,172.19.0.5
0.001440000,75,172.19.0.4,172.19.0.5
0.001462000,66,172.19.0.5,172.19.0.4
0.001547000,71,172.19.0.6,172.19.0.5
0.001572000,66,172.19.0.5,172.19.0.6
0.001681000,75,172.19.0.4,172.19.0.5
0.001704000,66,172.19.0.5,172.19.0.4
0.001761000,75,172.19.0.5,172.19.0.6
0.001799000,75,172.19.0.4,172.19.0.5
0.001812000,66,172.19.0.6,172.19.0.5
0.001818000,66,172.19.0.5,172.19.0.4
0.001833000,71,172.19.0.6,172.19.0.5
0.001852000,66,172.19.0.5,172.19.0.6
0.001861000,71,172.19.0.5,172.19.0.4
0.001894000,75,172.19.0.4,172.19.0.5
0.001914000,66,172.19.0.5,172.19.0.4
0.001958000,66,172.19.0.4,172.19.0.5
0.001994000,75,172.19.0.5,172.19.0.6
0.002024000,75,172.19.0.4,172.19.0.5
0.002029000,71,172.19.0.6,172.19.0.5
0.002039000,71,172.19.0.5,172.19.0.4
0.002080000,66,172.19.0.5,172.19.0.6
0.002135000,66,172.19.0.4,172.19.0.5
0.002163000,66,172.19.0.5,172.19.0.4
0.002300000,66,172.19.0.6,172.19.0.5
0.002340000,75,172.19.0.5,172.19.0.6
0.002404000,71,172.19.0.5,172.19.0.4
0.002413000,66,172.19.0.6,172.19.0.5
0.002447000,66,172.19.0.4,172.19.0.5
0.002565000,75,172.19.0.5,172.19.0.6
0.002609000,66,172.19.0.6,172.19.0.5
0.002645000,71,172.19.0.6,172.19.0.5
0.002649000,71,172.19.0.5,172.19.0.4
0.002665000,66,172.19.0.5,172.19.0.6
0.002692000,66,172.19.0.4,172.19.0.5
0.002782000,75,172.19.0.5,172.19.0.6
0.002840000,71,172.19.0.5,172.19.0.4
0.002841000,71,172.19.0.6,172.19.0.5
0.002860000,66,172.19.0.5,172.19.0.6
0.002882000,66,172.19.0.4,172.19.0.5
0.002904000,66,172.19.0.6,172.19.0.5
0.003054000,71,172.19.0.6,172.19.0.5
0.003094000,66,172.19.0.5,172.19.0.6
0.003480000,71,172.19.0.6,172.19.0.5
0.003523000,66,172.19.0.5,172.19.0.6
