frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,74,172.19.0.4,172.19.0.5,,,,,
0.000100000,74,172.19.0.5,172.19.0.4,,,,,
0.000143000,66,172.19.0.4,172.19.0.5,,,,,
0.000281000,152,172.19.0.4,172.19.0.5,1,,,,
0.000340000,66,172.19.0.5,172.19.0.4,,,,,
0.000754000,70,172.19.0.5,172.19.0.4,2,,,,
0.000796000,66,172.19.0.4,172.19.0.5,,,,,
0.001227000,121,172.19.0.4,172.19.0.5,3,1,$SYS/broker/connection/226902cc54a5.b3->b4/state,31,3
0.001351000,66,172.19.0.5,172.19.0.4,,,,,
0.001406000,82,172.19.0.4,172.19.0.5,8,,exmp/temp,,4
0.001462000,66,172.19.0.5,172.19.0.4,,,,,
0.001825000,70,172.19.0.5,172.19.0.4,4,,,,3
0.001855000,66,172.19.0.4,172.19.0.5,,,,,
0.002242000,71,172.19.0.5,172.19.0.4,9,,,,4
0.002268000,66,172.19.0.4,172.19.0.5,,,,,
3.402080000,75,172.19.0.5,172.19.0.4,8,,a0,,6
3.403337000,75,172.19.0.4,172.19.0.3,8,,a0,,7
3.403471000,71,172.19.0.4,172.19.0.5,9,,,,6
3.403541000,102,172.19.0.5,172.19.0.4,8^8^8^8,,a1^a2^a3^a4,,7^8^9^10
3.403698000,71,172.19.0.4,172.19.0.5,9,,,,7
3.403762000,75,172.19.0.5,172.19.0.4,8,,a5,,11
3.403886000,71,172.19.0.4,172.19.0.5,9,,,,8
3.403902000,71,172.19.0.3,172.19.0.4,9,,,,7
3.403937000,84,172.19.0.4,172.19.0.3,8^8,,a1^a2,,8^9
3.403949000,75,172.19.0.5,172.19.0.4,8,,a6,,12
3.404074000,71,172.19.0.4,172.19.0.5,9,,,,9
3.404102000,71,172.19.0.3,172.19.0.4,9,,,,8
3.404129000,66,172.19.0.5,172.19.0.4,,,,,
3.404138000,75,172.19.0.4,172.19.0.3,8,,a3,,10
3.404260000,71,172.19.0.3,172.19.0.4,9,,,,9
3.404289000,71,172.19.0.4,172.19.0.5,9,,,,10
3.404295000,75,172.19.0.4,172.19.0.3,8,,a4,,11
3.404433000,66,172.19.0.5,172.19.0.4,,,,,
3.404449000,71,172.19.0.3,172.19.0.4,9,,,,10
3.404476000,66,172.19.0.4,172.19.0.3,,,,,
3.404784000,75,172.19.0.4,172.19.0.3,8,,a5,,12
3.404854000,71,172.19.0.4,172.19.0.5,9,,,,11
3.404979000,66,172.19.0.5,172.19.0.4,,,,,
3.405040000,71,172.19.0.3,172.19.0.4,9,,,,11
3.405067000,66,172.19.0.4,172.19.0.3,,,,,
3.405152000,75,172.19.0.4,172.19.0.3,8,,a6,,13
3.405203000,71,172.19.0.4,172.19.0.5,9,,,,12
3.405289000,66,172.19.0.5,172.19.0.4,,,,,
3.405391000,71,172.19.0.3,172.19.0.4,9,,,,12
3.405425000,66,172.19.0.4,172.19.0.3,,,,,
3.405570000,71,172.19.0.3,172.19.0.4,9,,,,13
3.405594000,66,172.19.0.4,172.19.0.3,,,,,
8.663527000,75,172.19.0.3,172.19.0.4,3,1,a1,32,1
8.663677000,66,172.19.0.4,172.19.0.3,,,,,
8.663880000,75,172.19.0.3,172.19.0.4,3,1,a4,32,2
8.663903000,66,172.19.0.4,172.19.0.3,,,,,
8.664144000,75,172.19.0.4,172.19.0.5,3,1,a1,32,1
8.664261000,66,172.19.0.5,172.19.0.4,,,,,
8.664326000,70,172.19.0.4,172.19.0.3,4,,,,1
8.664461000,75,172.19.0.3,172.19.0.4,3,1,a0,32,3
8.664496000,66,172.19.0.4,172.19.0.3,,,,,
8.664552000,75,172.19.0.4,172.19.0.5,3,1,a4,32,2
8.664632000,66,172.19.0.5,172.19.0.4,,,,,
8.664761000,75,172.19.0.3,172.19.0.4,3,1,a2,32,4
8.664836000,70,172.19.0.4,172.19.0.3,4,,,,2
8.664967000,70,172.19.0.5,172.19.0.4,4,,,,1
8.666246000,75,172.19.0.4,172.19.0.5,3,1,a0,32,3
8.666420000,70,172.19.0.5,172.19.0.4,4,,,,2
8.666607000,75,172.19.0.4,172.19.0.5,3,1,a2,32,4
8.666664000,66,172.19.0.5,172.19.0.4,,,,,
8.667094000,70,172.19.0.5,172.19.0.4,4,,,,3
8.708780000,66,172.19.0.4,172.19.0.5,,,,,
8.709142000,70,172.19.0.5,172.19.0.4,4,,,,4
8.709180000,66,172.19.0.4,172.19.0.5,,,,,
8.709661000,66,172.19.0.4,172.19.0.3,,,,,
8.710057000,66,172.19.0.3,172.19.0.4,,,,,
8.710094000,74,172.19.0.4,172.19.0.3,4^4,,,,3^4
8.710112000,93,172.19.0.3,172.19.0.4,3^3^3,1^1^1,a5^a6^a3,32^32^32,5^6^7
8.710136000,66,172.19.0.4,172.19.0.3,,,,,
8.710294000,66,172.19.0.3,172.19.0.4,,,,,
8.710315000,75,172.19.0.4,172.19.0.5,3,1,a5,32,5
8.710447000,66,172.19.0.5,172.19.0.4,,,,,
8.710507000,70,172.19.0.4,172.19.0.3,4,,,,5
8.710584000,66,172.19.0.3,172.19.0.4,,,,,
8.710722000,75,172.19.0.4,172.19.0.5,3,1,a6,32,6
8.710780000,66,172.19.0.5,172.19.0.4,,,,,
8.710824000,70,172.19.0.4,172.19.0.3,4,,,,6
8.710921000,66,172.19.0.3,172.19.0.4,,,,,
8.711051000,75,172.19.0.4,172.19.0.5,3,1,a3,32,7
8.711075000,70,172.19.0.5,172.19.0.4,4,,,,5
8.711101000,66,172.19.0.4,172.19.0.5,,,,,
8.711103000,70,172.19.0.4,172.19.0.3,4,,,,7
8.711173000,66,172.19.0.5,172.19.0.4,,,,,
8.711176000,66,172.19.0.3,172.19.0.4,,,,,
8.711466000,70,172.19.0.5,172.19.0.4,4,,,,6
8.711503000,66,172.19.0.4,172.19.0.5,,,,,
8.711823000,70,172.19.0.5,172.19.0.4,4,,,,7
8.711857000,66,172.19.0.4,172.19.0.5,,,,,
9.663787000,76,172.19.0.3,172.19.0.4,3,1,a2,3633,8
9.663936000,66,172.19.0.4,172.19.0.3,,,,,
9.664375000,76,172.19.0.3,172.19.0.4,3,1,a0,3633,9
9.664398000,66,172.19.0.4,172.19.0.3,,,,,
9.664851000,76,172.19.0.3,172.19.0.4,3,1,a5,3633,10
9.664892000,66,172.19.0.4,172.19.0.3,,,,,
9.665262000,76,172.19.0.3,172.19.0.4,3,1,a4,3633,11
9.665294000,66,172.19.0.4,172.19.0.3,,,,,
9.665412000,76,172.19.0.4,172.19.0.5,3,1,a2,3633,8
