frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,74,172.19.0.5,172.19.0.6
0.000026000,54,172.19.0.6,172.19.0.5
1.427345000,74,172.19.0.6,172.19.0.7
1.427452000,54,172.19.0.7,172.19.0.6
1.427659000,74,172.19.0.6,172.19.0.5
1.427792000,74,172.19.0.5,172.19.0.6
1.427846000,66,172.19.0.6,172.19.0.5
1.428013000,152,172.19.0.6,172.19.0.5
1.428239000,66,172.19.0.5,172.19.0.6
1.428527000,70,172.19.0.5,172.19.0.6
1.428555000,66,172.19.0.6,172.19.0.5
1.428614000,121,172.19.0.6,172.19.0.5
1.428705000,66,172.19.0.5,172.19.0.6
1.428759000,82,172.19.0.6,172.19.0.5
1.428800000,66,172.19.0.5,172.19.0.6
1.428869000,70,172.19.0.5,172.19.0.6
1.428888000,66,172.19.0.6,172.19.0.5
1.429254000,71,172.19.0.5,172.19.0.6
1.429273000,66,172.19.0.6,172.19.0.5
2.865772000,74,172.19.0.7,172.19.0.6
2.865833000,74,172.19.0.6,172.19.0.7
2.865922000,66,172.19.0.7,172.19.0.6
2.866118000,152,172.19.0.7,172.19.0.6
2.866147000,66,172.19.0.6,172.19.0.7
2.866477000,70,172.19.0.6,172.19.0.7
2.866552000,66,172.19.0.7,172.19.0.6
2.866669000,121,172.19.0.7,172.19.0.6
2.866710000,66,172.19.0.6,172.19.0.7
2.866944000,82,172.19.0.7,172.19.0.6
2.866963000,66,172.19.0.6,172.19.0.7
2.867055000,70,172.19.0.6,172.19.0.7
2.867145000,66,172.19.0.7,172.19.0.6
2.867236000,82,172.19.0.6,172.19.0.5
2.867328000,66,172.19.0.5,172.19.0.6
2.867412000,71,172.19.0.6,172.19.0.7
2.867524000,66,172.19.0.7,172.19.0.6
2.867983000,71,172.19.0.5,172.19.0.6
2.868006000,66,172.19.0.6,172.19.0.5
4.416780000,82,172.19.0.7,172.19.0.6
4.416845000,66,172.19.0.6,172.19.0.7
4.417204000,82,172.19.0.6,172.19.0.5
4.417337000,66,172.19.0.5,172.19.0.6
4.417435000,71,172.19.0.6,172.19.0.7
4.417607000,66,172.19.0.7,172.19.0.6
4.417848000,71,172.19.0.5,172.19.0.6
4.417867000,66,172.19.0.6,172.19.0.5
9.975545000,74,172.19.0.6,172.19.0.7
9.975625000,74,172.19.0.7,172.19.0.6
9.975656000,66,172.19.0.6,172.19.0.7
9.975821000,152,172.19.0.6,172.19.0.7
9.975915000,66,172.19.0.7,172.19.0.6
9.976281000,70,172.19.0.7,172.19.0.6
9.976302000,66,172.19.0.6,172.19.0.7
9.976681000,121,172.19.0.6,172.19.0.7
9.976850000,66,172.19.0.7,172.19.0.6
9.976884000,74,172.19.0.5,172.19.0.6
9.976953000,82,172.19.0.6,172.19.0.7
9.976963000,74,172.19.0.6,172.19.0.5
9.977008000,66,172.19.0.7,172.19.0.6
9.977032000,66,172.19.0.5,172.19.0.6
9.977093000,70,172.19.0.7,172.19.0.6
9.977106000,152,172.19.0.5,172.19.0.6
9.977113000,66,172.19.0.6,172.19.0.7
9.977124000,66,172.19.0.6,172.19.0.5
9.977284000,70,172.19.0.6,172.19.0.5
9.977350000,66,172.19.0.5,172.19.0.6
9.977404000,71,172.19.0.7,172.19.0.6
9.977422000,66,172.19.0.6,172.19.0.7
9.977553000,121,172.19.0.5,172.19.0.6
9.977573000,66,172.19.0.6,172.19.0.5
9.977635000,82,172.19.0.5,172.19.0.6
9.977652000,66,172.19.0.6,172.19.0.5
9.977801000,70,172.19.0.6,172.19.0.5
9.977862000,66,172.19.0.5,172.19.0.6
9.977944000,82,172.19.0.6,172.19.0.7
9.978129000,66,172.19.0.7,172.19.0.6
9.978257000,71,172.19.0.6,172.19.0.5
9.978413000,66,172.19.0.5,172.19.0.6
9.978717000,71,172.19.0.7,172.19.0.6
9.978735000,66,172.19.0.6,172.19.0.7
