frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,42,,
5.298883000,74,172.19.0.10,172.19.0.2
5.298935000,74,172.19.0.2,172.19.0.10
5.298990000,66,172.19.0.10,172.19.0.2
5.299295000,103,172.19.0.10,172.19.0.2
5.299330000,66,172.19.0.2,172.19.0.10
5.299528000,70,172.19.0.2,172.19.0.10
5.299573000,66,172.19.0.10,172.19.0.2
5.299638000,74,172.19.0.10,172.19.0.2
5.299682000,74,172.19.0.2,172.19.0.10
5.299731000,66,172.19.0.10,172.19.0.2
5.299790000,74,172.19.0.10,172.19.0.2
5.299834000,74,172.19.0.2,172.19.0.10
5.299883000,66,172.19.0.10,172.19.0.2
5.300010000,103,172.19.0.10,172.19.0.2
5.300035000,66,172.19.0.2,172.19.0.10
5.300135000,103,172.19.0.10,172.19.0.2
5.300157000,66,172.19.0.2,172.19.0.10
5.300163000,74,172.19.0.10,172.19.0.2
5.300233000,74,172.19.0.2,172.19.0.10
5.300333000,66,172.19.0.10,172.19.0.2
5.300355000,74,172.19.0.10,172.19.0.2
5.300408000,74,172.19.0.2,172.19.0.10
5.300476000,66,172.19.0.10,172.19.0.2
5.300602000,103,172.19.0.10,172.19.0.2
5.300634000,66,172.19.0.2,172.19.0.10
5.300672000,74,172.19.0.10,172.19.0.2
5.300715000,74,172.19.0.2,172.19.0.10
5.300740000,103,172.19.0.10,172.19.0.2
5.300763000,66,172.19.0.10,172.19.0.2
5.300765000,70,172.19.0.2,172.19.0.10
5.300773000,66,172.19.0.2,172.19.0.10
5.300856000,66,172.19.0.10,172.19.0.2
5.300940000,70,172.19.0.2,172.19.0.10
5.300994000,103,172.19.0.10,172.19.0.2
5.301019000,66,172.19.0.2,172.19.0.10
5.301021000,66,172.19.0.10,172.19.0.2
5.301103000,70,172.19.0.2,172.19.0.10
5.301137000,66,172.19.0.10,172.19.0.2
5.301245000,70,172.19.0.2,172.19.0.10
5.301450000,66,172.19.0.10,172.19.0.2
5.301655000,70,172.19.0.2,172.19.0.10
5.301715000,66,172.19.0.10,172.19.0.2
5.301791000,74,172.19.0.10,172.19.0.2
5.301833000,74,172.19.0.2,172.19.0.10
5.301919000,66,172.19.0.10,172.19.0.2
5.302106000,103,172.19.0.10,172.19.0.2
5.302131000,66,172.19.0.2,172.19.0.10
5.304389000,70,172.19.0.2,172.19.0.10
5.304541000,66,172.19.0.10,172.19.0.2
6.301546000,76,172.19.0.10,172.19.0.2
6.301699000,76,172.19.0.10,172.19.0.2
6.301771000,76,172.19.0.10,172.19.0.2
6.301778000,66,172.19.0.2,172.19.0.10
6.301795000,66,172.19.0.2,172.19.0.10
6.301989000,66,172.19.0.2,172.19.0.10
6.302303000,76,172.19.0.10,172.19.0.2
6.302385000,70,172.19.0.2,172.19.0.10
