frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,78,172.19.0.2,172.19.0.3,3,1,1000,3432,1
0.000092000,66,172.19.0.3,172.19.0.2,,,,,
0.000574000,78,172.19.0.3,172.19.0.4,3,1,1000,3432,1
0.000624000,76,172.19.0.2,172.19.0.3,3,1,a1,3432,2
0.000654000,66,172.19.0.3,172.19.0.2,,,,,
0.000709000,66,172.19.0.4,172.19.0.3,,,,,
0.000974000,70,172.19.0.3,172.19.0.2,4,,,,1
0.001060000,66,172.19.0.2,172.19.0.3,,,,,
0.001201000,76,172.19.0.3,172.19.0.4,3,1,a1,3432,2
0.001257000,66,172.19.0.4,172.19.0.3,,,,,
0.001304000,70,172.19.0.3,172.19.0.2,4,,,,2
0.001337000,76,172.19.0.2,172.19.0.3,3,1,a2,3432,3
0.001356000,66,172.19.0.3,172.19.0.2,,,,,
0.001429000,66,172.19.0.2,172.19.0.3,,,,,
0.001723000,75,172.19.0.2,172.19.0.3,3,1,7,3432,4
0.001747000,66,172.19.0.3,172.19.0.2,,,,,
0.001755000,70,172.19.0.4,172.19.0.3,4,,,,1
0.001777000,66,172.19.0.3,172.19.0.4,,,,,
0.002045000,70,172.19.0.4,172.19.0.3,4,,,,2
0.002066000,66,172.19.0.3,172.19.0.4,,,,,
0.002198000,76,172.19.0.3,172.19.0.4,3,1,a2,3432,3
0.002253000,66,172.19.0.4,172.19.0.3,,,,,
0.002279000,76,172.19.0.2,172.19.0.3,3,1,a5,3432,5
0.002294000,70,172.19.0.3,172.19.0.2,4,,,,3
0.002344000,66,172.19.0.2,172.19.0.3,,,,,
0.002366000,66,172.19.0.3,172.19.0.2,,,,,
0.002647000,75,172.19.0.3,172.19.0.4,3,1,7,3432,4
0.002783000,70,172.19.0.3,172.19.0.2,4,,,,4
0.002778000,66,172.19.0.4,172.19.0.3,,,,,
0.002898000,66,172.19.0.2,172.19.0.3,,,,,
0.003035000,76,172.19.0.3,172.19.0.4,3,1,a5,3432,5
0.003059000,70,172.19.0.4,172.19.0.3,4,,,,3
0.003098000,70,172.19.0.3,172.19.0.2,4,,,,5
0.003103000,66,172.19.0.3,172.19.0.4,,,,,
0.003146000,66,172.19.0.2,172.19.0.3,,,,,
0.003165000,66,172.19.0.4,172.19.0.3,,,,,
0.003475000,70,172.19.0.4,172.19.0.3,4,,,,4
0.003500000,66,172.19.0.3,172.19.0.4,,,,,
0.003920000,70,172.19.0.4,172.19.0.3,4,,,,5
0.003947000,66,172.19.0.3,172.19.0.4,,,,,
0.006106000,76,172.19.0.2,172.19.0.3,3,1,a4,3432,6
0.006125000,66,172.19.0.3,172.19.0.2,,,,,
0.006491000,76,172.19.0.3,172.19.0.4,3,1,a4,3432,6
0.006612000,66,172.19.0.4,172.19.0.3,,,,,
0.006655000,70,172.19.0.3,172.19.0.2,4,,,,6
0.006701000,66,172.19.0.2,172.19.0.3,,,,,
0.006907000,70,172.19.0.4,172.19.0.3,4,,,,6
0.006969000,66,172.19.0.3,172.19.0.4,,,,,
0.007654000,76,172.19.0.2,172.19.0.3,3,1,a3,3432,7
0.007775000,66,172.19.0.3,172.19.0.2,,,,,
0.008425000,76,172.19.0.3,172.19.0.4,3,1,a3,3432,7
0.008558000,66,172.19.0.4,172.19.0.3,,,,,
0.008596000,70,172.19.0.3,172.19.0.2,4,,,,7
0.008677000,66,172.19.0.2,172.19.0.3,,,,,
0.009072000,70,172.19.0.4,172.19.0.3,4,,,,7
0.009095000,66,172.19.0.3,172.19.0.4,,,,,
0.999271000,78,172.19.0.2,172.19.0.3,3,1,1000,3536,8
0.999358000,66,172.19.0.3,172.19.0.2,,,,,
0.999496000,78,172.19.0.3,172.19.0.4,3,1,1000,3536,8
0.999583000,75,172.19.0.2,172.19.0.3,3,1,7,3536,9
0.999589000,66,172.19.0.4,172.19.0.3,,,,,
0.999602000,66,172.19.0.3,172.19.0.2,,,,,
0.999626000,70,172.19.0.3,172.19.0.2,4,,,,8
0.999669000,66,172.19.0.2,172.19.0.3,,,,,
0.999788000,75,172.19.0.3,172.19.0.4,3,1,7,3536,9
0.999861000,66,172.19.0.4,172.19.0.3,,,,,
0.999902000,70,172.19.0.3,172.19.0.2,4,,,,9
0.999968000,66,172.19.0.2,172.19.0.3,,,,,
1.000621000,70,172.19.0.4,172.19.0.3,4,,,,8
1.000666000,66,172.19.0.3,172.19.0.4,,,,,
1.000691000,76,172.19.0.2,172.19.0.3,3,1,a1,3536,10
1.001303000,70,172.19.0.4,172.19.0.3,4,,,,9
1.001364000,66,172.19.0.3,172.19.0.4,,,,,
1.002681000,76,172.19.0.3,172.19.0.4,3,1,a1,3536,10
1.002927000,70,172.19.0.3,172.19.0.2,4,,,,10
1.003006000,86,172.19.0.2,172.19.0.3,3^3,1^1,a2^a3,3536^3536,11^12
1.003212000,70,172.19.0.3,172.19.0.2,4,,,,11
1.003273000,66,172.19.0.2,172.19.0.3,,,,,
1.003391000,70,172.19.0.4,172.19.0.3,4,,,,10
1.003419000,70,172.19.0.3,172.19.0.2,4,,,,12
1.003421000,86,172.19.0.3,172.19.0.4,3^3,1^1,a2^a3,3536^3536,11^12
1.003474000,66,172.19.0.2,172.19.0.3,,,,,
1.003558000,70,172.19.0.4,172.19.0.3,4,,,,11
1.003580000,66,172.19.0.3,172.19.0.4,,,,,
1.003897000,70,172.19.0.4,172.19.0.3,4,,,,12
1.003946000,66,172.19.0.3,172.19.0.4,,,,,
1.004047000,76,172.19.0.2,172.19.0.3,3,1,a5,3536,13
1.004444000,76,172.19.0.3,172.19.0.4,3,1,a5,3536,13
1.004508000,70,172.19.0.3,172.19.0.2,4,,,,13
1.004561000,66,172.19.0.2,172.19.0.3,,,,,
1.004668000,76,172.19.0.2,172.19.0.3,3,1,a4,3536,14
1.004733000,70,172.19.0.4,172.19.0.3,4,,,,13
1.004766000,66,172.19.0.3,172.19.0.4,,,,,
1.004987000,76,172.19.0.3,172.19.0.4,3,1,a4,3536,14
1.005105000,70,172.19.0.3,172.19.0.2,4,,,,14
1.005190000,66,172.19.0.2,172.19.0.3,,,,,
1.005354000,70,172.19.0.4,172.19.0.3,4,,,,14
1.005380000,66,172.19.0.3,172.19.0.4,,,,,
2.002550000,78,172.19.0.2,172.19.0.3,3,1,1000,3337,15
2.004086000,78,172.19.0.3,172.19.0.4,3,1,1000,3337,15
2.004242000,70,172.19.0.3,172.19.0.2,4,,,,15
2.004339000,85,172.19.0.2,172.19.0.3,3^3,1^1,7^a1,3337^3337,16^17
2.004660000,70,172.19.0.3,172.19.0.2,4,,,,16
2.004790000,76,172.19.0.2,172.19.0.3,3,1,a3,3337,18
2.004961000,70,172.19.0.3,172.19.0.2,4,,,,17
2.005170000,76,172.19.0.2,172.19.0.3,3,1,a2,3337,19
2.005218000,70,172.19.0.3,172.19.0.2,4,,,,18
2.005764000,70,172.19.0.4,172.19.0.3,4,,,,15
2.005795000,105,172.19.0.3,172.19.0.4,3^3^3^3,1^1^1^1,7^a1^a3^a2,3337^3337^3337^3337,16^17^18^19
2.005990000,76,172.19.0.2,172.19.0.3,3,1,a4,3337,20
2.006016000,70,172.19.0.3,172.19.0.2,4,,,,19
2.006028000,70,172.19.0.4,172.19.0.3,4,,,,16
2.006111000,76,172.19.0.3,172.19.0.4,3,1,a4,3337,20
2.006207000,70,172.19.0.4,172.19.0.3,4,,,,17
2.007628000,76,172.19.0.2,172.19.0.3,3,1,a5,3337,21
2.007677000,70,172.19.0.3,172.19.0.2,4,,,,20
2.008510000,76,172.19.0.3,172.19.0.4,3,1,a5,3337,21
2.008660000,78,172.19.0.4,172.19.0.3,4^4^4,,,,18^19^20
2.049209000,66,172.19.0.2,172.19.0.3,,,,,
2.049262000,70,172.19.0.3,172.19.0.2,4,,,,21
2.049421000,66,172.19.0.2,172.19.0.3,,,,,
2.053195000,66,172.19.0.3,172.19.0.4,,,,,
2.053481000,70,172.19.0.4,172.19.0.3,4,,,,21
2.053511000,66,172.19.0.3,172.19.0.4,,,,,
3.000048000,78,172.19.0.2,172.19.0.3,3,1,1000,3731,22
3.000331000,78,172.19.0.3,172.19.0.4,3,1,1000,3731,22
3.000474000,70,172.19.0.3,172.19.0.2,4,,,,22
3.000531000,66,172.19.0.2,172.19.0.3,,,,,
3.000898000,70,172.19.0.4,172.19.0.3,4,,,,22
3.000924000,66,172.19.0.3,172.19.0.4,,,,,
3.001225000,76,172.19.0.2,172.19.0.3,3,1,a1,3731,23
3.001352000,76,172.19.0.3,172.19.0.4,3,1,a1,3731,23
3.001517000,70,172.19.0.3,172.19.0.2,4,,,,23
3.001693000,75,172.19.0.2,172.19.0.3,3,1,7,3731,24
3.001999000,70,172.19.0.4,172.19.0.3,4,,,,23
3.002019000,66,172.19.0.3,172.19.0.4,,,,,
3.002221000,75,172.19.0.3,172.19.0.4,3,1,7,3731,24
3.002370000,70,172.19.0.3,172.19.0.2,4,,,,24
3.002462000,66,172.19.0.2,172.19.0.3,,,,,
3.002754000,70,172.19.0.4,172.19.0.3,4,,,,24
3.002795000,66,172.19.0.3,172.19.0.4,,,,,
3.003150000,76,172.19.0.2,172.19.0.3,3,1,a2,3731,25
3.004273000,76,172.19.0.3,172.19.0.4,3,1,a2,3731,25
3.004345000,70,172.19.0.3,172.19.0.2,4,,,,25
3.004469000,76,172.19.0.2,172.19.0.3,3,1,a3,3731,26
3.004630000,70,172.19.0.3,172.19.0.2,4,,,,26
3.004686000,66,172.19.0.2,172.19.0.3,,,,,
3.004949000,70,172.19.0.4,172.19.0.3,4,,,,25
3.004997000,76,172.19.0.3,172.19.0.4,3,1,a3,3731,26
3.005319000,70,172.19.0.4,172.19.0.3,4,,,,26
3.005341000,66,172.19.0.3,172.19.0.4,,,,,
3.005888000,76,172.19.0.2,172.19.0.3,3,1,a4,3731,27
3.006382000,76,172.19.0.3,172.19.0.4,3,1,a4,3731,27
3.006614000,70,172.19.0.3,172.19.0.2,4,,,,27
3.006812000,66,172.19.0.2,172.19.0.3,,,,,
