frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,76,172.19.0.2,172.19.0.3,3,1,a1,3331,1
0.000081000,66,172.19.0.3,172.19.0.2,,,,,
0.000267000,76,172.19.0.3,172.19.0.4,3,1,a1,3331,1
0.000318000,76,172.19.0.2,172.19.0.3,3,1,a2,3331,2
0.000373000,66,172.19.0.3,172.19.0.2,,,,,
0.000415000,66,172.19.0.4,172.19.0.3,,,,,
0.000475000,70,172.19.0.3,172.19.0.2,4,,,,1
0.000526000,66,172.19.0.2,172.19.0.3,,,,,
0.000635000,76,172.19.0.3,172.19.0.4,3,1,a2,3331,2
0.000684000,66,172.19.0.4,172.19.0.3,,,,,
0.000739000,70,172.19.0.3,172.19.0.2,4,,,,2
0.000787000,66,172.19.0.2,172.19.0.3,,,,,
0.000999000,70,172.19.0.4,172.19.0.3,4,,,,1
0.001018000,66,172.19.0.3,172.19.0.4,,,,,
0.001237000,76,172.19.0.2,172.19.0.3,3,1,a4,3331,3
0.001258000,66,172.19.0.3,172.19.0.2,,,,,
0.001300000,70,172.19.0.4,172.19.0.3,4,,,,2
0.001320000,66,172.19.0.3,172.19.0.4,,,,,
0.001720000,76,172.19.0.3,172.19.0.4,3,1,a4,3331,3
0.001723000,76,172.19.0.2,172.19.0.3,3,1,a5,3331,4
0.001773000,66,172.19.0.3,172.19.0.2,,,,,
0.001865000,66,172.19.0.4,172.19.0.3,,,,,
0.001923000,70,172.19.0.3,172.19.0.2,4,,,,3
0.001968000,66,172.19.0.2,172.19.0.3,,,,,
0.002002000,76,172.19.0.2,172.19.0.3,3,1,a3,3331,5
0.002023000,66,172.19.0.3,172.19.0.2,,,,,
0.002088000,76,172.19.0.3,172.19.0.4,3,1,a5,3331,4
0.002148000,66,172.19.0.4,172.19.0.3,,,,,
0.002182000,70,172.19.0.4,172.19.0.3,4,,,,3
0.002190000,70,172.19.0.3,172.19.0.2,4,,,,4
0.002203000,66,172.19.0.3,172.19.0.4,,,,,
0.002239000,66,172.19.0.2,172.19.0.3,,,,,
0.002301000,76,172.19.0.3,172.19.0.4,3,1,a3,3331,5
0.002376000,66,172.19.0.4,172.19.0.3,,,,,
0.002418000,70,172.19.0.3,172.19.0.2,4,,,,5
0.002536000,66,172.19.0.2,172.19.0.3,,,,,
