frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,87,172.19.0.1,224.0.0.251
69.256913000,42,,
79.623244000,42,,
80.626907000,76,172.19.0.2,172.19.0.3
80.627790000,76,172.19.0.3,172.19.0.4
80.629009000,76,172.19.0.4,172.19.0.5
80.629138000,66,172.19.0.5,172.19.0.4
80.629622000,76,172.19.0.5,172.19.0.6
80.629812000,66,172.19.0.6,172.19.0.5
80.630364000,70,172.19.0.5,172.19.0.4
80.630527000,66,172.19.0.4,172.19.0.5
80.631010000,76,172.19.0.6,172.19.0.7
80.632313000,70,172.19.0.6,172.19.0.5
80.632338000,66,172.19.0.5,172.19.0.6
81.627943000,76,172.19.0.4,172.19.0.5
81.628118000,66,172.19.0.5,172.19.0.4
81.628806000,76,172.19.0.5,172.19.0.6
81.628947000,66,172.19.0.6,172.19.0.5
81.629014000,70,172.19.0.5,172.19.0.4
81.629140000,66,172.19.0.4,172.19.0.5
81.632149000,70,172.19.0.6,172.19.0.5
81.632179000,66,172.19.0.5,172.19.0.6
82.629416000,76,172.19.0.4,172.19.0.5
82.629949000,76,172.19.0.5,172.19.0.6
82.630063000,66,172.19.0.6,172.19.0.5
82.630121000,70,172.19.0.5,172.19.0.4
82.630329000,66,172.19.0.4,172.19.0.5
82.632307000,70,172.19.0.6,172.19.0.5
82.632331000,66,172.19.0.5,172.19.0.6
83.629698000,76,172.19.0.4,172.19.0.5
83.630209000,76,172.19.0.5,172.19.0.6
83.630596000,70,172.19.0.5,172.19.0.4
83.630816000,66,172.19.0.4,172.19.0.5
83.630907000,70,172.19.0.6,172.19.0.5
83.630939000,66,172.19.0.5,172.19.0.6
84.632742000,76,172.19.0.4,172.19.0.5
84.633306000,76,172.19.0.5,172.19.0.6
84.633457000,70,172.19.0.5,172.19.0.4
84.633569000,66,172.19.0.4,172.19.0.5
84.633886000,70,172.19.0.6,172.19.0.5
84.633914000,66,172.19.0.5,172.19.0.6
85.633195000,76,172.19.0.4,172.19.0.5
85.633656000,76,172.19.0.5,172.19.0.6
85.634183000,70,172.19.0.5,172.19.0.4
85.634296000,66,172.19.0.4,172.19.0.5
85.634427000,70,172.19.0.6,172.19.0.5
85.634457000,66,172.19.0.5,172.19.0.6
86.505679000,107,,
86.636401000,76,172.19.0.4,172.19.0.5
86.637558000,76,172.19.0.5,172.19.0.6
86.637693000,70,172.19.0.5,172.19.0.4
86.637806000,66,172.19.0.4,172.19.0.5
86.638241000,70,172.19.0.6,172.19.0.5
86.638275000,66,172.19.0.5,172.19.0.6
87.634802000,76,172.19.0.4,172.19.0.5
87.635480000,76,172.19.0.5,172.19.0.6
87.635620000,70,172.19.0.5,172.19.0.4
87.635731000,66,172.19.0.4,172.19.0.5
87.636196000,70,172.19.0.6,172.19.0.5
87.636253000,66,172.19.0.5,172.19.0.6
88.635496000,76,172.19.0.4,172.19.0.5
88.636556000,76,172.19.0.5,172.19.0.6
88.636867000,70,172.19.0.5,172.19.0.4
88.636996000,66,172.19.0.4,172.19.0.5
88.637833000,70,172.19.0.6,172.19.0.5
88.637860000,66,172.19.0.5,172.19.0.6
89.638164000,76,172.19.0.4,172.19.0.5
89.638443000,76,172.19.0.5,172.19.0.6
89.638735000,70,172.19.0.5,172.19.0.4
89.638846000,66,172.19.0.4,172.19.0.5
89.639881000,70,172.19.0.6,172.19.0.5
89.639907000,66,172.19.0.5,172.19.0.6
90.639807000,76,172.19.0.4,172.19.0.5
90.640070000,76,172.19.0.5,172.19.0.6
90.640489000,70,172.19.0.5,172.19.0.4
90.640555000,66,172.19.0.4,172.19.0.5
90.640822000,70,172.19.0.6,172.19.0.5
90.640849000,66,172.19.0.5,172.19.0.6
91.640161000,76,172.19.0.4,172.19.0.5
91.640582000,76,172.19.0.5,172.19.0.6
91.640716000,70,172.19.0.5,172.19.0.4
91.640802000,66,172.19.0.4,172.19.0.5
91.641856000,70,172.19.0.6,172.19.0.5
91.641880000,66,172.19.0.5,172.19.0.6
92.640025000,76,172.19.0.4,172.19.0.5
92.640434000,76,172.19.0.5,172.19.0.6
92.640652000,70,172.19.0.5,172.19.0.4
92.640762000,66,172.19.0.4,172.19.0.5
92.641104000,70,172.19.0.6,172.19.0.5
92.641130000,66,172.19.0.5,172.19.0.6
93.641735000,75,172.19.0.4,172.19.0.5
93.641977000,75,172.19.0.5,172.19.0.6
93.642282000,70,172.19.0.5,172.19.0.4
93.642349000,66,172.19.0.4,172.19.0.5
93.643566000,70,172.19.0.6,172.19.0.5
93.643593000,66,172.19.0.5,172.19.0.6
94.642061000,76,172.19.0.4,172.19.0.5
94.642257000,76,172.19.0.5,172.19.0.6
94.642388000,70,172.19.0.5,172.19.0.4
94.642444000,66,172.19.0.4,172.19.0.5
94.643991000,70,172.19.0.6,172.19.0.5
94.644019000,66,172.19.0.5,172.19.0.6
95.643145000,76,172.19.0.4,172.19.0.5
95.643722000,76,172.19.0.5,172.19.0.6
95.644224000,70,172.19.0.5,172.19.0.4
95.644336000,66,172.19.0.4,172.19.0.5
95.644592000,70,172.19.0.6,172.19.0.5
95.644625000,66,172.19.0.5,172.19.0.6
96.644948000,76,172.19.0.4,172.19.0.5
96.645699000,76,172.19.0.5,172.19.0.6
96.646117000,70,172.19.0.6,172.19.0.5
96.646140000,66,172.19.0.5,172.19.0.6
96.647084000,70,172.19.0.5,172.19.0.4
96.647164000,66,172.19.0.4,172.19.0.5
97.646146000,75,172.19.0.4,172.19.0.5
97.646400000,75,172.19.0.5,172.19.0.6
97.647512000,70,172.19.0.6,172.19.0.5
97.647542000,66,172.19.0.5,172.19.0.6
97.649291000,70,172.19.0.5,172.19.0.4
97.649395000,66,172.19.0.4,172.19.0.5
98.645996000,76,172.19.0.4,172.19.0.5
98.647098000,76,172.19.0.5,172.19.0.6
98.647283000,70,172.19.0.5,172.19.0.4
98.647587000,66,172.19.0.4,172.19.0.5
98.648291000,70,172.19.0.6,172.19.0.5
98.648325000,66,172.19.0.5,172.19.0.6
99.646819000,76,172.19.0.4,172.19.0.5
99.647252000,76,172.19.0.5,172.19.0.6
99.647460000,70,172.19.0.5,172.19.0.4
99.647691000,66,172.19.0.4,172.19.0.5
99.648417000,70,172.19.0.6,172.19.0.5
99.648442000,66,172.19.0.5,172.19.0.6
100.649543000,76,172.19.0.4,172.19.0.5
100.649957000,76,172.19.0.5,172.19.0.6
