frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,73,172.19.0.5,172.19.0.4
0.000081000,66,172.19.0.4,172.19.0.5
0.000413000,73,172.19.0.4,172.19.0.2
0.000528000,66,172.19.0.2,172.19.0.4
1.001936000,74,172.19.0.5,172.19.0.4
1.001964000,66,172.19.0.4,172.19.0.5
1.002330000,74,172.19.0.4,172.19.0.2
1.002469000,66,172.19.0.2,172.19.0.4
2.001435000,74,172.19.0.5,172.19.0.4
2.001464000,66,172.19.0.4,172.19.0.5
2.001779000,74,172.19.0.4,172.19.0.2
2.001884000,66,172.19.0.2,172.19.0.4
3.006545000,74,172.19.0.5,172.19.0.4
3.006572000,66,172.19.0.4,172.19.0.5
3.007057000,74,172.19.0.4,172.19.0.2
3.007170000,66,172.19.0.2,172.19.0.4
4.004376000,74,172.19.0.5,172.19.0.4
4.004404000,66,172.19.0.4,172.19.0.5
4.007058000,74,172.19.0.4,172.19.0.2
4.007229000,66,172.19.0.2,172.19.0.4
5.009417000,74,172.19.0.5,172.19.0.4
5.009571000,66,172.19.0.4,172.19.0.5
5.010008000,74,172.19.0.4,172.19.0.2
5.010141000,66,172.19.0.2,172.19.0.4
5.185938000,42,,
5.186016000,42,,
5.186028000,42,,
5.186099000,42,,
6.009986000,74,172.19.0.5,172.19.0.4
6.010019000,66,172.19.0.4,172.19.0.5
6.010538000,74,172.19.0.4,172.19.0.2
6.010686000,66,172.19.0.2,172.19.0.4
7.007845000,74,172.19.0.5,172.19.0.4
7.007872000,66,172.19.0.4,172.19.0.5
7.008729000,74,172.19.0.4,172.19.0.2
7.008869000,66,172.19.0.2,172.19.0.4
8.010032000,74,172.19.0.5,172.19.0.4
8.010075000,66,172.19.0.4,172.19.0.5
8.010477000,74,172.19.0.4,172.19.0.2
8.010591000,66,172.19.0.2,172.19.0.4
9.012098000,74,172.19.0.5,172.19.0.4
9.012122000,66,172.19.0.4,172.19.0.5
9.013094000,74,172.19.0.4,172.19.0.2
9.013230000,66,172.19.0.2,172.19.0.4
10.011248000,74,172.19.0.5,172.19.0.4
10.011282000,66,172.19.0.4,172.19.0.5
10.011611000,74,172.19.0.4,172.19.0.2
10.011749000,66,172.19.0.2,172.19.0.4
11.012386000,73,172.19.0.5,172.19.0.4
11.012412000,66,172.19.0.4,172.19.0.5
11.012995000,73,172.19.0.4,172.19.0.2
11.013429000,66,172.19.0.2,172.19.0.4
12.013900000,74,172.19.0.5,172.19.0.4
12.013926000,66,172.19.0.4,172.19.0.5
12.014319000,74,172.19.0.4,172.19.0.2
12.014433000,66,172.19.0.2,172.19.0.4
13.014272000,74,172.19.0.5,172.19.0.4
13.014299000,66,172.19.0.4,172.19.0.5
13.015656000,74,172.19.0.4,172.19.0.2
