"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.19.0.7","172.19.0.8","TCP","68","35696  >  8088 [PSH, ACK] Seq=1 Ack=1 Win=502 Len=2 TSval=2826574410 TSecr=2488186143"
"2","0.000728","172.19.0.8","172.19.0.7","TCP","68","8088  >  35696 [PSH, ACK] Seq=1 Ack=3 Win=509 Len=2 TSval=2488246102 TSecr=2826574410"
"3","0.000887","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=3 Win=502 Len=0 TSval=2826574411 TSecr=2488246102"
"4","5.033153","02:42:ac:13:00:07","02:42:ac:13:00:08","ARP","42","Who has 172.19.0.8? Tell 172.19.0.7"
"5","5.033166","02:42:ac:13:00:08","02:42:ac:13:00:07","ARP","42","172.19.0.8 is at 02:42:ac:13:00:08"
"6","5.033237","02:42:ac:13:00:08","02:42:ac:13:00:07","ARP","42","Who has 172.19.0.7? Tell 172.19.0.8"
"7","5.033364","02:42:ac:13:00:07","02:42:ac:13:00:08","ARP","42","172.19.0.7 is at 02:42:ac:13:00:07"
"8","37.619809","172.19.0.9","172.19.0.8","TCP","74","49258  >  8088 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3504549632 TSecr=0 WS=128"
"9","37.619932","172.19.0.8","172.19.0.9","TCP","74","8088  >  49258 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1728602763 TSecr=3504549632 WS=128"
"10","37.619994","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3504549632 TSecr=1728602763"
"11","37.620526","172.19.0.9","172.19.0.8","TCP","103","49258  >  8088 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=3504549632 TSecr=1728602763"
"12","37.620574","172.19.0.8","172.19.0.9","TCP","66","8088  >  49258 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1728602764 TSecr=3504549632"
"13","37.620766","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=4 TSval=1728602764 TSecr=3504549632 [TCP segment of a reassembled PDU]"
"14","37.620810","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=38 Ack=5 Win=64256 Len=0 TSval=3504549633 TSecr=1728602764"
"15","38.622708","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=38 Ack=5 Win=64256 Len=12 TSval=3504550635 TSecr=1728602764"
"16","38.622832","172.19.0.8","172.19.0.9","TCP","66","8088  >  49258 [ACK] Seq=5 Ack=50 Win=65152 Len=0 TSval=1728603766 TSecr=3504550635"
"17","38.623045","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=5 Ack=50 Win=65152 Len=4 TSval=1728603766 TSecr=3504550635 [TCP segment of a reassembled PDU]"
"18","38.623216","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=50 Ack=9 Win=64256 Len=0 TSval=3504550635 TSecr=1728603766"
"19","38.623848","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=50 Ack=9 Win=64256 Len=4 TSval=3504550636 TSecr=1728603766 [TCP segment of a reassembled PDU]"
"20","38.623905","172.19.0.8","172.19.0.9","TCP","66","8088  >  49258 [ACK] Seq=9 Ack=54 Win=65152 Len=0 TSval=1728603767 TSecr=3504550636"
