frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.7,172.19.0.8
0.000790000,68,172.19.0.8,172.19.0.7
0.000831000,66,172.19.0.7,172.19.0.8
1.192894000,42,,
1.193019000,42,,
1.193030000,42,,
1.193056000,42,,
5.033147000,42,,
5.033208000,42,,
5.033377000,42,,
5.033388000,42,,
38.624199000,76,172.19.0.8,172.19.0.7
38.624334000,66,172.19.0.7,172.19.0.8
38.624657000,76,172.19.0.7,172.19.0.6
38.624954000,66,172.19.0.6,172.19.0.7
39.626114000,76,172.19.0.8,172.19.0.7
39.626143000,66,172.19.0.7,172.19.0.8
39.626651000,76,172.19.0.7,172.19.0.6
39.626855000,66,172.19.0.6,172.19.0.7
40.626054000,76,172.19.0.8,172.19.0.7
40.626080000,66,172.19.0.7,172.19.0.8
40.626442000,76,172.19.0.7,172.19.0.6
40.626564000,66,172.19.0.6,172.19.0.7
41.626637000,76,172.19.0.8,172.19.0.7
41.626661000,66,172.19.0.7,172.19.0.8
41.627253000,76,172.19.0.7,172.19.0.6
41.627368000,66,172.19.0.6,172.19.0.7
42.628367000,76,172.19.0.8,172.19.0.7
42.628392000,66,172.19.0.7,172.19.0.8
42.628714000,76,172.19.0.7,172.19.0.6
42.628842000,66,172.19.0.6,172.19.0.7
43.628733000,76,172.19.0.8,172.19.0.7
43.628823000,66,172.19.0.7,172.19.0.8
43.629344000,76,172.19.0.7,172.19.0.6
43.629444000,66,172.19.0.6,172.19.0.7
43.688462000,42,,
43.688529000,42,,
43.688714000,42,,
43.688724000,42,,
44.633686000,76,172.19.0.8,172.19.0.7
44.633711000,66,172.19.0.7,172.19.0.8
44.634643000,76,172.19.0.7,172.19.0.6
44.634844000,66,172.19.0.6,172.19.0.7
45.632005000,76,172.19.0.8,172.19.0.7
45.632027000,66,172.19.0.7,172.19.0.8
45.632926000,76,172.19.0.7,172.19.0.6
45.633069000,66,172.19.0.6,172.19.0.7
46.634365000,76,172.19.0.8,172.19.0.7
46.634388000,66,172.19.0.7,172.19.0.8
46.635590000,76,172.19.0.7,172.19.0.6
46.635738000,66,172.19.0.6,172.19.0.7
47.637689000,76,172.19.0.8,172.19.0.7
47.637727000,66,172.19.0.7,172.19.0.8
47.638239000,76,172.19.0.7,172.19.0.6
47.638419000,66,172.19.0.6,172.19.0.7
48.638837000,76,172.19.0.8,172.19.0.7
48.638893000,66,172.19.0.7,172.19.0.8
48.639376000,76,172.19.0.7,172.19.0.6
48.639532000,66,172.19.0.6,172.19.0.7
49.638063000,76,172.19.0.8,172.19.0.7
49.638086000,66,172.19.0.7,172.19.0.8
49.638855000,76,172.19.0.7,172.19.0.6
49.639101000,66,172.19.0.6,172.19.0.7
50.640914000,76,172.19.0.8,172.19.0.7
50.640981000,66,172.19.0.7,172.19.0.8
50.641650000,76,172.19.0.7,172.19.0.6
50.641777000,66,172.19.0.6,172.19.0.7
51.644178000,76,172.19.0.8,172.19.0.7
51.644208000,66,172.19.0.7,172.19.0.8
51.644651000,76,172.19.0.7,172.19.0.6
51.644816000,66,172.19.0.6,172.19.0.7
52.642773000,76,172.19.0.8,172.19.0.7
52.642816000,66,172.19.0.7,172.19.0.8
