frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.3,172.19.0.2
0.000702000,68,172.19.0.2,172.19.0.3
0.000777000,66,172.19.0.3,172.19.0.2
5.122136000,42,,
5.122150000,42,,
5.126580000,42,,
5.126752000,42,,
5.920490000,74,172.19.0.10,172.19.0.3
5.920557000,74,172.19.0.3,172.19.0.10
5.920641000,66,172.19.0.10,172.19.0.3
5.920820000,103,172.19.0.10,172.19.0.3
5.920841000,66,172.19.0.3,172.19.0.10
5.921179000,70,172.19.0.3,172.19.0.10
5.921437000,66,172.19.0.10,172.19.0.3
5.921811000,571,172.19.0.10,172.19.0.3
5.921832000,66,172.19.0.3,172.19.0.10
5.925605000,170,172.19.0.3,172.19.0.10
5.925696000,66,172.19.0.10,172.19.0.3
11.010552000,42,,
11.010622000,42,,
11.010635000,42,,
11.010647000,42,,
15.771880000,76,172.19.0.2,172.19.0.3
15.771979000,66,172.19.0.3,172.19.0.2
15.772418000,76,172.19.0.3,172.19.0.10
15.772608000,66,172.19.0.10,172.19.0.3
15.772720000,70,172.19.0.3,172.19.0.2
15.773021000,70,172.19.0.10,172.19.0.3
15.773044000,66,172.19.0.3,172.19.0.10
15.821978000,66,172.19.0.2,172.19.0.3
16.773848000,76,172.19.0.2,172.19.0.3
16.773932000,66,172.19.0.3,172.19.0.2
16.774422000,76,172.19.0.3,172.19.0.10
16.774461000,66,172.19.0.10,172.19.0.3
16.774530000,70,172.19.0.3,172.19.0.2
16.774633000,66,172.19.0.2,172.19.0.3
16.775009000,70,172.19.0.10,172.19.0.3
16.775039000,66,172.19.0.3,172.19.0.10
17.773991000,76,172.19.0.2,172.19.0.3
17.774103000,66,172.19.0.3,172.19.0.2
17.774848000,76,172.19.0.3,172.19.0.10
17.774945000,66,172.19.0.10,172.19.0.3
17.775047000,70,172.19.0.3,172.19.0.2
17.775154000,70,172.19.0.10,172.19.0.3
17.775181000,66,172.19.0.3,172.19.0.10
17.775196000,66,172.19.0.2,172.19.0.3
18.775167000,75,172.19.0.2,172.19.0.3
18.776355000,75,172.19.0.3,172.19.0.10
18.776598000,70,172.19.0.10,172.19.0.3
18.776641000,66,172.19.0.3,172.19.0.10
18.776936000,70,172.19.0.3,172.19.0.2
18.777041000,66,172.19.0.2,172.19.0.3
19.773843000,75,172.19.0.2,172.19.0.3
19.774633000,75,172.19.0.3,172.19.0.10
19.774850000,70,172.19.0.10,172.19.0.3
19.774876000,66,172.19.0.3,172.19.0.10
19.775216000,70,172.19.0.3,172.19.0.2
19.775415000,66,172.19.0.2,172.19.0.3
20.776794000,76,172.19.0.2,172.19.0.3
20.777268000,76,172.19.0.3,172.19.0.10
20.777496000,70,172.19.0.3,172.19.0.2
20.777553000,66,172.19.0.2,172.19.0.3
20.777839000,70,172.19.0.10,172.19.0.3
20.777868000,66,172.19.0.3,172.19.0.10
21.780319000,76,172.19.0.2,172.19.0.3
21.780992000,76,172.19.0.3,172.19.0.10
21.781163000,70,172.19.0.3,172.19.0.2
21.781341000,66,172.19.0.2,172.19.0.3
21.781469000,70,172.19.0.10,172.19.0.3
