frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.7,172.19.0.6
0.000288000,68,172.19.0.6,172.19.0.7
0.000453000,66,172.19.0.7,172.19.0.6
0.000679000,68,172.19.0.6,172.19.0.5
0.001253000,68,172.19.0.5,172.19.0.6
0.001281000,66,172.19.0.6,172.19.0.5
0.001583000,68,172.19.0.5,172.19.0.6
0.001701000,68,172.19.0.6,172.19.0.5
0.001803000,66,172.19.0.5,172.19.0.6
4.039802000,68,172.19.0.6,172.19.0.7
4.040124000,68,172.19.0.7,172.19.0.6
4.040147000,66,172.19.0.6,172.19.0.7
5.212364000,42,,
5.212399000,42,,
5.212428000,42,,
5.212476000,42,,
13.801212000,75,172.19.0.5,172.19.0.6
13.801838000,75,172.19.0.6,172.19.0.7
13.801981000,71,172.19.0.6,172.19.0.5
13.802092000,66,172.19.0.5,172.19.0.6
13.803349000,71,172.19.0.7,172.19.0.6
13.803377000,66,172.19.0.6,172.19.0.7
29.528291000,76,172.19.0.7,172.19.0.6
29.528346000,66,172.19.0.6,172.19.0.7
29.528868000,76,172.19.0.6,172.19.0.5
29.529052000,66,172.19.0.5,172.19.0.6
29.529101000,70,172.19.0.6,172.19.0.7
29.529570000,70,172.19.0.5,172.19.0.6
29.571675000,66,172.19.0.6,172.19.0.5
29.571794000,66,172.19.0.7,172.19.0.6
30.530898000,76,172.19.0.7,172.19.0.6
30.531026000,66,172.19.0.6,172.19.0.7
30.531663000,76,172.19.0.6,172.19.0.5
30.532018000,66,172.19.0.5,172.19.0.6
30.532521000,70,172.19.0.6,172.19.0.7
30.532731000,70,172.19.0.5,172.19.0.6
30.532786000,66,172.19.0.6,172.19.0.5
30.533188000,66,172.19.0.7,172.19.0.6
31.530420000,76,172.19.0.7,172.19.0.6
31.530476000,66,172.19.0.6,172.19.0.7
31.530800000,76,172.19.0.6,172.19.0.5
31.530965000,66,172.19.0.5,172.19.0.6
31.531080000,70,172.19.0.6,172.19.0.7
31.531341000,66,172.19.0.7,172.19.0.6
31.532416000,70,172.19.0.5,172.19.0.6
31.532465000,66,172.19.0.6,172.19.0.5
32.530715000,76,172.19.0.7,172.19.0.6
32.531258000,76,172.19.0.6,172.19.0.5
32.531402000,70,172.19.0.6,172.19.0.7
32.531511000,66,172.19.0.7,172.19.0.6
32.532151000,70,172.19.0.5,172.19.0.6
32.532178000,66,172.19.0.6,172.19.0.5
33.532752000,76,172.19.0.7,172.19.0.6
33.533219000,76,172.19.0.6,172.19.0.5
33.533366000,70,172.19.0.6,172.19.0.7
33.533424000,66,172.19.0.7,172.19.0.6
33.534545000,70,172.19.0.5,172.19.0.6
33.534932000,66,172.19.0.6,172.19.0.5
34.532389000,76,172.19.0.7,172.19.0.6
34.533153000,76,172.19.0.6,172.19.0.5
34.533338000,70,172.19.0.6,172.19.0.7
34.533451000,66,172.19.0.7,172.19.0.6
34.534689000,70,172.19.0.5,172.19.0.6
34.534723000,66,172.19.0.6,172.19.0.5
35.532818000,76,172.19.0.7,172.19.0.6
35.533531000,76,172.19.0.6,172.19.0.5
35.533656000,70,172.19.0.6,172.19.0.7
35.533825000,66,172.19.0.7,172.19.0.6
35.535285000,70,172.19.0.5,172.19.0.6
35.535317000,66,172.19.0.6,172.19.0.5
36.534117000,76,172.19.0.7,172.19.0.6
36.535098000,76,172.19.0.6,172.19.0.5
36.536338000,70,172.19.0.6,172.19.0.7
36.536363000,70,172.19.0.5,172.19.0.6
36.536405000,66,172.19.0.6,172.19.0.5
36.536463000,66,172.19.0.7,172.19.0.6
37.535021000,76,172.19.0.7,172.19.0.6
37.535449000,76,172.19.0.6,172.19.0.5
37.535974000,70,172.19.0.6,172.19.0.7
37.536122000,66,172.19.0.7,172.19.0.6
37.538937000,70,172.19.0.5,172.19.0.6
37.538963000,66,172.19.0.6,172.19.0.5
38.535712000,75,172.19.0.7,172.19.0.6
38.536547000,75,172.19.0.6,172.19.0.5
38.537252000,70,172.19.0.5,172.19.0.6
38.537352000,66,172.19.0.6,172.19.0.5
38.537730000,70,172.19.0.6,172.19.0.7
38.537802000,66,172.19.0.7,172.19.0.6
39.535752000,76,172.19.0.7,172.19.0.6
39.536160000,76,172.19.0.6,172.19.0.5
39.536289000,70,172.19.0.6,172.19.0.7
39.536347000,66,172.19.0.7,172.19.0.6
39.536889000,70,172.19.0.5,172.19.0.6
39.536953000,66,172.19.0.6,172.19.0.5
40.536297000,76,172.19.0.7,172.19.0.6
40.536798000,76,172.19.0.6,172.19.0.5
40.537139000,70,172.19.0.6,172.19.0.7
40.537252000,66,172.19.0.7,172.19.0.6
40.538139000,70,172.19.0.5,172.19.0.6
40.538167000,66,172.19.0.6,172.19.0.5
41.539460000,76,172.19.0.7,172.19.0.6
41.540459000,76,172.19.0.6,172.19.0.5
41.540653000,70,172.19.0.6,172.19.0.7
41.540935000,66,172.19.0.7,172.19.0.6
41.541264000,70,172.19.0.5,172.19.0.6
41.541291000,66,172.19.0.6,172.19.0.5
42.539519000,76,172.19.0.7,172.19.0.6
42.539962000,76,172.19.0.6,172.19.0.5
42.540120000,70,172.19.0.6,172.19.0.7
42.540225000,66,172.19.0.7,172.19.0.6
42.540988000,70,172.19.0.5,172.19.0.6
42.541016000,66,172.19.0.6,172.19.0.5
43.539706000,76,172.19.0.7,172.19.0.6
43.540243000,76,172.19.0.6,172.19.0.5
43.540387000,70,172.19.0.6,172.19.0.7
43.540479000,66,172.19.0.7,172.19.0.6
43.541047000,70,172.19.0.5,172.19.0.6
43.541075000,66,172.19.0.6,172.19.0.5
44.541063000,76,172.19.0.7,172.19.0.6
44.541656000,76,172.19.0.6,172.19.0.5
44.541803000,70,172.19.0.6,172.19.0.7
44.542244000,66,172.19.0.7,172.19.0.6
44.543041000,70,172.19.0.5,172.19.0.6
44.543068000,66,172.19.0.6,172.19.0.5
45.542330000,76,172.19.0.7,172.19.0.6
45.542776000,76,172.19.0.6,172.19.0.5
45.542919000,70,172.19.0.6,172.19.0.7
45.543025000,66,172.19.0.7,172.19.0.6
45.545280000,70,172.19.0.5,172.19.0.6
45.545306000,66,172.19.0.6,172.19.0.5
46.544371000,76,172.19.0.7,172.19.0.6
46.545386000,76,172.19.0.6,172.19.0.5
46.545516000,70,172.19.0.6,172.19.0.7
46.545736000,66,172.19.0.7,172.19.0.6
46.546017000,70,172.19.0.5,172.19.0.6
46.546162000,66,172.19.0.6,172.19.0.5
47.544105000,76,172.19.0.7,172.19.0.6
47.544819000,76,172.19.0.6,172.19.0.5
47.545262000,70,172.19.0.5,172.19.0.6
47.545287000,66,172.19.0.6,172.19.0.5
47.545433000,70,172.19.0.6,172.19.0.7
47.545572000,66,172.19.0.7,172.19.0.6
48.545982000,76,172.19.0.7,172.19.0.6
48.546529000,76,172.19.0.6,172.19.0.5
48.546650000,70,172.19.0.6,172.19.0.7
48.546745000,66,172.19.0.7,172.19.0.6
48.547156000,70,172.19.0.5,172.19.0.6
48.547182000,66,172.19.0.6,172.19.0.5
49.546736000,76,172.19.0.7,172.19.0.6
49.547611000,76,172.19.0.6,172.19.0.5
49.547751000,70,172.19.0.6,172.19.0.7
49.548054000,66,172.19.0.7,172.19.0.6
49.548453000,70,172.19.0.5,172.19.0.6
49.548480000,66,172.19.0.6,172.19.0.5
50.548089000,76,172.19.0.7,172.19.0.6
50.548704000,76,172.19.0.6,172.19.0.5
50.548859000,70,172.19.0.6,172.19.0.7
50.548984000,66,172.19.0.7,172.19.0.6
50.551727000,70,172.19.0.5,172.19.0.6
50.551757000,66,172.19.0.6,172.19.0.5
51.548343000,76,172.19.0.7,172.19.0.6
51.548765000,76,172.19.0.6,172.19.0.5
51.548915000,70,172.19.0.6,172.19.0.7
51.549025000,66,172.19.0.7,172.19.0.6
51.550671000,70,172.19.0.5,172.19.0.6
51.550697000,66,172.19.0.6,172.19.0.5
52.549876000,76,172.19.0.7,172.19.0.6
52.550591000,76,172.19.0.6,172.19.0.5
52.550777000,70,172.19.0.6,172.19.0.7
52.550956000,66,172.19.0.7,172.19.0.6
52.552142000,70,172.19.0.5,172.19.0.6
52.552171000,66,172.19.0.6,172.19.0.5
53.550170000,76,172.19.0.7,172.19.0.6
53.550678000,76,172.19.0.6,172.19.0.5
53.550924000,70,172.19.0.6,172.19.0.7
53.551124000,66,172.19.0.7,172.19.0.6
53.551878000,70,172.19.0.5,172.19.0.6
53.551905000,66,172.19.0.6,172.19.0.5
54.552612000,76,172.19.0.7,172.19.0.6
54.554014000,76,172.19.0.6,172.19.0.5
54.554221000,70,172.19.0.6,172.19.0.7
54.554368000,66,172.19.0.7,172.19.0.6
54.554532000,70,172.19.0.5,172.19.0.6
54.554560000,66,172.19.0.6,172.19.0.5
55.555466000,75,172.19.0.7,172.19.0.6
55.556065000,75,172.19.0.6,172.19.0.5
55.556953000,70,172.19.0.6,172.19.0.7
55.557094000,66,172.19.0.7,172.19.0.6
55.557490000,70,172.19.0.5,172.19.0.6
55.557523000,66,172.19.0.6,172.19.0.5
56.555487000,75,172.19.0.7,172.19.0.6
56.556442000,75,172.19.0.6,172.19.0.5
56.556576000,70,172.19.0.6,172.19.0.7
56.556659000,66,172.19.0.7,172.19.0.6
56.557401000,70,172.19.0.5,172.19.0.6
56.557428000,66,172.19.0.6,172.19.0.5
57.555649000,76,172.19.0.7,172.19.0.6
57.555947000,76,172.19.0.6,172.19.0.5
57.556085000,70,172.19.0.6,172.19.0.7
57.556199000,66,172.19.0.7,172.19.0.6
57.556689000,70,172.19.0.5,172.19.0.6
57.556717000,66,172.19.0.6,172.19.0.5
58.556512000,76,172.19.0.7,172.19.0.6
