frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,74,172.19.0.9,172.19.0.8
0.000124000,74,172.19.0.8,172.19.0.9
0.000190000,66,172.19.0.9,172.19.0.8
0.000428000,103,172.19.0.9,172.19.0.8
0.000491000,66,172.19.0.8,172.19.0.9
0.000811000,70,172.19.0.8,172.19.0.9
0.000919000,66,172.19.0.9,172.19.0.8
1.001955000,76,172.19.0.9,172.19.0.8
1.002031000,66,172.19.0.8,172.19.0.9
1.002851000,70,172.19.0.8,172.19.0.9
1.002967000,66,172.19.0.9,172.19.0.8
1.003401000,70,172.19.0.9,172.19.0.8
1.003425000,66,172.19.0.8,172.19.0.9
1.003748000,74,172.19.0.8,172.19.0.7
1.003862000,66,172.19.0.7,172.19.0.8
1.004007000,74,172.19.0.8,172.19.0.6
1.004144000,66,172.19.0.6,172.19.0.8
1.004298000,70,172.19.0.8,172.19.0.9
1.004385000,66,172.19.0.9,172.19.0.8
2.002717000,76,172.19.0.9,172.19.0.8
2.002897000,66,172.19.0.8,172.19.0.9
2.003556000,70,172.19.0.8,172.19.0.9
2.003666000,66,172.19.0.9,172.19.0.8
2.004031000,70,172.19.0.9,172.19.0.8
2.004516000,74,172.19.0.8,172.19.0.7
2.004687000,66,172.19.0.7,172.19.0.8
2.004749000,74,172.19.0.8,172.19.0.6
2.004859000,66,172.19.0.6,172.19.0.8
2.004924000,70,172.19.0.8,172.19.0.9
2.005002000,66,172.19.0.9,172.19.0.8
3.003228000,76,172.19.0.9,172.19.0.8
3.003701000,70,172.19.0.8,172.19.0.9
3.003930000,66,172.19.0.9,172.19.0.8
3.004304000,70,172.19.0.9,172.19.0.8
3.005203000,74,172.19.0.8,172.19.0.7
3.005436000,66,172.19.0.7,172.19.0.8
3.005856000,74,172.19.0.8,172.19.0.6
3.005972000,66,172.19.0.6,172.19.0.8
3.006027000,70,172.19.0.8,172.19.0.9
3.006113000,66,172.19.0.9,172.19.0.8
4.004530000,76,172.19.0.9,172.19.0.8
4.004925000,70,172.19.0.8,172.19.0.9
4.005114000,66,172.19.0.9,172.19.0.8
4.005465000,70,172.19.0.9,172.19.0.8
4.005826000,74,172.19.0.8,172.19.0.7
4.005978000,66,172.19.0.7,172.19.0.8
4.006077000,74,172.19.0.8,172.19.0.6
4.006188000,66,172.19.0.6,172.19.0.8
4.006313000,70,172.19.0.8,172.19.0.9
4.006402000,66,172.19.0.9,172.19.0.8
5.006373000,76,172.19.0.9,172.19.0.8
5.006895000,70,172.19.0.8,172.19.0.9
5.007078000,66,172.19.0.9,172.19.0.8
5.008648000,70,172.19.0.9,172.19.0.8
5.009745000,74,172.19.0.8,172.19.0.7
5.009960000,66,172.19.0.7,172.19.0.8
5.010000000,74,172.19.0.8,172.19.0.6
5.010181000,66,172.19.0.6,172.19.0.8
5.010299000,70,172.19.0.8,172.19.0.9
5.010455000,66,172.19.0.9,172.19.0.8
6.008102000,76,172.19.0.9,172.19.0.8
6.008389000,70,172.19.0.8,172.19.0.9
6.008459000,66,172.19.0.9,172.19.0.8
6.008582000,70,172.19.0.9,172.19.0.8
6.008801000,74,172.19.0.8,172.19.0.7
6.009030000,66,172.19.0.7,172.19.0.8
6.009178000,74,172.19.0.8,172.19.0.6
6.009569000,66,172.19.0.6,172.19.0.8
6.009700000,70,172.19.0.8,172.19.0.9
6.009825000,66,172.19.0.9,172.19.0.8
6.088642000,42,,
6.088657000,42,,
7.008729000,76,172.19.0.9,172.19.0.8
7.009472000,70,172.19.0.8,172.19.0.9
7.009580000,66,172.19.0.9,172.19.0.8
7.010439000,70,172.19.0.9,172.19.0.8
7.011432000,74,172.19.0.8,172.19.0.7
7.011530000,66,172.19.0.7,172.19.0.8
7.011657000,74,172.19.0.8,172.19.0.6
7.011827000,66,172.19.0.6,172.19.0.8
7.012011000,70,172.19.0.8,172.19.0.9
7.012156000,66,172.19.0.9,172.19.0.8
8.010037000,76,172.19.0.9,172.19.0.8
8.011651000,70,172.19.0.8,172.19.0.9
8.011776000,66,172.19.0.9,172.19.0.8
8.012719000,70,172.19.0.9,172.19.0.8
8.013382000,74,172.19.0.8,172.19.0.7
8.013538000,66,172.19.0.7,172.19.0.8
8.013641000,74,172.19.0.8,172.19.0.6
8.013744000,66,172.19.0.6,172.19.0.8
8.013795000,70,172.19.0.8,172.19.0.9
8.013915000,66,172.19.0.9,172.19.0.8
9.010315000,76,172.19.0.9,172.19.0.8
9.010842000,70,172.19.0.8,172.19.0.9
9.010974000,66,172.19.0.9,172.19.0.8
9.011483000,70,172.19.0.9,172.19.0.8
9.011969000,74,172.19.0.8,172.19.0.7
9.012106000,66,172.19.0.7,172.19.0.8
9.012190000,74,172.19.0.8,172.19.0.6
9.012319000,66,172.19.0.6,172.19.0.8
9.012387000,70,172.19.0.8,172.19.0.9
9.012472000,66,172.19.0.9,172.19.0.8
10.011440000,76,172.19.0.9,172.19.0.8
10.011962000,70,172.19.0.8,172.19.0.9
10.012119000,66,172.19.0.9,172.19.0.8
