frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,75,172.19.0.5,172.19.0.7
0.000141000,66,172.19.0.7,172.19.0.5
0.000262000,75,172.19.0.5,172.19.0.7
0.000285000,66,172.19.0.7,172.19.0.5
0.000367000,75,172.19.0.5,172.19.0.7
0.000389000,66,172.19.0.7,172.19.0.5
0.000469000,75,172.19.0.5,172.19.0.7
0.000492000,66,172.19.0.7,172.19.0.5
0.000581000,75,172.19.0.5,172.19.0.7
0.000604000,66,172.19.0.7,172.19.0.5
0.000852000,75,172.19.0.5,172.19.0.7
0.000876000,66,172.19.0.7,172.19.0.5
0.000964000,75,172.19.0.5,172.19.0.7
0.000966000,75,172.19.0.7,172.19.0.4
0.000986000,66,172.19.0.7,172.19.0.5
0.001106000,75,172.19.0.7,172.19.0.8
0.001128000,75,172.19.0.5,172.19.0.7
0.001152000,66,172.19.0.7,172.19.0.5
0.001194000,66,172.19.0.8,172.19.0.7
0.001235000,75,172.19.0.5,172.19.0.7
0.001257000,66,172.19.0.7,172.19.0.5
0.001388000,71,172.19.0.7,172.19.0.5
0.001419000,75,172.19.0.5,172.19.0.7
0.001443000,66,172.19.0.7,172.19.0.5
0.001497000,66,172.19.0.5,172.19.0.7
0.001543000,75,172.19.0.7,172.19.0.8
0.001574000,75,172.19.0.5,172.19.0.7
0.001596000,66,172.19.0.8,172.19.0.7
0.001597000,66,172.19.0.7,172.19.0.5
0.001712000,75,172.19.0.5,172.19.0.7
0.001715000,71,172.19.0.7,172.19.0.5
0.001791000,66,172.19.0.5,172.19.0.7
0.001790000,71,172.19.0.4,172.19.0.7
0.001824000,66,172.19.0.7,172.19.0.5
0.001828000,75,172.19.0.7,172.19.0.4
0.001889000,93,172.19.0.5,172.19.0.7
0.001923000,66,172.19.0.7,172.19.0.5
0.001972000,71,172.19.0.8,172.19.0.7
0.001982000,93,172.19.0.5,172.19.0.7
0.001997000,66,172.19.0.7,172.19.0.8
0.002006000,66,172.19.0.7,172.19.0.5
0.002082000,93,172.19.0.5,172.19.0.7
0.002102000,71,172.19.0.4,172.19.0.7
0.002129000,66,172.19.0.7,172.19.0.4
0.002209000,75,172.19.0.7,172.19.0.4
0.002321000,75,172.19.0.7,172.19.0.8
0.002345000,71,172.19.0.8,172.19.0.7
0.002370000,66,172.19.0.7,172.19.0.8
0.002373000,71,172.19.0.7,172.19.0.5
0.002446000,102,172.19.0.5,172.19.0.7
0.002583000,71,172.19.0.4,172.19.0.7
0.002610000,66,172.19.0.7,172.19.0.4
0.002649000,75,172.19.0.7,172.19.0.4
0.002726000,71,172.19.0.8,172.19.0.7
0.002751000,66,172.19.0.7,172.19.0.8
0.002844000,75,172.19.0.7,172.19.0.8
0.002967000,71,172.19.0.7,172.19.0.5
0.003043000,165,172.19.0.5,172.19.0.7
0.003215000,71,172.19.0.8,172.19.0.7
0.003249000,75,172.19.0.7,172.19.0.8
0.003301000,71,172.19.0.7,172.19.0.5
0.003364000,111,172.19.0.5,172.19.0.7
0.003554000,71,172.19.0.8,172.19.0.7
0.003579000,66,172.19.0.7,172.19.0.8
0.003605000,75,172.19.0.7,172.19.0.8
0.003789000,71,172.19.0.7,172.19.0.5
0.003855000,192,172.19.0.5,172.19.0.7
0.004123000,71,172.19.0.8,172.19.0.7
0.004136000,71,172.19.0.7,172.19.0.5
0.004158000,75,172.19.0.7,172.19.0.8
0.004197000,102,172.19.0.5,172.19.0.7
0.004509000,71,172.19.0.8,172.19.0.7
0.004516000,71,172.19.0.7,172.19.0.5
0.004544000,75,172.19.0.7,172.19.0.8
0.004577000,129,172.19.0.5,172.19.0.7
0.005118000,71,172.19.0.7,172.19.0.5
0.005183000,111,172.19.0.5,172.19.0.7
0.005355000,71,172.19.0.8,172.19.0.7
0.005400000,75,172.19.0.7,172.19.0.8
0.005472000,71,172.19.0.7,172.19.0.5
0.005534000,138,172.19.0.5,172.19.0.7
0.005697000,71,172.19.0.7,172.19.0.5
0.005758000,71,172.19.0.8,172.19.0.7
0.005776000,120,172.19.0.5,172.19.0.7
0.005793000,84,172.19.0.7,172.19.0.8
0.006080000,71,172.19.0.8,172.19.0.7
0.006098000,71,172.19.0.7,172.19.0.5
0.006112000,75,172.19.0.7,172.19.0.8
0.006160000,111,172.19.0.5,172.19.0.7
0.006423000,71,172.19.0.7,172.19.0.5
0.006432000,71,172.19.0.8,172.19.0.7
0.006467000,75,172.19.0.7,172.19.0.8
0.006485000,138,172.19.0.5,172.19.0.7
0.006686000,71,172.19.0.8,172.19.0.7
0.006691000,71,172.19.0.7,172.19.0.5
0.006719000,75,172.19.0.7,172.19.0.8
0.006752000,84,172.19.0.5,172.19.0.7
0.006926000,71,172.19.0.8,172.19.0.7
0.006946000,71,172.19.0.7,172.19.0.5
0.006959000,75,172.19.0.7,172.19.0.8
0.007223000,71,172.19.0.8,172.19.0.7
0.007256000,75,172.19.0.7,172.19.0.8
0.007423000,71,172.19.0.8,172.19.0.7
0.007462000,75,172.19.0.7,172.19.0.8
0.007649000,71,172.19.0.8,172.19.0.7
0.007703000,75,172.19.0.7,172.19.0.8
0.007819000,71,172.19.0.8,172.19.0.7
0.008071000,75,172.19.0.7,172.19.0.8
0.008134000,71,172.19.0.8,172.19.0.7
0.008327000,75,172.19.0.7,172.19.0.8
0.008442000,71,172.19.0.8,172.19.0.7
0.008985000,75,172.19.0.7,172.19.0.8
0.009181000,219,172.19.0.7,172.19.0.4
0.009545000,71,172.19.0.8,172.19.0.7
0.009580000,75,172.19.0.7,172.19.0.8
0.009935000,71,172.19.0.8,172.19.0.7
0.010020000,66,172.19.0.5,172.19.0.7
0.010055000,101,172.19.0.7,172.19.0.5
0.011073000,66,172.19.0.5,172.19.0.7
0.011232000,71,172.19.0.4,172.19.0.7
0.011267000,84,172.19.0.7,172.19.0.4
0.011420000,71,172.19.0.4,172.19.0.7
0.011484000,66,172.19.0.7,172.19.0.4
0.012466000,71,172.19.0.4,172.19.0.7
0.012491000,66,172.19.0.7,172.19.0.4
0.013919000,75,172.19.0.7,172.19.0.8
0.014037000,71,172.19.0.8,172.19.0.7
0.014094000,71,172.19.0.7,172.19.0.5
0.014336000,75,172.19.0.7,172.19.0.4
0.014448000,75,172.19.0.7,172.19.0.8
0.014631000,71,172.19.0.8,172.19.0.7
0.014944000,71,172.19.0.4,172.19.0.7
0.014973000,75,172.19.0.7,172.19.0.8
0.014980000,75,172.19.0.7,172.19.0.4
0.015070000,71,172.19.0.8,172.19.0.7
0.015087000,66,172.19.0.5,172.19.0.7
0.015123000,76,172.19.0.7,172.19.0.5
0.015435000,66,172.19.0.5,172.19.0.7
0.015437000,75,172.19.0.7,172.19.0.8
0.015557000,71,172.19.0.8,172.19.0.7
0.015605000,71,172.19.0.7,172.19.0.5
0.016194000,75,172.19.0.7,172.19.0.8
0.016307000,71,172.19.0.8,172.19.0.7
0.016630000,66,172.19.0.5,172.19.0.7
0.016673000,71,172.19.0.7,172.19.0.5
0.017184000,75,172.19.0.7,172.19.0.8
0.017251000,66,172.19.0.5,172.19.0.7
0.017327000,71,172.19.0.8,172.19.0.7
0.017389000,71,172.19.0.7,172.19.0.5
0.017491000,66,172.19.0.5,172.19.0.7
0.017873000,75,172.19.0.7,172.19.0.8
0.017981000,71,172.19.0.7,172.19.0.5
0.018360000,71,172.19.0.8,172.19.0.7
0.018396000,75,172.19.0.7,172.19.0.8
0.018456000,66,172.19.0.5,172.19.0.7
0.018489000,71,172.19.0.7,172.19.0.5
0.018867000,66,172.19.0.5,172.19.0.7
0.018900000,76,172.19.0.7,172.19.0.5
0.018954000,71,172.19.0.8,172.19.0.7
0.018987000,84,172.19.0.7,172.19.0.8
0.019185000,66,172.19.0.5,172.19.0.7
0.019218000,71,172.19.0.7,172.19.0.5
0.019339000,66,172.19.0.5,172.19.0.7
0.019427000,71,172.19.0.7,172.19.0.5
0.019524000,71,172.19.0.8,172.19.0.7
0.019559000,84,172.19.0.7,172.19.0.8
0.019998000,71,172.19.0.8,172.19.0.7
0.020031000,75,172.19.0.7,172.19.0.8
