frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.6,172.19.0.8
0.000724000,68,172.19.0.8,172.19.0.6
0.000768000,66,172.19.0.6,172.19.0.8
3.157164000,42,,
3.157329000,42,,
3.157331000,42,,
3.157357000,42,,
5.205888000,42,,
5.206075000,42,,
5.206103000,42,,
5.206390000,42,,
17.427669000,75,172.19.0.8,172.19.0.6
17.427706000,66,172.19.0.6,172.19.0.8
17.427902000,75,172.19.0.6,172.19.0.3
17.428129000,66,172.19.0.3,172.19.0.6
17.428238000,75,172.19.0.6,172.19.0.2
17.428389000,66,172.19.0.2,172.19.0.6
18.429509000,76,172.19.0.8,172.19.0.6
18.429580000,66,172.19.0.6,172.19.0.8
18.430045000,76,172.19.0.6,172.19.0.3
18.430187000,66,172.19.0.3,172.19.0.6
18.430229000,76,172.19.0.6,172.19.0.2
18.430352000,66,172.19.0.2,172.19.0.6
19.429995000,75,172.19.0.8,172.19.0.6
19.430016000,66,172.19.0.6,172.19.0.8
19.430486000,75,172.19.0.6,172.19.0.3
19.430631000,66,172.19.0.3,172.19.0.6
19.430680000,75,172.19.0.6,172.19.0.2
19.430828000,66,172.19.0.2,172.19.0.6
20.430928000,76,172.19.0.8,172.19.0.6
20.430963000,66,172.19.0.6,172.19.0.8
20.431701000,76,172.19.0.6,172.19.0.3
20.431797000,66,172.19.0.3,172.19.0.6
20.431835000,76,172.19.0.6,172.19.0.2
20.431915000,66,172.19.0.2,172.19.0.6
21.433884000,76,172.19.0.8,172.19.0.6
21.433929000,66,172.19.0.6,172.19.0.8
21.435119000,76,172.19.0.6,172.19.0.3
21.435258000,66,172.19.0.3,172.19.0.6
21.435323000,76,172.19.0.6,172.19.0.2
21.435420000,66,172.19.0.2,172.19.0.6
22.435878000,76,172.19.0.8,172.19.0.6
22.435928000,66,172.19.0.6,172.19.0.8
22.436769000,76,172.19.0.6,172.19.0.3
22.436898000,66,172.19.0.3,172.19.0.6
22.436979000,76,172.19.0.6,172.19.0.2
22.437160000,66,172.19.0.2,172.19.0.6
22.613679000,42,,
22.613692000,42,,
23.435369000,76,172.19.0.8,172.19.0.6
23.435395000,66,172.19.0.6,172.19.0.8
23.435786000,76,172.19.0.6,172.19.0.3
23.435943000,66,172.19.0.3,172.19.0.6
23.436010000,76,172.19.0.6,172.19.0.2
23.436219000,66,172.19.0.2,172.19.0.6
24.436253000,76,172.19.0.8,172.19.0.6
24.436276000,66,172.19.0.6,172.19.0.8
24.436713000,76,172.19.0.6,172.19.0.3
24.436981000,66,172.19.0.3,172.19.0.6
24.437069000,76,172.19.0.6,172.19.0.2
24.437237000,66,172.19.0.2,172.19.0.6
25.437313000,75,172.19.0.8,172.19.0.6
25.437338000,66,172.19.0.6,172.19.0.8
25.437545000,75,172.19.0.6,172.19.0.3
25.437640000,66,172.19.0.3,172.19.0.6
25.437793000,75,172.19.0.6,172.19.0.2
25.437872000,66,172.19.0.2,172.19.0.6
26.438503000,76,172.19.0.8,172.19.0.6
26.438527000,66,172.19.0.6,172.19.0.8
26.440028000,76,172.19.0.6,172.19.0.3
26.440153000,66,172.19.0.3,172.19.0.6
26.440194000,76,172.19.0.6,172.19.0.2
26.440301000,66,172.19.0.2,172.19.0.6
27.439476000,76,172.19.0.8,172.19.0.6
27.439499000,66,172.19.0.6,172.19.0.8
27.439975000,76,172.19.0.6,172.19.0.3
27.440102000,66,172.19.0.3,172.19.0.6
27.440147000,76,172.19.0.6,172.19.0.2
27.440251000,66,172.19.0.2,172.19.0.6
28.440214000,76,172.19.0.8,172.19.0.6
28.440259000,66,172.19.0.6,172.19.0.8
28.441186000,76,172.19.0.6,172.19.0.3
28.441346000,66,172.19.0.3,172.19.0.6
28.441415000,76,172.19.0.6,172.19.0.2
28.441593000,66,172.19.0.2,172.19.0.6
29.440749000,76,172.19.0.8,172.19.0.6
29.440772000,66,172.19.0.6,172.19.0.8
29.441143000,76,172.19.0.6,172.19.0.3
29.441419000,66,172.19.0.3,172.19.0.6
29.441508000,76,172.19.0.6,172.19.0.2
29.441591000,66,172.19.0.2,172.19.0.6
30.442563000,76,172.19.0.8,172.19.0.6
30.442587000,66,172.19.0.6,172.19.0.8
30.442979000,76,172.19.0.6,172.19.0.3
