frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,78,172.19.0.7,172.19.0.5
0.000057000,66,172.19.0.5,172.19.0.7
0.000251000,78,172.19.0.5,172.19.0.10
0.000327000,66,172.19.0.10,172.19.0.5
0.000372000,70,172.19.0.5,172.19.0.7
0.000535000,70,172.19.0.10,172.19.0.5
0.000560000,66,172.19.0.5,172.19.0.10
0.044538000,66,172.19.0.7,172.19.0.5
1.000990000,78,172.19.0.7,172.19.0.5
1.001104000,66,172.19.0.5,172.19.0.7
1.002741000,78,172.19.0.5,172.19.0.10
1.002953000,66,172.19.0.10,172.19.0.5
1.002993000,70,172.19.0.5,172.19.0.7
1.003168000,66,172.19.0.7,172.19.0.5
1.004239000,70,172.19.0.10,172.19.0.5
1.004283000,66,172.19.0.5,172.19.0.10
2.002836000,78,172.19.0.7,172.19.0.5
2.002958000,66,172.19.0.5,172.19.0.7
2.004992000,78,172.19.0.5,172.19.0.10
2.005088000,66,172.19.0.10,172.19.0.5
2.005127000,70,172.19.0.5,172.19.0.7
2.005214000,66,172.19.0.7,172.19.0.5
2.006649000,70,172.19.0.10,172.19.0.5
2.006687000,66,172.19.0.5,172.19.0.10
3.005622000,77,172.19.0.7,172.19.0.5
3.006849000,77,172.19.0.5,172.19.0.10
3.006970000,70,172.19.0.5,172.19.0.7
3.007158000,66,172.19.0.7,172.19.0.5
3.007506000,70,172.19.0.10,172.19.0.5
3.007546000,66,172.19.0.5,172.19.0.10
4.005271000,78,172.19.0.7,172.19.0.5
4.005696000,78,172.19.0.5,172.19.0.10
4.006021000,70,172.19.0.10,172.19.0.5
4.006048000,66,172.19.0.5,172.19.0.10
4.006468000,70,172.19.0.5,172.19.0.7
4.006588000,66,172.19.0.7,172.19.0.5
5.007479000,77,172.19.0.7,172.19.0.5
5.008427000,77,172.19.0.5,172.19.0.10
5.008500000,70,172.19.0.5,172.19.0.7
5.008653000,70,172.19.0.10,172.19.0.5
5.008670000,66,172.19.0.7,172.19.0.5
5.008682000,66,172.19.0.5,172.19.0.10
6.007431000,78,172.19.0.7,172.19.0.5
6.008345000,78,172.19.0.5,172.19.0.10
6.008702000,70,172.19.0.10,172.19.0.5
6.008737000,66,172.19.0.5,172.19.0.10
6.009115000,70,172.19.0.5,172.19.0.7
6.009329000,66,172.19.0.7,172.19.0.5
7.007058000,77,172.19.0.7,172.19.0.5
7.007393000,77,172.19.0.5,172.19.0.10
7.007591000,70,172.19.0.10,172.19.0.5
7.007618000,66,172.19.0.5,172.19.0.10
7.007926000,70,172.19.0.5,172.19.0.7
7.008275000,66,172.19.0.7,172.19.0.5
8.009075000,77,172.19.0.7,172.19.0.5
8.009799000,77,172.19.0.5,172.19.0.10
8.009844000,70,172.19.0.5,172.19.0.7
8.009920000,70,172.19.0.10,172.19.0.5
8.009929000,66,172.19.0.7,172.19.0.5
8.009944000,66,172.19.0.5,172.19.0.10
9.008923000,78,172.19.0.7,172.19.0.5
9.009687000,78,172.19.0.5,172.19.0.10
9.009898000,70,172.19.0.5,172.19.0.7
9.010076000,66,172.19.0.7,172.19.0.5
9.010337000,70,172.19.0.10,172.19.0.5
9.010372000,66,172.19.0.5,172.19.0.10
10.008191000,78,172.19.0.7,172.19.0.5
10.008481000,78,172.19.0.5,172.19.0.10
10.008621000,70,172.19.0.5,172.19.0.7
