frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,42,,,,,,,
0.000101000,42,,,,,,,
0.000114000,42,,,,,,,
0.000128000,42,,,,,,,
8.635634000,76,172.19.0.5,172.19.0.6,3,2,a0,3933,1
8.635721000,66,172.19.0.6,172.19.0.5,,,,,
8.635898000,70,172.19.0.6,172.19.0.5,5,,,,1
8.635970000,66,172.19.0.5,172.19.0.6,,,,,
8.636557000,76,172.19.0.5,172.19.0.6,3,2,a0,3933,2
8.636587000,66,172.19.0.6,172.19.0.5,,,,,
8.636904000,70,172.19.0.6,172.19.0.5,5,,,,2
8.636991000,66,172.19.0.5,172.19.0.6,,,,,
8.637083000,70,172.19.0.5,172.19.0.6,6,,,,1
8.637181000,66,172.19.0.6,172.19.0.5,,,,,
8.637466000,76,172.19.0.6,172.19.0.7,3,2,a0,3933,1
8.637575000,66,172.19.0.7,172.19.0.6,,,,,
8.637629000,70,172.19.0.6,172.19.0.5,7,,,,1
8.637658000,70,172.19.0.5,172.19.0.6,6,,,,2
8.637686000,66,172.19.0.6,172.19.0.5,,,,,
8.637747000,66,172.19.0.5,172.19.0.6,,,,,
8.637764000,76,172.19.0.6,172.19.0.7,3,2,a0,3933,2
8.637828000,66,172.19.0.7,172.19.0.6,,,,,
8.637878000,70,172.19.0.6,172.19.0.5,7,,,,2
8.637948000,66,172.19.0.5,172.19.0.6,,,,,
8.638037000,70,172.19.0.7,172.19.0.6,5,,,,1
8.638076000,66,172.19.0.6,172.19.0.7,,,,,
8.638399000,70,172.19.0.6,172.19.0.7,6,,,,1
8.638485000,66,172.19.0.7,172.19.0.6,,,,,
8.638551000,70,172.19.0.7,172.19.0.6,5,,,,2
8.638693000,66,172.19.0.6,172.19.0.7,,,,,
8.638931000,70,172.19.0.6,172.19.0.7,6,,,,2
8.639001000,66,172.19.0.7,172.19.0.6,,,,,
8.639178000,70,172.19.0.7,172.19.0.6,7,,,,1
8.639213000,66,172.19.0.6,172.19.0.7,,,,,
8.639661000,70,172.19.0.7,172.19.0.6,7,,,,2
8.639695000,66,172.19.0.6,172.19.0.7,,,,,
8.640011000,76,172.19.0.5,172.19.0.6,3,2,a0,3933,3
8.640044000,66,172.19.0.6,172.19.0.5,,,,,
