frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,74,172.19.0.7,172.19.0.8,,,,,
0.000045000,74,172.19.0.8,172.19.0.7,,,,,
0.000107000,66,172.19.0.7,172.19.0.8,,,,,
0.000263000,152,172.19.0.7,172.19.0.8,1,,,,
0.000284000,66,172.19.0.8,172.19.0.7,,,,,
0.000665000,70,172.19.0.8,172.19.0.7,2,,,,
0.000782000,66,172.19.0.7,172.19.0.8,,,,,
0.000991000,121,172.19.0.7,172.19.0.8,3,1,$SYS/broker/connection/b6f851f29bfc.b6->b7/state,31,52
0.001014000,66,172.19.0.8,172.19.0.7,,,,,
0.001143000,82,172.19.0.7,172.19.0.8,8,,exmp/temp,,53
0.001163000,66,172.19.0.8,172.19.0.7,,,,,
0.001269000,70,172.19.0.8,172.19.0.7,4,,,,52
0.001379000,66,172.19.0.7,172.19.0.8,,,,,
0.001487000,71,172.19.0.8,172.19.0.7,9,,,,53
0.001532000,66,172.19.0.7,172.19.0.8,,,,,
