frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,76,172.19.0.3,172.19.0.4,3,1,a0,3535,1
0.000085000,66,172.19.0.4,172.19.0.3,,,,,
0.000685000,76,172.19.0.4,172.19.0.5,3,1,a0,3535,1
0.000810000,66,172.19.0.5,172.19.0.4,,,,,
0.000859000,70,172.19.0.4,172.19.0.3,4,,,,1
0.000996000,66,172.19.0.3,172.19.0.4,,,,,
0.001207000,70,172.19.0.5,172.19.0.4,4,,,,1
0.001232000,66,172.19.0.4,172.19.0.5,,,,,
0.999566000,75,172.19.0.3,172.19.0.4,3,1,a0,35,2
0.999649000,66,172.19.0.4,172.19.0.3,,,,,
0.999888000,75,172.19.0.4,172.19.0.5,3,1,a0,35,2
0.999988000,66,172.19.0.5,172.19.0.4,,,,,
1.000078000,70,172.19.0.4,172.19.0.3,4,,,,2
1.000210000,66,172.19.0.3,172.19.0.4,,,,,
1.000479000,70,172.19.0.5,172.19.0.4,4,,,,2
1.000500000,66,172.19.0.4,172.19.0.5,,,,,
2.000115000,76,172.19.0.3,172.19.0.4,3,1,a0,3436,3
2.000204000,66,172.19.0.4,172.19.0.3,,,,,
2.000460000,76,172.19.0.4,172.19.0.5,3,1,a0,3436,3
2.000554000,66,172.19.0.5,172.19.0.4,,,,,
2.000595000,70,172.19.0.4,172.19.0.3,4,,,,3
2.000691000,66,172.19.0.3,172.19.0.4,,,,,
2.000820000,70,172.19.0.5,172.19.0.4,4,,,,3
2.000841000,66,172.19.0.4,172.19.0.5,,,,,
3.000701000,76,172.19.0.3,172.19.0.4,3,1,a0,3135,4
3.001039000,76,172.19.0.4,172.19.0.5,3,1,a0,3135,4
3.001143000,70,172.19.0.4,172.19.0.3,4,,,,4
3.001251000,66,172.19.0.3,172.19.0.4,,,,,
3.001549000,70,172.19.0.5,172.19.0.4,4,,,,4
3.001573000,66,172.19.0.4,172.19.0.5,,,,,
4.005005000,76,172.19.0.3,172.19.0.4,3,1,a0,3837,5
4.005784000,76,172.19.0.4,172.19.0.5,3,1,a0,3837,5
4.005874000,70,172.19.0.4,172.19.0.3,4,,,,5
4.005990000,66,172.19.0.3,172.19.0.4,,,,,
4.006467000,70,172.19.0.5,172.19.0.4,4,,,,5
4.006492000,66,172.19.0.4,172.19.0.5,,,,,
5.003147000,75,172.19.0.3,172.19.0.4,3,1,a0,32,6
5.003494000,75,172.19.0.4,172.19.0.5,3,1,a0,32,6
5.003642000,70,172.19.0.4,172.19.0.3,4,,,,6
5.003749000,66,172.19.0.3,172.19.0.4,,,,,
5.003986000,70,172.19.0.5,172.19.0.4,4,,,,6
5.004010000,66,172.19.0.4,172.19.0.5,,,,,
6.006686000,75,172.19.0.3,172.19.0.4,3,1,a0,36,7
6.007452000,75,172.19.0.4,172.19.0.5,3,1,a0,36,7
6.007552000,70,172.19.0.4,172.19.0.3,4,,,,7
6.007657000,66,172.19.0.3,172.19.0.4,,,,,
6.008206000,70,172.19.0.5,172.19.0.4,4,,,,7
6.008230000,66,172.19.0.4,172.19.0.5,,,,,
7.005121000,76,172.19.0.3,172.19.0.4,3,1,a0,3937,8
7.005520000,76,172.19.0.4,172.19.0.5,3,1,a0,3937,8
7.005650000,70,172.19.0.4,172.19.0.3,4,,,,8
7.005737000,66,172.19.0.3,172.19.0.4,,,,,
7.006162000,70,172.19.0.5,172.19.0.4,4,,,,8
7.006186000,66,172.19.0.4,172.19.0.5,,,,,
8.005177000,76,172.19.0.3,172.19.0.4,3,1,a0,3735,9
8.005549000,76,172.19.0.4,172.19.0.5,3,1,a0,3735,9
8.005682000,70,172.19.0.4,172.19.0.3,4,,,,9
8.005785000,66,172.19.0.3,172.19.0.4,,,,,
8.006021000,70,172.19.0.5,172.19.0.4,4,,,,9
8.006046000,66,172.19.0.4,172.19.0.5,,,,,
9.005975000,76,172.19.0.3,172.19.0.4,3,1,a0,3134,10
9.006833000,76,172.19.0.4,172.19.0.5,3,1,a0,3134,10
9.006967000,70,172.19.0.4,172.19.0.3,4,,,,10
9.007070000,66,172.19.0.3,172.19.0.4,,,,,
9.007549000,70,172.19.0.5,172.19.0.4,4,,,,10
9.007574000,66,172.19.0.4,172.19.0.5,,,,,
10.007021000,76,172.19.0.3,172.19.0.4,3,1,a0,3735,11
10.007337000,76,172.19.0.4,172.19.0.5,3,1,a0,3735,11
10.007442000,70,172.19.0.4,172.19.0.3,4,,,,11
10.007533000,66,172.19.0.3,172.19.0.4,,,,,
10.007725000,70,172.19.0.5,172.19.0.4,4,,,,11
10.007746000,66,172.19.0.4,172.19.0.5,,,,,
11.008343000,75,172.19.0.3,172.19.0.4,3,1,a0,30,12
11.008995000,75,172.19.0.4,172.19.0.5,3,1,a0,30,12
