frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,74,172.19.0.6,172.19.0.7,,,,,
0.000085000,74,172.19.0.7,172.19.0.6,,,,,
0.000132000,66,172.19.0.6,172.19.0.7,,,,,
0.000346000,152,172.19.0.6,172.19.0.7,1,,,,
0.000390000,66,172.19.0.7,172.19.0.6,,,,,
0.000749000,70,172.19.0.7,172.19.0.6,2,,,,
0.000793000,66,172.19.0.6,172.19.0.7,,,,,
0.001170000,121,172.19.0.6,172.19.0.7,3,1,$SYS/broker/connection/a764eefaafad.b5->b6/state,31,2
0.001322000,66,172.19.0.7,172.19.0.6,,,,,
0.001387000,82,172.19.0.6,172.19.0.7,8,,exmp/temp,,3
0.001427000,66,172.19.0.7,172.19.0.6,,,,,
0.001590000,70,172.19.0.7,172.19.0.6,4,,,,2
0.001629000,66,172.19.0.6,172.19.0.7,,,,,
0.002368000,71,172.19.0.7,172.19.0.6,9,,,,3
0.002408000,66,172.19.0.6,172.19.0.7,,,,,
2.987462000,75,172.19.0.5,172.19.0.6,8,,a0,,4
2.987546000,66,172.19.0.6,172.19.0.5,,,,,
2.987812000,75,172.19.0.6,172.19.0.7,8,,a0,,4
2.987953000,66,172.19.0.7,172.19.0.6,,,,,
2.988024000,71,172.19.0.6,172.19.0.5,9,,,,4
2.988100000,66,172.19.0.5,172.19.0.6,,,,,
2.988127000,75,172.19.0.5,172.19.0.6,8,,a1,,5
2.988153000,66,172.19.0.6,172.19.0.5,,,,,
2.988252000,75,172.19.0.6,172.19.0.7,8,,a1,,5
2.988330000,66,172.19.0.7,172.19.0.6,,,,,
2.988429000,75,172.19.0.5,172.19.0.6,8,,a2,,6
2.988454000,66,172.19.0.6,172.19.0.5,,,,,
2.988485000,71,172.19.0.6,172.19.0.5,9,,,,5
2.988637000,66,172.19.0.5,172.19.0.6,,,,,
2.988639000,75,172.19.0.6,172.19.0.7,8,,a2,,6
2.988642000,71,172.19.0.7,172.19.0.6,9,,,,4
2.988691000,66,172.19.0.5,172.19.0.6,,,,,
2.988698000,66,172.19.0.7,172.19.0.6,,,,,
2.988726000,66,172.19.0.6,172.19.0.7,,,,,
2.988813000,71,172.19.0.6,172.19.0.5,9,,,,6
2.988872000,66,172.19.0.5,172.19.0.6,,,,,
2.988878000,71,172.19.0.7,172.19.0.6,9,,,,5
2.988903000,66,172.19.0.6,172.19.0.7,,,,,
2.988914000,75,172.19.0.5,172.19.0.6,8,,a3,,7
2.988939000,66,172.19.0.6,172.19.0.5,,,,,
2.989086000,75,172.19.0.6,172.19.0.7,8,,a3,,7
2.989142000,66,172.19.0.7,172.19.0.6,,,,,
2.989195000,71,172.19.0.6,172.19.0.5,9,,,,7
2.989230000,75,172.19.0.5,172.19.0.6,8,,a4,,8
2.989255000,66,172.19.0.6,172.19.0.5,,,,,
2.989359000,66,172.19.0.5,172.19.0.6,,,,,
2.989623000,75,172.19.0.5,172.19.0.6,8,,a5,,9
2.989659000,66,172.19.0.6,172.19.0.5,,,,,
2.990482000,75,172.19.0.6,172.19.0.7,8,,a4,,8
2.990548000,66,172.19.0.7,172.19.0.6,,,,,
2.990629000,71,172.19.0.6,172.19.0.5,9,,,,8
2.990709000,66,172.19.0.5,172.19.0.6,,,,,
2.990753000,75,172.19.0.5,172.19.0.6,8,,a6,,10
2.990786000,71,172.19.0.7,172.19.0.6,9,,,,6
2.990791000,66,172.19.0.6,172.19.0.5,,,,,
2.990814000,66,172.19.0.6,172.19.0.7,,,,,
2.990887000,75,172.19.0.6,172.19.0.7,8,,a5,,9
2.990969000,66,172.19.0.7,172.19.0.6,,,,,
2.991037000,71,172.19.0.6,172.19.0.5,9,,,,9
2.991085000,71,172.19.0.7,172.19.0.6,9,,,,7
2.991105000,75,172.19.0.5,172.19.0.6,8,,a7,,11
2.991112000,66,172.19.0.6,172.19.0.7,,,,,
2.991131000,66,172.19.0.6,172.19.0.5,,,,,
2.991189000,66,172.19.0.5,172.19.0.6,,,,,
2.991221000,75,172.19.0.6,172.19.0.7,8,,a6,,10
2.991303000,66,172.19.0.7,172.19.0.6,,,,,
2.991378000,71,172.19.0.6,172.19.0.5,9,,,,10
2.991444000,71,172.19.0.7,172.19.0.6,9,,,,8
2.991473000,66,172.19.0.6,172.19.0.7,,,,,
2.991524000,66,172.19.0.5,172.19.0.6,,,,,
2.991767000,71,172.19.0.7,172.19.0.6,9,,,,9
2.991770000,75,172.19.0.6,172.19.0.7,8,,a7,,11
2.991852000,66,172.19.0.7,172.19.0.6,,,,,
2.991882000,66,172.19.0.6,172.19.0.7,,,,,
2.991962000,71,172.19.0.6,172.19.0.5,9,,,,11
2.992021000,66,172.19.0.5,172.19.0.6,,,,,
2.992034000,71,172.19.0.7,172.19.0.6,9,,,,10
2.992059000,66,172.19.0.6,172.19.0.7,,,,,
2.992328000,71,172.19.0.7,172.19.0.6,9,,,,11
2.992354000,66,172.19.0.6,172.19.0.7,,,,,
2.993138000,75,172.19.0.5,172.19.0.6,8,,a8,,12
2.993403000,66,172.19.0.6,172.19.0.5,,,,,
2.993476000,75,172.19.0.6,172.19.0.7,8,,a8,,12
2.993479000,75,172.19.0.5,172.19.0.6,8,,a9,,13
2.993547000,71,172.19.0.6,172.19.0.5,9,,,,12
2.993926000,66,172.19.0.5,172.19.0.6,,,,,
2.994034000,71,172.19.0.6,172.19.0.5,9,,,,13
2.994051000,75,172.19.0.5,172.19.0.6,8,,b0,,14
