frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,74,172.19.0.8,172.19.0.6
0.000081000,66,172.19.0.6,172.19.0.8
1.000695000,74,172.19.0.8,172.19.0.6
1.000748000,66,172.19.0.6,172.19.0.8
2.001982000,74,172.19.0.8,172.19.0.6
2.002010000,66,172.19.0.6,172.19.0.8
3.002517000,74,172.19.0.8,172.19.0.6
3.002548000,66,172.19.0.6,172.19.0.8
4.003605000,74,172.19.0.8,172.19.0.6
4.003647000,66,172.19.0.6,172.19.0.8
5.003495000,74,172.19.0.8,172.19.0.6
5.003522000,66,172.19.0.6,172.19.0.8
5.113671000,42,,
5.113791000,42,,
6.004643000,73,172.19.0.8,172.19.0.6
6.004689000,66,172.19.0.6,172.19.0.8
7.005716000,74,172.19.0.8,172.19.0.6
7.005742000,66,172.19.0.6,172.19.0.8
8.007755000,74,172.19.0.8,172.19.0.6
8.007779000,66,172.19.0.6,172.19.0.8
9.008107000,74,172.19.0.8,172.19.0.6
9.008133000,66,172.19.0.6,172.19.0.8
10.008877000,74,172.19.0.8,172.19.0.6
10.008904000,66,172.19.0.6,172.19.0.8
11.008883000,74,172.19.0.8,172.19.0.6
11.008909000,66,172.19.0.6,172.19.0.8
12.010538000,74,172.19.0.8,172.19.0.6
12.010577000,66,172.19.0.6,172.19.0.8
13.010884000,74,172.19.0.8,172.19.0.6
13.010909000,66,172.19.0.6,172.19.0.8
14.012550000,74,172.19.0.8,172.19.0.6
14.012610000,66,172.19.0.6,172.19.0.8
15.011780000,74,172.19.0.8,172.19.0.6
15.011806000,66,172.19.0.6,172.19.0.8
16.012553000,74,172.19.0.8,172.19.0.6
16.012582000,66,172.19.0.6,172.19.0.8
17.012893000,74,172.19.0.8,172.19.0.6
17.012943000,66,172.19.0.6,172.19.0.8
17.619791000,68,172.19.0.6,172.19.0.8
17.621533000,68,172.19.0.8,172.19.0.6
17.621598000,66,172.19.0.6,172.19.0.8
18.013755000,74,172.19.0.8,172.19.0.6
18.013852000,66,172.19.0.6,172.19.0.8
19.014074000,74,172.19.0.8,172.19.0.6
19.014099000,66,172.19.0.6,172.19.0.8
20.014186000,73,172.19.0.8,172.19.0.6
20.014226000,66,172.19.0.6,172.19.0.8
21.016452000,74,172.19.0.8,172.19.0.6
21.016479000,66,172.19.0.6,172.19.0.8
22.016658000,74,172.19.0.8,172.19.0.6
22.016684000,66,172.19.0.6,172.19.0.8
23.017710000,74,172.19.0.8,172.19.0.6
23.017737000,66,172.19.0.6,172.19.0.8
24.017708000,74,172.19.0.8,172.19.0.6
24.017810000,66,172.19.0.6,172.19.0.8
25.017953000,73,172.19.0.8,172.19.0.6
25.017980000,66,172.19.0.6,172.19.0.8
26.018432000,74,172.19.0.8,172.19.0.6
26.018459000,66,172.19.0.6,172.19.0.8
27.019370000,74,172.19.0.8,172.19.0.6
27.019397000,66,172.19.0.6,172.19.0.8
28.020655000,73,172.19.0.8,172.19.0.6
28.020680000,66,172.19.0.6,172.19.0.8
29.021008000,74,172.19.0.8,172.19.0.6
29.021029000,66,172.19.0.6,172.19.0.8
30.022391000,74,172.19.0.8,172.19.0.6
30.022435000,66,172.19.0.6,172.19.0.8
31.023062000,73,172.19.0.8,172.19.0.6
31.023113000,66,172.19.0.6,172.19.0.8
32.024448000,74,172.19.0.8,172.19.0.6
32.024485000,66,172.19.0.6,172.19.0.8
33.025366000,74,172.19.0.8,172.19.0.6
33.025410000,66,172.19.0.6,172.19.0.8
34.026663000,74,172.19.0.8,172.19.0.6
34.026691000,66,172.19.0.6,172.19.0.8
35.028122000,74,172.19.0.8,172.19.0.6
35.028162000,66,172.19.0.6,172.19.0.8
36.028603000,74,172.19.0.8,172.19.0.6
36.028629000,66,172.19.0.6,172.19.0.8
37.028531000,74,172.19.0.8,172.19.0.6
37.028557000,66,172.19.0.6,172.19.0.8
38.029834000,74,172.19.0.8,172.19.0.6
38.029857000,66,172.19.0.6,172.19.0.8
39.030911000,74,172.19.0.8,172.19.0.6
39.030938000,66,172.19.0.6,172.19.0.8
40.031648000,74,172.19.0.8,172.19.0.6
40.031698000,66,172.19.0.6,172.19.0.8
41.032211000,74,172.19.0.8,172.19.0.6
41.032239000,66,172.19.0.6,172.19.0.8
42.033523000,74,172.19.0.8,172.19.0.6
42.033550000,66,172.19.0.6,172.19.0.8
43.035153000,74,172.19.0.8,172.19.0.6
43.035202000,66,172.19.0.6,172.19.0.8
44.035416000,74,172.19.0.8,172.19.0.6
44.035458000,66,172.19.0.6,172.19.0.8
45.036693000,74,172.19.0.8,172.19.0.6
45.036761000,66,172.19.0.6,172.19.0.8
46.036725000,73,172.19.0.8,172.19.0.6
46.036753000,66,172.19.0.6,172.19.0.8
47.036875000,74,172.19.0.8,172.19.0.6
47.036901000,66,172.19.0.6,172.19.0.8
48.039094000,73,172.19.0.8,172.19.0.6
48.039167000,66,172.19.0.6,172.19.0.8
49.038563000,74,172.19.0.8,172.19.0.6
49.038588000,66,172.19.0.6,172.19.0.8
50.039681000,74,172.19.0.8,172.19.0.6
50.039729000,66,172.19.0.6,172.19.0.8
51.039948000,74,172.19.0.8,172.19.0.6
51.039977000,66,172.19.0.6,172.19.0.8
52.041177000,74,172.19.0.8,172.19.0.6
52.041224000,66,172.19.0.6,172.19.0.8
53.041512000,74,172.19.0.8,172.19.0.6
53.041555000,66,172.19.0.6,172.19.0.8
54.044767000,74,172.19.0.8,172.19.0.6
54.044830000,66,172.19.0.6,172.19.0.8
55.043320000,73,172.19.0.8,172.19.0.6
55.043367000,66,172.19.0.6,172.19.0.8
56.045273000,74,172.19.0.8,172.19.0.6
56.045299000,66,172.19.0.6,172.19.0.8
57.048243000,74,172.19.0.8,172.19.0.6
57.048295000,66,172.19.0.6,172.19.0.8
58.047578000,74,172.19.0.8,172.19.0.6
58.047626000,66,172.19.0.6,172.19.0.8
58.106234000,42,,
58.106535000,42,,
