frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.2,172.19.0.8
0.000717000,68,172.19.0.8,172.19.0.2
0.000740000,66,172.19.0.2,172.19.0.8
5.103748000,42,,
5.103770000,42,,
5.103786000,42,,
5.103851000,42,,
39.565283000,75,172.19.0.8,172.19.0.2
39.565369000,66,172.19.0.2,172.19.0.8
40.565621000,76,172.19.0.8,172.19.0.2
40.565666000,66,172.19.0.2,172.19.0.8
41.566799000,76,172.19.0.8,172.19.0.2
41.566834000,66,172.19.0.2,172.19.0.8
42.568405000,75,172.19.0.8,172.19.0.2
42.568426000,66,172.19.0.2,172.19.0.8
43.569100000,76,172.19.0.8,172.19.0.2
43.569122000,66,172.19.0.2,172.19.0.8
44.570062000,76,172.19.0.8,172.19.0.2
44.570084000,66,172.19.0.2,172.19.0.8
44.783514000,42,,
44.783632000,42,,
45.570551000,76,172.19.0.8,172.19.0.2
45.570576000,66,172.19.0.2,172.19.0.8
46.571091000,76,172.19.0.8,172.19.0.2
46.571113000,66,172.19.0.2,172.19.0.8
47.572667000,76,172.19.0.8,172.19.0.2
47.572692000,66,172.19.0.2,172.19.0.8
48.574138000,76,172.19.0.8,172.19.0.2
48.574164000,66,172.19.0.2,172.19.0.8
49.574586000,76,172.19.0.8,172.19.0.2
49.574632000,66,172.19.0.2,172.19.0.8
50.574557000,75,172.19.0.8,172.19.0.2
50.574579000,66,172.19.0.2,172.19.0.8
51.575817000,75,172.19.0.8,172.19.0.2
51.575841000,66,172.19.0.2,172.19.0.8
52.576962000,76,172.19.0.8,172.19.0.2
52.577007000,66,172.19.0.2,172.19.0.8
53.577608000,76,172.19.0.8,172.19.0.2
53.577630000,66,172.19.0.2,172.19.0.8
54.578773000,76,172.19.0.8,172.19.0.2
54.578794000,66,172.19.0.2,172.19.0.8
55.579557000,76,172.19.0.8,172.19.0.2
55.579581000,66,172.19.0.2,172.19.0.8
56.582090000,76,172.19.0.8,172.19.0.2
56.582133000,66,172.19.0.2,172.19.0.8
57.582795000,76,172.19.0.8,172.19.0.2
57.582817000,66,172.19.0.2,172.19.0.8
58.585036000,75,172.19.0.8,172.19.0.2
58.585060000,66,172.19.0.2,172.19.0.8
59.585505000,76,172.19.0.8,172.19.0.2
59.585528000,66,172.19.0.2,172.19.0.8
60.088973000,68,172.19.0.2,172.19.0.8
60.089777000,68,172.19.0.8,172.19.0.2
60.089801000,66,172.19.0.2,172.19.0.8
60.587296000,76,172.19.0.8,172.19.0.2
60.587386000,66,172.19.0.2,172.19.0.8
61.588249000,76,172.19.0.8,172.19.0.2
61.588272000,66,172.19.0.2,172.19.0.8
62.588353000,76,172.19.0.8,172.19.0.2
62.588377000,66,172.19.0.2,172.19.0.8
63.589988000,76,172.19.0.8,172.19.0.2
63.590011000,66,172.19.0.2,172.19.0.8
64.589706000,76,172.19.0.8,172.19.0.2
64.589727000,66,172.19.0.2,172.19.0.8
65.590947000,76,172.19.0.8,172.19.0.2
65.590971000,66,172.19.0.2,172.19.0.8
66.591954000,76,172.19.0.8,172.19.0.2
66.591976000,66,172.19.0.2,172.19.0.8
67.592995000,76,172.19.0.8,172.19.0.2
67.593020000,66,172.19.0.2,172.19.0.8
68.595857000,75,172.19.0.8,172.19.0.2
68.595880000,66,172.19.0.2,172.19.0.8
69.598365000,76,172.19.0.8,172.19.0.2
69.598405000,66,172.19.0.2,172.19.0.8
70.598672000,76,172.19.0.8,172.19.0.2
70.598733000,66,172.19.0.2,172.19.0.8
71.599528000,76,172.19.0.8,172.19.0.2
71.599553000,66,172.19.0.2,172.19.0.8
72.598775000,76,172.19.0.8,172.19.0.2
72.598799000,66,172.19.0.2,172.19.0.8
73.601232000,76,172.19.0.8,172.19.0.2
73.601275000,66,172.19.0.2,172.19.0.8
74.601206000,75,172.19.0.8,172.19.0.2
74.601252000,66,172.19.0.2,172.19.0.8
75.602275000,76,172.19.0.8,172.19.0.2
75.602298000,66,172.19.0.2,172.19.0.8
76.603096000,75,172.19.0.8,172.19.0.2
76.603131000,66,172.19.0.2,172.19.0.8
77.605254000,76,172.19.0.8,172.19.0.2
77.605276000,66,172.19.0.2,172.19.0.8
78.607023000,76,172.19.0.8,172.19.0.2
78.607045000,66,172.19.0.2,172.19.0.8
79.608328000,76,172.19.0.8,172.19.0.2
79.608366000,66,172.19.0.2,172.19.0.8
80.609908000,76,172.19.0.8,172.19.0.2
80.609934000,66,172.19.0.2,172.19.0.8
81.608760000,76,172.19.0.8,172.19.0.2
81.608783000,66,172.19.0.2,172.19.0.8
82.609996000,76,172.19.0.8,172.19.0.2
82.610018000,66,172.19.0.2,172.19.0.8
83.610949000,75,172.19.0.8,172.19.0.2
83.610973000,66,172.19.0.2,172.19.0.8
84.611048000,76,172.19.0.8,172.19.0.2
84.611075000,66,172.19.0.2,172.19.0.8
85.612248000,76,172.19.0.8,172.19.0.2
85.612316000,66,172.19.0.2,172.19.0.8
86.613308000,76,172.19.0.8,172.19.0.2
86.613334000,66,172.19.0.2,172.19.0.8
87.614120000,76,172.19.0.8,172.19.0.2
87.614146000,66,172.19.0.2,172.19.0.8
87.791503000,42,,
87.791570000,42,,
88.614784000,76,172.19.0.8,172.19.0.2
88.614822000,66,172.19.0.2,172.19.0.8
89.615428000,76,172.19.0.8,172.19.0.2
89.615453000,66,172.19.0.2,172.19.0.8
90.616423000,76,172.19.0.8,172.19.0.2
90.616445000,66,172.19.0.2,172.19.0.8
91.617313000,75,172.19.0.8,172.19.0.2
91.617348000,66,172.19.0.2,172.19.0.8
92.618205000,76,172.19.0.8,172.19.0.2
92.618227000,66,172.19.0.2,172.19.0.8
93.619799000,76,172.19.0.8,172.19.0.2
93.619841000,66,172.19.0.2,172.19.0.8
94.620391000,76,172.19.0.8,172.19.0.2
94.620413000,66,172.19.0.2,172.19.0.8
95.621317000,76,172.19.0.8,172.19.0.2
