frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.8,172.19.0.2
0.000456000,68,172.19.0.2,172.19.0.8
0.000630000,66,172.19.0.8,172.19.0.2
5.174067000,42,,
5.174241000,42,,
5.174254000,42,,
5.174322000,42,,
7.947602000,75,172.19.0.8,172.19.0.2
7.948116000,71,172.19.0.2,172.19.0.8
7.948182000,66,172.19.0.8,172.19.0.2
17.946145000,68,172.19.0.2,172.19.0.8
17.946325000,68,172.19.0.8,172.19.0.2
17.946363000,66,172.19.0.2,172.19.0.8
67.975778000,68,172.19.0.8,172.19.0.2
67.976508000,68,172.19.0.2,172.19.0.8
67.976633000,66,172.19.0.8,172.19.0.2
73.014931000,42,,
73.015010000,42,,
73.015240000,42,,
73.015252000,42,,
77.969122000,68,172.19.0.2,172.19.0.8
77.969494000,68,172.19.0.8,172.19.0.2
77.969518000,66,172.19.0.2,172.19.0.8
127.990579000,68,172.19.0.8,172.19.0.2
127.991990000,68,172.19.0.2,172.19.0.8
127.992142000,66,172.19.0.8,172.19.0.2
133.174012000,42,,
133.174139000,42,,
133.174533000,42,,
133.174560000,42,,
137.982683000,68,172.19.0.2,172.19.0.8
137.983062000,68,172.19.0.8,172.19.0.2
137.983087000,66,172.19.0.2,172.19.0.8
