frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,76,172.19.0.4,172.19.0.5,3,1,a3,3937,1
0.000082000,66,172.19.0.5,172.19.0.4,,,,,
0.000340000,76,172.19.0.4,172.19.0.5,3,1,a5,3937,2
0.000360000,66,172.19.0.5,172.19.0.4,,,,,
0.000373000,76,172.19.0.5,172.19.0.6,3,1,a3,3937,1
0.000501000,66,172.19.0.6,172.19.0.5,,,,,
0.000544000,70,172.19.0.5,172.19.0.4,4,,,,1
0.000598000,76,172.19.0.4,172.19.0.5,3,1,a1,3937,3
0.000625000,66,172.19.0.5,172.19.0.4,,,,,
0.000635000,66,172.19.0.4,172.19.0.5,,,,,
0.000753000,76,172.19.0.5,172.19.0.6,3,1,a5,3937,2
0.000816000,66,172.19.0.6,172.19.0.5,,,,,
0.000852000,70,172.19.0.5,172.19.0.4,4,,,,2
0.000954000,66,172.19.0.4,172.19.0.5,,,,,
0.001075000,76,172.19.0.5,172.19.0.6,3,1,a1,3937,3
0.001120000,66,172.19.0.6,172.19.0.5,,,,,
0.001155000,70,172.19.0.5,172.19.0.4,4,,,,3
0.001208000,66,172.19.0.4,172.19.0.5,,,,,
0.001241000,70,172.19.0.6,172.19.0.5,4,,,,1
0.001260000,66,172.19.0.5,172.19.0.6,,,,,
0.001454000,70,172.19.0.6,172.19.0.5,4,,,,2
0.001471000,66,172.19.0.5,172.19.0.6,,,,,
0.001652000,70,172.19.0.6,172.19.0.5,4,,,,3
0.001689000,66,172.19.0.5,172.19.0.6,,,,,
1.000448000,76,172.19.0.4,172.19.0.5,3,1,a3,3332,4
1.000523000,66,172.19.0.5,172.19.0.4,,,,,
1.000934000,76,172.19.0.5,172.19.0.6,3,1,a3,3332,4
1.001122000,66,172.19.0.6,172.19.0.5,,,,,
1.001162000,70,172.19.0.5,172.19.0.4,4,,,,4
1.001288000,66,172.19.0.4,172.19.0.5,,,,,
1.001468000,70,172.19.0.6,172.19.0.5,4,,,,4
1.001490000,66,172.19.0.5,172.19.0.6,,,,,
1.001504000,76,172.19.0.4,172.19.0.5,3,1,a5,3332,5
1.002193000,76,172.19.0.5,172.19.0.6,3,1,a5,3332,5
1.002253000,70,172.19.0.5,172.19.0.4,4,,,,5
1.002353000,76,172.19.0.4,172.19.0.5,3,1,a1,3332,6
1.002454000,70,172.19.0.5,172.19.0.4,4,,,,6
1.002496000,66,172.19.0.4,172.19.0.5,,,,,
