frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,82,172.19.0.7,172.19.0.8,8,,exmp/temp,,4
0.000083000,66,172.19.0.8,172.19.0.7,,,,,
0.000542000,71,172.19.0.8,172.19.0.7,9,,,,4
0.000645000,66,172.19.0.7,172.19.0.8,,,,,
1.168783000,74,172.19.0.9,172.19.0.8,,,,,
1.168832000,74,172.19.0.8,172.19.0.9,,,,,
1.168884000,66,172.19.0.9,172.19.0.8,,,,,
1.169023000,103,172.19.0.9,172.19.0.8,1,,,,
1.169056000,66,172.19.0.8,172.19.0.9,,,,,
1.169410000,70,172.19.0.8,172.19.0.9,2,,,,
1.169499000,66,172.19.0.9,172.19.0.8,,,,,
1.170293000,105,172.19.0.9,172.19.0.8,8,,a0^a1^a2^a3^a4^a5^a6,,1
1.170318000,66,172.19.0.8,172.19.0.9,,,,,
1.171253000,75,172.19.0.8,172.19.0.7,8,,a0,,3
1.171400000,66,172.19.0.7,172.19.0.8,,,,,
1.171458000,75,172.19.0.8,172.19.0.7,8,,a1,,4
1.171529000,66,172.19.0.7,172.19.0.8,,,,,
1.171576000,75,172.19.0.8,172.19.0.7,8,,a2,,5
1.171628000,66,172.19.0.7,172.19.0.8,,,,,
1.171688000,75,172.19.0.8,172.19.0.7,8,,a3,,6
1.171740000,66,172.19.0.7,172.19.0.8,,,,,
1.171787000,75,172.19.0.8,172.19.0.7,8,,a4,,7
1.171860000,66,172.19.0.7,172.19.0.8,,,,,
1.171913000,75,172.19.0.8,172.19.0.7,8,,a5,,8
1.171966000,66,172.19.0.7,172.19.0.8,,,,,
1.172012000,75,172.19.0.8,172.19.0.7,8,,a6,,9
1.172072000,66,172.19.0.7,172.19.0.8,,,,,
1.172116000,77,172.19.0.8,172.19.0.9,9,,,,1
1.172213000,66,172.19.0.9,172.19.0.8,,,,,
1.172824000,71,172.19.0.7,172.19.0.8,9,,,,3
1.172849000,66,172.19.0.8,172.19.0.7,,,,,
1.173811000,71,172.19.0.7,172.19.0.8,9,,,,4
1.173834000,66,172.19.0.8,172.19.0.7,,,,,
1.174343000,71,172.19.0.7,172.19.0.8,9,,,,5
1.174376000,66,172.19.0.8,172.19.0.7,,,,,
1.175618000,71,172.19.0.7,172.19.0.8,9,,,,6
1.175651000,66,172.19.0.8,172.19.0.7,,,,,
1.176033000,71,172.19.0.7,172.19.0.8,9,,,,7
1.176068000,66,172.19.0.8,172.19.0.7,,,,,
1.176626000,71,172.19.0.7,172.19.0.8,9,,,,8
1.176658000,66,172.19.0.8,172.19.0.7,,,,,
1.176948000,71,172.19.0.7,172.19.0.8,9,,,,9
1.176980000,66,172.19.0.8,172.19.0.7,,,,,
6.418062000,75,172.19.0.7,172.19.0.8,3,1,a2,33,1
6.418143000,66,172.19.0.8,172.19.0.7,,,,,
6.418428000,75,172.19.0.8,172.19.0.9,3,1,a2,33,1
6.418445000,75,172.19.0.7,172.19.0.8,3,1,a0,33,2
6.418471000,66,172.19.0.8,172.19.0.7,,,,,
6.418522000,66,172.19.0.9,172.19.0.8,,,,,
6.418573000,70,172.19.0.8,172.19.0.7,4,,,,1
6.418632000,66,172.19.0.7,172.19.0.8,,,,,
6.419317000,75,172.19.0.8,172.19.0.9,3,1,a0,33,2
6.419329000,70,172.19.0.9,172.19.0.8,4,,,,1
6.419375000,66,172.19.0.8,172.19.0.9,,,,,
6.419378000,66,172.19.0.9,172.19.0.8,,,,,
6.419480000,70,172.19.0.8,172.19.0.7,4,,,,2
6.419564000,70,172.19.0.9,172.19.0.8,4,,,,2
6.419591000,66,172.19.0.8,172.19.0.9,,,,,
6.419659000,66,172.19.0.7,172.19.0.8,,,,,
6.420338000,75,172.19.0.7,172.19.0.8,3,1,a1,33,3
6.420377000,66,172.19.0.8,172.19.0.7,,,,,
6.421131000,75,172.19.0.8,172.19.0.9,3,1,a1,33,3
6.421232000,66,172.19.0.9,172.19.0.8,,,,,
6.421304000,70,172.19.0.8,172.19.0.7,4,,,,3
6.421928000,66,172.19.0.7,172.19.0.8,,,,,
6.422007000,70,172.19.0.9,172.19.0.8,4,,,,3
6.422044000,66,172.19.0.8,172.19.0.9,,,,,
7.419564000,76,172.19.0.7,172.19.0.8,3,1,a2,3339,4
7.419815000,66,172.19.0.8,172.19.0.7,,,,,
7.420034000,76,172.19.0.8,172.19.0.9,3,1,a2,3339,4
7.420232000,66,172.19.0.9,172.19.0.8,,,,,
7.420277000,70,172.19.0.8,172.19.0.7,4,,,,4
7.420357000,66,172.19.0.7,172.19.0.8,,,,,
