frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,76,172.19.0.5,172.19.0.6
0.000094000,66,172.19.0.6,172.19.0.5
0.000452000,76,172.19.0.5,172.19.0.6
0.000483000,66,172.19.0.6,172.19.0.5
0.000574000,76,172.19.0.6,172.19.0.7
0.000752000,66,172.19.0.7,172.19.0.6
0.000826000,70,172.19.0.6,172.19.0.5
0.000917000,66,172.19.0.5,172.19.0.6
0.001016000,76,172.19.0.5,172.19.0.6
0.001046000,66,172.19.0.6,172.19.0.5
0.001048000,76,172.19.0.6,172.19.0.7
0.001115000,66,172.19.0.7,172.19.0.6
0.001168000,70,172.19.0.6,172.19.0.5
0.001234000,66,172.19.0.5,172.19.0.6
0.001402000,76,172.19.0.6,172.19.0.7
0.001462000,70,172.19.0.7,172.19.0.6
0.001467000,70,172.19.0.6,172.19.0.5
0.001524000,66,172.19.0.6,172.19.0.7
0.001605000,66,172.19.0.7,172.19.0.6
0.001614000,66,172.19.0.5,172.19.0.6
0.001897000,70,172.19.0.7,172.19.0.6
0.001940000,66,172.19.0.6,172.19.0.7
0.002228000,70,172.19.0.7,172.19.0.6
0.002284000,66,172.19.0.6,172.19.0.7
0.003411000,76,172.19.0.5,172.19.0.6
0.003437000,66,172.19.0.6,172.19.0.5
0.003972000,76,172.19.0.5,172.19.0.6
0.004013000,66,172.19.0.6,172.19.0.5
0.004308000,76,172.19.0.6,172.19.0.7
0.004411000,66,172.19.0.7,172.19.0.6
0.004449000,70,172.19.0.6,172.19.0.5
0.004523000,66,172.19.0.5,172.19.0.6
0.004890000,70,172.19.0.7,172.19.0.6
0.004900000,76,172.19.0.6,172.19.0.7
0.005007000,66,172.19.0.7,172.19.0.6
0.005051000,66,172.19.0.6,172.19.0.7
0.005123000,70,172.19.0.6,172.19.0.5
0.005243000,66,172.19.0.5,172.19.0.6
0.005365000,70,172.19.0.7,172.19.0.6
0.005398000,66,172.19.0.6,172.19.0.7
1.001275000,76,172.19.0.5,172.19.0.6
