frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,74,172.19.0.9,172.19.0.4
0.000048000,74,172.19.0.4,172.19.0.9
0.000112000,66,172.19.0.9,172.19.0.4
0.000317000,103,172.19.0.9,172.19.0.4
0.000339000,66,172.19.0.4,172.19.0.9
0.000730000,70,172.19.0.4,172.19.0.9
0.000833000,66,172.19.0.9,172.19.0.4
0.001212000,105,172.19.0.9,172.19.0.4
0.001276000,66,172.19.0.4,172.19.0.9
0.002232000,75,172.19.0.4,172.19.0.5
0.002354000,66,172.19.0.5,172.19.0.4
0.002410000,75,172.19.0.4,172.19.0.3
0.002574000,75,172.19.0.4,172.19.0.5
0.002628000,66,172.19.0.5,172.19.0.4
0.002690000,75,172.19.0.4,172.19.0.5
0.002738000,66,172.19.0.5,172.19.0.4
0.002797000,75,172.19.0.4,172.19.0.5
0.002846000,66,172.19.0.5,172.19.0.4
0.002904000,75,172.19.0.4,172.19.0.5
0.002953000,66,172.19.0.5,172.19.0.4
0.003002000,71,172.19.0.3,172.19.0.4
0.003011000,75,172.19.0.4,172.19.0.5
0.003042000,102,172.19.0.4,172.19.0.3
0.003059000,66,172.19.0.5,172.19.0.4
0.003143000,75,172.19.0.4,172.19.0.5
0.003154000,71,172.19.0.5,172.19.0.4
0.003182000,66,172.19.0.4,172.19.0.5
0.003196000,66,172.19.0.5,172.19.0.4
0.003275000,71,172.19.0.3,172.19.0.4
0.003299000,77,172.19.0.4,172.19.0.9
0.003314000,84,172.19.0.4,172.19.0.3
0.003356000,66,172.19.0.9,172.19.0.4
0.003419000,71,172.19.0.5,172.19.0.4
0.003444000,66,172.19.0.4,172.19.0.5
0.003525000,71,172.19.0.3,172.19.0.4
0.003557000,66,172.19.0.4,172.19.0.3
0.003987000,71,172.19.0.5,172.19.0.4
0.004026000,66,172.19.0.4,172.19.0.5
0.004204000,71,172.19.0.5,172.19.0.4
0.004224000,66,172.19.0.4,172.19.0.5
0.004444000,71,172.19.0.5,172.19.0.4
0.004488000,66,172.19.0.4,172.19.0.5
0.004730000,71,172.19.0.5,172.19.0.4
0.004752000,66,172.19.0.4,172.19.0.5
0.004934000,71,172.19.0.3,172.19.0.4
0.004963000,66,172.19.0.4,172.19.0.3
0.005067000,71,172.19.0.5,172.19.0.4
0.005090000,66,172.19.0.4,172.19.0.5
0.005128000,81,172.19.0.3,172.19.0.4
0.005154000,66,172.19.0.4,172.19.0.3
5.199770000,42,,
5.199856000,42,,
5.199868000,42,,
5.199894000,42,,
5.203915000,42,,
5.203931000,42,,
5.203988000,42,,
5.204025000,42,,
5.204153000,42,,
5.204162000,42,,
