frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,75,172.19.0.8,172.19.0.7
0.000267000,66,172.19.0.7,172.19.0.8
0.000490000,75,172.19.0.7,172.19.0.6
0.000598000,75,172.19.0.8,172.19.0.7
0.000622000,66,172.19.0.7,172.19.0.8
0.000687000,66,172.19.0.6,172.19.0.7
0.000839000,75,172.19.0.8,172.19.0.7
0.000886000,66,172.19.0.7,172.19.0.8
0.001060000,75,172.19.0.8,172.19.0.7
0.001112000,66,172.19.0.7,172.19.0.8
0.001542000,71,172.19.0.6,172.19.0.7
0.001975000,66,172.19.0.7,172.19.0.6
0.002073000,71,172.19.0.7,172.19.0.8
0.002080000,75,172.19.0.8,172.19.0.7
0.002126000,66,172.19.0.8,172.19.0.7
0.002151000,66,172.19.0.7,172.19.0.8
0.002305000,84,172.19.0.8,172.19.0.7
0.002341000,66,172.19.0.7,172.19.0.8
0.002573000,75,172.19.0.7,172.19.0.6
0.002740000,66,172.19.0.6,172.19.0.7
0.002834000,71,172.19.0.7,172.19.0.8
0.002937000,66,172.19.0.8,172.19.0.7
0.003175000,75,172.19.0.7,172.19.0.6
0.003229000,66,172.19.0.6,172.19.0.7
0.003314000,71,172.19.0.7,172.19.0.8
0.003328000,71,172.19.0.6,172.19.0.7
0.003351000,66,172.19.0.7,172.19.0.6
0.003369000,66,172.19.0.8,172.19.0.7
0.003696000,71,172.19.0.6,172.19.0.7
0.003740000,66,172.19.0.7,172.19.0.6
0.003766000,75,172.19.0.7,172.19.0.6
0.003966000,66,172.19.0.6,172.19.0.7
0.004046000,71,172.19.0.7,172.19.0.8
0.004097000,66,172.19.0.8,172.19.0.7
0.004903000,75,172.19.0.7,172.19.0.6
0.004971000,66,172.19.0.6,172.19.0.7
0.005040000,71,172.19.0.7,172.19.0.8
0.005105000,66,172.19.0.8,172.19.0.7
0.005341000,75,172.19.0.7,172.19.0.6
0.005406000,66,172.19.0.6,172.19.0.7
0.005442000,71,172.19.0.6,172.19.0.7
0.005461000,71,172.19.0.7,172.19.0.8
0.005465000,66,172.19.0.7,172.19.0.6
0.005526000,66,172.19.0.8,172.19.0.7
0.005749000,75,172.19.0.7,172.19.0.6
0.006016000,66,172.19.0.6,172.19.0.7
0.007396000,71,172.19.0.7,172.19.0.8
0.007467000,66,172.19.0.8,172.19.0.7
0.014713000,71,172.19.0.6,172.19.0.7
0.014748000,66,172.19.0.7,172.19.0.6
0.015256000,71,172.19.0.6,172.19.0.7
