frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,87,172.19.0.1,224.0.0.251
69.256938000,42,,
79.623246000,42,,
80.626905000,76,172.19.0.2,172.19.0.3
80.627086000,66,172.19.0.3,172.19.0.2
80.627693000,76,172.19.0.3,172.19.0.4
80.627971000,66,172.19.0.4,172.19.0.3
80.628068000,70,172.19.0.3,172.19.0.2
80.628170000,66,172.19.0.2,172.19.0.3
80.629125000,76,172.19.0.4,172.19.0.5
80.629270000,70,172.19.0.4,172.19.0.3
80.629292000,66,172.19.0.3,172.19.0.4
80.629757000,76,172.19.0.5,172.19.0.6
80.631028000,76,172.19.0.6,172.19.0.7
81.626927000,76,172.19.0.2,172.19.0.3
81.627016000,66,172.19.0.3,172.19.0.2
81.627395000,76,172.19.0.3,172.19.0.4
81.627534000,66,172.19.0.4,172.19.0.3
81.627603000,70,172.19.0.3,172.19.0.2
81.627780000,66,172.19.0.2,172.19.0.3
81.628466000,70,172.19.0.4,172.19.0.3
81.628602000,66,172.19.0.3,172.19.0.4
82.628574000,76,172.19.0.2,172.19.0.3
82.628651000,66,172.19.0.3,172.19.0.2
82.629000000,76,172.19.0.3,172.19.0.4
82.629130000,66,172.19.0.4,172.19.0.3
82.629188000,70,172.19.0.3,172.19.0.2
82.629310000,66,172.19.0.2,172.19.0.3
82.629558000,70,172.19.0.4,172.19.0.3
82.629583000,66,172.19.0.3,172.19.0.4
83.628576000,76,172.19.0.2,172.19.0.3
83.629089000,76,172.19.0.3,172.19.0.4
83.629231000,70,172.19.0.3,172.19.0.2
83.629400000,66,172.19.0.2,172.19.0.3
83.630020000,70,172.19.0.4,172.19.0.3
83.630045000,66,172.19.0.3,172.19.0.4
84.630915000,76,172.19.0.2,172.19.0.3
84.631697000,76,172.19.0.3,172.19.0.4
84.631941000,70,172.19.0.3,172.19.0.2
84.632233000,66,172.19.0.2,172.19.0.3
84.632877000,70,172.19.0.4,172.19.0.3
84.632906000,66,172.19.0.3,172.19.0.4
85.631607000,76,172.19.0.2,172.19.0.3
85.632327000,76,172.19.0.3,172.19.0.4
85.632503000,70,172.19.0.3,172.19.0.2
85.632843000,66,172.19.0.2,172.19.0.3
85.633304000,70,172.19.0.4,172.19.0.3
85.633346000,66,172.19.0.3,172.19.0.4
86.505673000,107,,
86.632674000,76,172.19.0.2,172.19.0.3
86.635291000,76,172.19.0.3,172.19.0.4
86.635518000,70,172.19.0.3,172.19.0.2
86.635664000,66,172.19.0.2,172.19.0.3
86.636584000,70,172.19.0.4,172.19.0.3
86.636625000,66,172.19.0.3,172.19.0.4
87.633548000,76,172.19.0.2,172.19.0.3
87.634252000,76,172.19.0.3,172.19.0.4
87.634387000,70,172.19.0.3,172.19.0.2
87.634647000,66,172.19.0.2,172.19.0.3
87.634894000,70,172.19.0.4,172.19.0.3
87.634940000,66,172.19.0.3,172.19.0.4
88.634123000,76,172.19.0.2,172.19.0.3
88.634540000,76,172.19.0.3,172.19.0.4
88.634783000,70,172.19.0.3,172.19.0.2
88.634876000,66,172.19.0.2,172.19.0.3
88.635650000,70,172.19.0.4,172.19.0.3
88.635713000,66,172.19.0.3,172.19.0.4
89.636626000,76,172.19.0.2,172.19.0.3
89.637099000,76,172.19.0.3,172.19.0.4
89.637252000,70,172.19.0.3,172.19.0.2
89.637357000,66,172.19.0.2,172.19.0.3
89.639100000,70,172.19.0.4,172.19.0.3
89.639130000,66,172.19.0.3,172.19.0.4
90.638022000,76,172.19.0.2,172.19.0.3
90.638890000,76,172.19.0.3,172.19.0.4
90.639083000,70,172.19.0.3,172.19.0.2
90.639425000,66,172.19.0.2,172.19.0.3
90.640803000,70,172.19.0.4,172.19.0.3
90.640834000,66,172.19.0.3,172.19.0.4
91.639015000,76,172.19.0.2,172.19.0.3
91.639447000,76,172.19.0.3,172.19.0.4
91.639591000,70,172.19.0.3,172.19.0.2
91.639713000,66,172.19.0.2,172.19.0.3
91.640303000,70,172.19.0.4,172.19.0.3
91.640327000,66,172.19.0.3,172.19.0.4
92.638867000,76,172.19.0.2,172.19.0.3
92.639362000,76,172.19.0.3,172.19.0.4
