frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,76,172.19.0.3,172.19.0.4
0.000042000,66,172.19.0.4,172.19.0.3
0.000433000,76,172.19.0.4,172.19.0.5
0.000554000,66,172.19.0.5,172.19.0.4
0.000614000,70,172.19.0.4,172.19.0.3
0.000700000,66,172.19.0.3,172.19.0.4
0.001234000,70,172.19.0.5,172.19.0.4
0.001270000,66,172.19.0.4,172.19.0.5
1.000902000,75,172.19.0.3,172.19.0.4
1.000986000,66,172.19.0.4,172.19.0.3
1.001437000,75,172.19.0.4,172.19.0.5
1.001695000,66,172.19.0.5,172.19.0.4
1.001848000,70,172.19.0.4,172.19.0.3
1.002258000,66,172.19.0.3,172.19.0.4
1.002417000,70,172.19.0.5,172.19.0.4
1.002450000,66,172.19.0.4,172.19.0.5
2.001725000,76,172.19.0.3,172.19.0.4
2.001796000,66,172.19.0.4,172.19.0.3
2.002269000,76,172.19.0.4,172.19.0.5
2.002643000,66,172.19.0.5,172.19.0.4
2.002845000,70,172.19.0.4,172.19.0.3
2.003079000,66,172.19.0.3,172.19.0.4
2.005725000,70,172.19.0.5,172.19.0.4
2.005754000,66,172.19.0.4,172.19.0.5
3.004024000,76,172.19.0.3,172.19.0.4
3.004409000,76,172.19.0.4,172.19.0.5
3.004968000,70,172.19.0.5,172.19.0.4
3.004990000,66,172.19.0.4,172.19.0.5
3.005203000,70,172.19.0.4,172.19.0.3
3.005344000,66,172.19.0.3,172.19.0.4
4.006039000,76,172.19.0.3,172.19.0.4
4.006753000,76,172.19.0.4,172.19.0.5
4.006962000,70,172.19.0.4,172.19.0.3
4.007120000,66,172.19.0.3,172.19.0.4
4.007645000,70,172.19.0.5,172.19.0.4
4.007690000,66,172.19.0.4,172.19.0.5
5.005058000,75,172.19.0.3,172.19.0.4
5.005759000,75,172.19.0.4,172.19.0.5
5.006010000,70,172.19.0.4,172.19.0.3
5.006109000,66,172.19.0.3,172.19.0.4
5.007883000,70,172.19.0.5,172.19.0.4
5.007925000,66,172.19.0.4,172.19.0.5
6.007933000,76,172.19.0.3,172.19.0.4
6.008287000,76,172.19.0.4,172.19.0.5
6.008472000,70,172.19.0.4,172.19.0.3
6.008583000,66,172.19.0.3,172.19.0.4
6.008767000,70,172.19.0.5,172.19.0.4
6.008795000,66,172.19.0.4,172.19.0.5
7.007308000,76,172.19.0.3,172.19.0.4
7.007913000,76,172.19.0.4,172.19.0.5
7.008110000,70,172.19.0.4,172.19.0.3
7.008250000,66,172.19.0.3,172.19.0.4
7.008374000,70,172.19.0.5,172.19.0.4
7.008402000,66,172.19.0.4,172.19.0.5
8.008223000,76,172.19.0.3,172.19.0.4
8.008518000,76,172.19.0.4,172.19.0.5
8.008674000,70,172.19.0.4,172.19.0.3
8.008834000,66,172.19.0.3,172.19.0.4
8.009582000,70,172.19.0.5,172.19.0.4
8.009778000,66,172.19.0.4,172.19.0.5
9.008860000,76,172.19.0.3,172.19.0.4
9.009484000,76,172.19.0.4,172.19.0.5
9.009842000,70,172.19.0.4,172.19.0.3
9.010075000,66,172.19.0.3,172.19.0.4
9.010135000,70,172.19.0.5,172.19.0.4
9.010159000,66,172.19.0.4,172.19.0.5
10.010724000,76,172.19.0.3,172.19.0.4
10.011224000,76,172.19.0.4,172.19.0.5
10.011356000,70,172.19.0.4,172.19.0.3
10.011459000,66,172.19.0.3,172.19.0.4
10.011878000,70,172.19.0.5,172.19.0.4
10.011905000,66,172.19.0.4,172.19.0.5
11.011135000,76,172.19.0.3,172.19.0.4
11.011499000,76,172.19.0.4,172.19.0.5
11.011920000,70,172.19.0.5,172.19.0.4
11.012063000,66,172.19.0.4,172.19.0.5
11.012249000,70,172.19.0.4,172.19.0.3
11.012386000,66,172.19.0.3,172.19.0.4
12.012672000,76,172.19.0.3,172.19.0.4
12.013596000,76,172.19.0.4,172.19.0.5
12.014018000,70,172.19.0.4,172.19.0.3
12.014208000,66,172.19.0.3,172.19.0.4
12.014765000,70,172.19.0.5,172.19.0.4
12.014792000,66,172.19.0.4,172.19.0.5
13.013185000,76,172.19.0.3,172.19.0.4
13.014110000,76,172.19.0.4,172.19.0.5
13.014285000,70,172.19.0.4,172.19.0.3
13.014402000,66,172.19.0.3,172.19.0.4
13.015020000,70,172.19.0.5,172.19.0.4
13.015259000,66,172.19.0.4,172.19.0.5
14.013512000,76,172.19.0.3,172.19.0.4
14.014184000,76,172.19.0.4,172.19.0.5
14.014369000,70,172.19.0.4,172.19.0.3
14.014460000,66,172.19.0.3,172.19.0.4
14.015100000,70,172.19.0.5,172.19.0.4
14.015145000,66,172.19.0.4,172.19.0.5
15.014582000,76,172.19.0.3,172.19.0.4
15.015220000,76,172.19.0.4,172.19.0.5
15.015430000,70,172.19.0.4,172.19.0.3
15.015536000,66,172.19.0.3,172.19.0.4
15.016373000,70,172.19.0.5,172.19.0.4
15.016400000,66,172.19.0.4,172.19.0.5
16.016181000,76,172.19.0.3,172.19.0.4
16.017071000,76,172.19.0.4,172.19.0.5
16.017266000,70,172.19.0.4,172.19.0.3
16.017418000,66,172.19.0.3,172.19.0.4
16.017724000,70,172.19.0.5,172.19.0.4
16.017750000,66,172.19.0.4,172.19.0.5
17.016472000,76,172.19.0.3,172.19.0.4
17.016795000,76,172.19.0.4,172.19.0.5
17.016980000,70,172.19.0.4,172.19.0.3
17.017087000,66,172.19.0.3,172.19.0.4
17.017643000,70,172.19.0.5,172.19.0.4
17.017670000,66,172.19.0.4,172.19.0.5
18.016909000,76,172.19.0.3,172.19.0.4
18.017498000,76,172.19.0.4,172.19.0.5
18.017694000,70,172.19.0.4,172.19.0.3
18.017982000,66,172.19.0.3,172.19.0.4
18.018863000,70,172.19.0.5,172.19.0.4
18.018889000,66,172.19.0.4,172.19.0.5
19.017661000,75,172.19.0.3,172.19.0.4
19.018110000,75,172.19.0.4,172.19.0.5
19.018274000,70,172.19.0.4,172.19.0.3
19.018405000,66,172.19.0.3,172.19.0.4
19.018766000,70,172.19.0.5,172.19.0.4
19.018793000,66,172.19.0.4,172.19.0.5
20.018509000,76,172.19.0.3,172.19.0.4
20.019266000,76,172.19.0.4,172.19.0.5
20.019612000,70,172.19.0.4,172.19.0.3
20.019840000,66,172.19.0.3,172.19.0.4
20.019902000,70,172.19.0.5,172.19.0.4
20.019929000,66,172.19.0.4,172.19.0.5
21.020026000,75,172.19.0.3,172.19.0.4
21.020473000,75,172.19.0.4,172.19.0.5
21.021217000,70,172.19.0.5,172.19.0.4
21.021247000,66,172.19.0.4,172.19.0.5
21.021730000,70,172.19.0.4,172.19.0.3
21.022024000,66,172.19.0.3,172.19.0.4
22.019905000,76,172.19.0.3,172.19.0.4
22.020395000,76,172.19.0.4,172.19.0.5
22.020673000,70,172.19.0.4,172.19.0.3
22.020816000,66,172.19.0.3,172.19.0.4
22.021096000,70,172.19.0.5,172.19.0.4
22.021122000,66,172.19.0.4,172.19.0.5
23.022533000,76,172.19.0.3,172.19.0.4
23.023235000,76,172.19.0.4,172.19.0.5
23.024055000,70,172.19.0.5,172.19.0.4
23.024082000,66,172.19.0.4,172.19.0.5
23.025053000,70,172.19.0.4,172.19.0.3
23.025325000,66,172.19.0.3,172.19.0.4
24.022806000,76,172.19.0.3,172.19.0.4
