frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,76,172.19.0.6,172.19.0.7,3,1,a1,3331,1
0.000150000,66,172.19.0.7,172.19.0.6,,,,,
0.000383000,76,172.19.0.7,172.19.0.8,3,1,a1,3331,1
0.000545000,66,172.19.0.8,172.19.0.7,,,,,
0.000576000,76,172.19.0.6,172.19.0.7,3,1,a2,3331,2
0.000609000,66,172.19.0.7,172.19.0.6,,,,,
0.000810000,70,172.19.0.8,172.19.0.7,4,,,,1
0.000876000,76,172.19.0.6,172.19.0.7,3,1,a4,3331,3
0.000910000,66,172.19.0.7,172.19.0.6,,,,,
0.000929000,66,172.19.0.7,172.19.0.8,,,,,
0.000991000,70,172.19.0.7,172.19.0.6,4,,,,1
0.001044000,66,172.19.0.6,172.19.0.7,,,,,
0.001415000,76,172.19.0.6,172.19.0.7,3,1,a5,3331,4
0.001448000,66,172.19.0.7,172.19.0.6,,,,,
0.001625000,76,172.19.0.7,172.19.0.8,3,1,a2,3331,2
0.001776000,66,172.19.0.8,172.19.0.7,,,,,
0.002114000,76,172.19.0.6,172.19.0.7,3,1,a3,3331,5
0.002187000,66,172.19.0.7,172.19.0.6,,,,,
0.002208000,70,172.19.0.8,172.19.0.7,4,,,,2
0.002391000,66,172.19.0.7,172.19.0.8,,,,,
0.002494000,70,172.19.0.7,172.19.0.6,4,,,,2
0.002757000,66,172.19.0.6,172.19.0.7,,,,,
0.003057000,76,172.19.0.7,172.19.0.8,3,1,a4,3331,3
0.003220000,66,172.19.0.8,172.19.0.7,,,,,
0.003263000,70,172.19.0.7,172.19.0.6,4,,,,3
0.003569000,66,172.19.0.6,172.19.0.7,,,,,
0.003790000,76,172.19.0.7,172.19.0.8,3,1,a5,3331,4
0.003831000,66,172.19.0.8,172.19.0.7,,,,,
0.003863000,70,172.19.0.7,172.19.0.6,4,,,,4
0.003903000,66,172.19.0.6,172.19.0.7,,,,,
0.003903000,70,172.19.0.8,172.19.0.7,4,,,,3
0.003922000,66,172.19.0.7,172.19.0.8,,,,,
0.003995000,76,172.19.0.7,172.19.0.8,3,1,a3,3331,5
0.004036000,66,172.19.0.8,172.19.0.7,,,,,
0.004069000,70,172.19.0.7,172.19.0.6,4,,,,5
0.004084000,70,172.19.0.8,172.19.0.7,4,,,,4
0.004102000,66,172.19.0.7,172.19.0.8,,,,,
0.004108000,66,172.19.0.6,172.19.0.7,,,,,
0.004310000,70,172.19.0.8,172.19.0.7,4,,,,5
0.004328000,66,172.19.0.7,172.19.0.8,,,,,
1.002104000,76,172.19.0.6,172.19.0.7,3,1,a1,3732,6
1.002216000,66,172.19.0.7,172.19.0.6,,,,,
1.002490000,76,172.19.0.6,172.19.0.7,3,1,a4,3732,7
1.002513000,66,172.19.0.7,172.19.0.6,,,,,
1.002516000,76,172.19.0.7,172.19.0.8,3,1,a1,3732,6
1.002671000,66,172.19.0.8,172.19.0.7,,,,,
1.002756000,76,172.19.0.6,172.19.0.7,3,1,a2,3732,8
1.002779000,66,172.19.0.7,172.19.0.6,,,,,
1.003084000,70,172.19.0.8,172.19.0.7,4,,,,6
1.003218000,66,172.19.0.7,172.19.0.8,,,,,
1.003303000,76,172.19.0.6,172.19.0.7,3,1,a3,3732,9
1.003303000,70,172.19.0.7,172.19.0.6,4,,,,6
1.003351000,66,172.19.0.6,172.19.0.7,,,,,
1.003373000,66,172.19.0.7,172.19.0.6,,,,,
1.003454000,76,172.19.0.6,172.19.0.7,3,1,a5,3732,10
1.003482000,66,172.19.0.7,172.19.0.6,,,,,
1.003536000,76,172.19.0.7,172.19.0.8,3,1,a4,3732,7
1.003585000,70,172.19.0.7,172.19.0.6,4,,,,7
1.003630000,66,172.19.0.6,172.19.0.7,,,,,
1.003764000,70,172.19.0.7,172.19.0.6,4,,,,8
1.003891000,66,172.19.0.6,172.19.0.7,,,,,
1.003974000,70,172.19.0.8,172.19.0.7,4,,,,7
1.004002000,76,172.19.0.7,172.19.0.8,3,1,a2,3732,8
1.004036000,70,172.19.0.7,172.19.0.6,4,,,,9
1.004078000,66,172.19.0.6,172.19.0.7,,,,,
1.004128000,70,172.19.0.8,172.19.0.7,4,,,,8
1.004156000,76,172.19.0.7,172.19.0.8,3,1,a3,3732,9
1.004187000,70,172.19.0.7,172.19.0.6,4,,,,10
1.004268000,66,172.19.0.6,172.19.0.7,,,,,
1.004295000,70,172.19.0.8,172.19.0.7,4,,,,9
1.004322000,76,172.19.0.7,172.19.0.8,3,1,a5,3732,10
1.004469000,70,172.19.0.8,172.19.0.7,4,,,,10
1.004489000,66,172.19.0.7,172.19.0.8,,,,,
2.003184000,76,172.19.0.6,172.19.0.7,3,1,a2,3339,11
2.003275000,66,172.19.0.7,172.19.0.6,,,,,
2.003580000,76,172.19.0.7,172.19.0.8,3,1,a2,3339,11
2.003635000,76,172.19.0.6,172.19.0.7,3,1,a4,3339,12
2.003658000,66,172.19.0.7,172.19.0.6,,,,,
2.003722000,70,172.19.0.7,172.19.0.6,4,,,,11
2.003831000,66,172.19.0.6,172.19.0.7,,,,,
2.003974000,70,172.19.0.7,172.19.0.6,4,,,,12
2.004037000,76,172.19.0.6,172.19.0.7,3,1,a1,3339,13
2.004102000,66,172.19.0.6,172.19.0.7,,,,,
2.004219000,70,172.19.0.7,172.19.0.6,4,,,,13
2.004250000,70,172.19.0.8,172.19.0.7,4,,,,11
2.004267000,66,172.19.0.6,172.19.0.7,,,,,
2.004281000,86,172.19.0.7,172.19.0.8,3^3,1^1,a4^a1,3339^3339,12^13
2.004472000,70,172.19.0.8,172.19.0.7,4,,,,12
2.004509000,66,172.19.0.7,172.19.0.8,,,,,
2.004535000,76,172.19.0.6,172.19.0.7,3,1,a5,3339,14
2.004663000,70,172.19.0.8,172.19.0.7,4,,,,13
2.004683000,66,172.19.0.7,172.19.0.8,,,,,
2.004797000,76,172.19.0.7,172.19.0.8,3,1,a5,3339,14
2.004846000,70,172.19.0.7,172.19.0.6,4,,,,14
2.004924000,76,172.19.0.6,172.19.0.7,3,1,a3,3339,15
2.004986000,70,172.19.0.8,172.19.0.7,4,,,,14
2.005007000,66,172.19.0.7,172.19.0.8,,,,,
2.005044000,76,172.19.0.7,172.19.0.8,3,1,a3,3339,15
2.005092000,70,172.19.0.7,172.19.0.6,4,,,,15
2.005182000,66,172.19.0.6,172.19.0.7,,,,,
2.005272000,70,172.19.0.8,172.19.0.7,4,,,,15
2.005291000,66,172.19.0.7,172.19.0.8,,,,,
3.003398000,76,172.19.0.6,172.19.0.7,3,1,a5,3332,16
3.003849000,76,172.19.0.7,172.19.0.8,3,1,a5,3332,16
3.003987000,70,172.19.0.7,172.19.0.6,4,,,,16
3.004077000,66,172.19.0.6,172.19.0.7,,,,,
3.004347000,76,172.19.0.6,172.19.0.7,3,1,a4,3332,17
3.004438000,70,172.19.0.8,172.19.0.7,4,,,,16
3.004462000,66,172.19.0.7,172.19.0.8,,,,,
3.004701000,76,172.19.0.7,172.19.0.8,3,1,a4,3332,17
3.004794000,70,172.19.0.7,172.19.0.6,4,,,,17
3.004852000,86,172.19.0.6,172.19.0.7,3^3,1^1,a2^a3,3332^3332,18^19
3.004991000,70,172.19.0.7,172.19.0.6,4,,,,18
3.005129000,76,172.19.0.6,172.19.0.7,3,1,a1,3332,20
3.005286000,70,172.19.0.8,172.19.0.7,4,,,,17
3.005306000,70,172.19.0.7,172.19.0.6,4,,,,19
3.005312000,86,172.19.0.7,172.19.0.8,3^3,1^1,a2^a3,3332^3332,18^19
3.005397000,66,172.19.0.6,172.19.0.7,,,,,
3.005458000,70,172.19.0.8,172.19.0.7,4,,,,18
3.005478000,66,172.19.0.7,172.19.0.8,,,,,
3.005498000,76,172.19.0.7,172.19.0.8,3,1,a1,3332,20
3.005545000,70,172.19.0.7,172.19.0.6,4,,,,20
3.005597000,70,172.19.0.8,172.19.0.7,4,,,,19
3.005629000,66,172.19.0.7,172.19.0.8,,,,,
3.005689000,66,172.19.0.6,172.19.0.7,,,,,
3.005779000,70,172.19.0.8,172.19.0.7,4,,,,20
3.005799000,66,172.19.0.7,172.19.0.8,,,,,
4.004668000,76,172.19.0.6,172.19.0.7,3,1,a2,3334,21
4.004932000,76,172.19.0.7,172.19.0.8,3,1,a2,3334,21
