frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,73,172.19.0.8,172.19.0.7
0.000075000,66,172.19.0.7,172.19.0.8
0.000435000,73,172.19.0.7,172.19.0.6
0.000561000,66,172.19.0.6,172.19.0.7
1.001523000,74,172.19.0.8,172.19.0.7
1.001583000,66,172.19.0.7,172.19.0.8
1.002095000,74,172.19.0.7,172.19.0.6
1.002216000,66,172.19.0.6,172.19.0.7
2.000906000,74,172.19.0.8,172.19.0.7
2.000954000,66,172.19.0.7,172.19.0.8
2.001352000,74,172.19.0.7,172.19.0.6
2.001476000,66,172.19.0.6,172.19.0.7
3.003776000,74,172.19.0.8,172.19.0.7
3.003884000,66,172.19.0.7,172.19.0.8
3.004677000,74,172.19.0.7,172.19.0.6
3.004894000,66,172.19.0.6,172.19.0.7
4.003357000,74,172.19.0.8,172.19.0.7
4.003383000,66,172.19.0.7,172.19.0.8
4.003824000,74,172.19.0.7,172.19.0.6
4.004118000,66,172.19.0.6,172.19.0.7
5.007992000,74,172.19.0.8,172.19.0.7
5.008030000,66,172.19.0.7,172.19.0.8
5.008574000,74,172.19.0.7,172.19.0.6
5.008714000,66,172.19.0.6,172.19.0.7
5.186194000,42,,
5.186209000,42,,
6.008014000,74,172.19.0.8,172.19.0.7
6.008061000,66,172.19.0.7,172.19.0.8
6.008859000,74,172.19.0.7,172.19.0.6
6.009025000,66,172.19.0.6,172.19.0.7
7.007561000,74,172.19.0.8,172.19.0.7
7.007605000,66,172.19.0.7,172.19.0.8
7.008018000,74,172.19.0.7,172.19.0.6
7.008155000,66,172.19.0.6,172.19.0.7
8.009615000,74,172.19.0.8,172.19.0.7
8.009643000,66,172.19.0.7,172.19.0.8
8.009957000,74,172.19.0.7,172.19.0.6
8.010437000,66,172.19.0.6,172.19.0.7
9.009714000,74,172.19.0.8,172.19.0.7
9.009743000,66,172.19.0.7,172.19.0.8
9.012214000,74,172.19.0.7,172.19.0.6
9.012385000,66,172.19.0.6,172.19.0.7
10.010677000,74,172.19.0.8,172.19.0.7
10.010711000,66,172.19.0.7,172.19.0.8
10.011137000,74,172.19.0.7,172.19.0.6
10.011284000,66,172.19.0.6,172.19.0.7
11.011977000,73,172.19.0.8,172.19.0.7
11.012004000,66,172.19.0.7,172.19.0.8
11.012414000,73,172.19.0.7,172.19.0.6
11.012504000,66,172.19.0.6,172.19.0.7
12.013202000,74,172.19.0.8,172.19.0.7
12.013228000,66,172.19.0.7,172.19.0.8
12.013986000,74,172.19.0.7,172.19.0.6
12.014107000,66,172.19.0.6,172.19.0.7
12.097892000,42,,
12.098040000,42,,
13.013678000,74,172.19.0.8,172.19.0.7
13.013702000,66,172.19.0.7,172.19.0.8
13.014167000,74,172.19.0.7,172.19.0.6
13.014377000,66,172.19.0.6,172.19.0.7
14.014251000,74,172.19.0.8,172.19.0.7
14.014539000,66,172.19.0.7,172.19.0.8
14.015855000,74,172.19.0.7,172.19.0.6
14.016101000,66,172.19.0.6,172.19.0.7
15.015508000,74,172.19.0.8,172.19.0.7
15.015535000,66,172.19.0.7,172.19.0.8
15.015857000,74,172.19.0.7,172.19.0.6
15.015987000,66,172.19.0.6,172.19.0.7
16.015427000,74,172.19.0.8,172.19.0.7
16.015455000,66,172.19.0.7,172.19.0.8
16.016314000,74,172.19.0.7,172.19.0.6
16.016480000,66,172.19.0.6,172.19.0.7
17.016958000,74,172.19.0.8,172.19.0.7
17.017000000,66,172.19.0.7,172.19.0.8
17.017554000,74,172.19.0.7,172.19.0.6
17.017719000,66,172.19.0.6,172.19.0.7
18.017257000,74,172.19.0.8,172.19.0.7
18.017329000,66,172.19.0.7,172.19.0.8
18.018489000,74,172.19.0.7,172.19.0.6
18.018604000,66,172.19.0.6,172.19.0.7
19.018714000,74,172.19.0.8,172.19.0.7
19.018742000,66,172.19.0.7,172.19.0.8
19.019012000,74,172.19.0.7,172.19.0.6
19.019208000,66,172.19.0.6,172.19.0.7
20.019444000,74,172.19.0.8,172.19.0.7
20.019469000,66,172.19.0.7,172.19.0.8
20.021060000,74,172.19.0.7,172.19.0.6
20.021206000,66,172.19.0.6,172.19.0.7
21.022773000,74,172.19.0.8,172.19.0.7
21.022816000,66,172.19.0.7,172.19.0.8
21.023363000,74,172.19.0.7,172.19.0.6
21.023475000,66,172.19.0.6,172.19.0.7
21.326668000,68,172.19.0.6,172.19.0.7
21.326912000,68,172.19.0.7,172.19.0.6
21.327065000,66,172.19.0.6,172.19.0.7
22.023385000,74,172.19.0.8,172.19.0.7
22.023426000,66,172.19.0.7,172.19.0.8
22.023779000,74,172.19.0.7,172.19.0.6
22.023912000,66,172.19.0.6,172.19.0.7
23.023342000,74,172.19.0.8,172.19.0.7
23.023368000,66,172.19.0.7,172.19.0.8
23.023899000,74,172.19.0.7,172.19.0.6
23.024165000,66,172.19.0.6,172.19.0.7
24.024313000,73,172.19.0.8,172.19.0.7
24.024348000,66,172.19.0.7,172.19.0.8
24.024900000,73,172.19.0.7,172.19.0.6
24.025073000,66,172.19.0.6,172.19.0.7
25.025384000,74,172.19.0.8,172.19.0.7
25.025443000,66,172.19.0.7,172.19.0.8
25.025883000,74,172.19.0.7,172.19.0.6
25.026012000,66,172.19.0.6,172.19.0.7
26.026647000,74,172.19.0.8,172.19.0.7
26.026694000,66,172.19.0.7,172.19.0.8
26.027306000,74,172.19.0.7,172.19.0.6
26.027397000,66,172.19.0.6,172.19.0.7
26.329894000,68,172.19.0.7,172.19.0.8
26.330298000,68,172.19.0.8,172.19.0.7
26.330321000,66,172.19.0.7,172.19.0.8
26.435257000,42,,
26.435288000,42,,
27.027817000,74,172.19.0.8,172.19.0.7
27.028039000,66,172.19.0.7,172.19.0.8
27.028472000,74,172.19.0.7,172.19.0.6
27.028598000,66,172.19.0.6,172.19.0.7
28.028707000,74,172.19.0.8,172.19.0.7
28.028734000,66,172.19.0.7,172.19.0.8
28.029330000,74,172.19.0.7,172.19.0.6
28.029437000,66,172.19.0.6,172.19.0.7
29.029605000,74,172.19.0.8,172.19.0.7
29.029669000,66,172.19.0.7,172.19.0.8
29.030389000,74,172.19.0.7,172.19.0.6
29.030686000,66,172.19.0.6,172.19.0.7
30.030505000,74,172.19.0.8,172.19.0.7
30.030532000,66,172.19.0.7,172.19.0.8
30.030980000,74,172.19.0.7,172.19.0.6
30.031128000,66,172.19.0.6,172.19.0.7
31.031844000,74,172.19.0.8,172.19.0.7
31.031870000,66,172.19.0.7,172.19.0.8
31.032257000,74,172.19.0.7,172.19.0.6
31.032418000,66,172.19.0.6,172.19.0.7
32.033212000,74,172.19.0.8,172.19.0.7
32.033268000,66,172.19.0.7,172.19.0.8
32.034158000,74,172.19.0.7,172.19.0.6
32.034281000,66,172.19.0.6,172.19.0.7
33.033887000,74,172.19.0.8,172.19.0.7
33.034081000,66,172.19.0.7,172.19.0.8
33.034559000,74,172.19.0.7,172.19.0.6
33.034678000,66,172.19.0.6,172.19.0.7
34.034950000,73,172.19.0.8,172.19.0.7
34.034975000,66,172.19.0.7,172.19.0.8
34.036337000,73,172.19.0.7,172.19.0.6
34.036507000,66,172.19.0.6,172.19.0.7
35.037389000,74,172.19.0.8,172.19.0.7
35.037417000,66,172.19.0.7,172.19.0.8
35.037863000,74,172.19.0.7,172.19.0.6
35.038080000,66,172.19.0.6,172.19.0.7
36.038042000,74,172.19.0.8,172.19.0.7
36.038069000,66,172.19.0.7,172.19.0.8
36.038520000,74,172.19.0.7,172.19.0.6
36.038716000,66,172.19.0.6,172.19.0.7
37.039536000,73,172.19.0.8,172.19.0.7
37.039625000,66,172.19.0.7,172.19.0.8
37.039995000,73,172.19.0.7,172.19.0.6
37.040085000,66,172.19.0.6,172.19.0.7
38.040889000,74,172.19.0.8,172.19.0.7
38.040916000,66,172.19.0.7,172.19.0.8
38.041301000,74,172.19.0.7,172.19.0.6
38.041453000,66,172.19.0.6,172.19.0.7
39.041145000,74,172.19.0.8,172.19.0.7
39.041217000,66,172.19.0.7,172.19.0.8
39.041645000,74,172.19.0.7,172.19.0.6
39.041817000,66,172.19.0.6,172.19.0.7
40.042095000,74,172.19.0.8,172.19.0.7
40.042121000,66,172.19.0.7,172.19.0.8
40.042578000,74,172.19.0.7,172.19.0.6
40.042776000,66,172.19.0.6,172.19.0.7
41.043115000,74,172.19.0.8,172.19.0.7
41.043142000,66,172.19.0.7,172.19.0.8
41.043580000,74,172.19.0.7,172.19.0.6
41.043821000,66,172.19.0.6,172.19.0.7
42.043258000,74,172.19.0.8,172.19.0.7
42.043282000,66,172.19.0.7,172.19.0.8
42.043710000,74,172.19.0.7,172.19.0.6
42.043847000,66,172.19.0.6,172.19.0.7
43.044951000,74,172.19.0.8,172.19.0.7
43.044974000,66,172.19.0.7,172.19.0.8
43.045486000,74,172.19.0.7,172.19.0.6
43.045616000,66,172.19.0.6,172.19.0.7
44.046302000,74,172.19.0.8,172.19.0.7
44.046329000,66,172.19.0.7,172.19.0.8
44.046817000,74,172.19.0.7,172.19.0.6
44.047142000,66,172.19.0.6,172.19.0.7
45.047779000,74,172.19.0.8,172.19.0.7
45.047837000,66,172.19.0.7,172.19.0.8
45.048578000,74,172.19.0.7,172.19.0.6
45.048745000,66,172.19.0.6,172.19.0.7
46.047765000,73,172.19.0.8,172.19.0.7
46.047789000,66,172.19.0.7,172.19.0.8
