frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,42,,
0.000049000,42,,
0.000083000,42,,
0.000142000,42,,
43.573222000,76,172.19.0.4,172.19.0.2
43.573346000,66,172.19.0.2,172.19.0.4
43.573703000,76,172.19.0.2,172.19.0.3
43.573891000,66,172.19.0.3,172.19.0.2
44.575926000,76,172.19.0.4,172.19.0.2
44.575991000,66,172.19.0.2,172.19.0.4
44.576467000,76,172.19.0.2,172.19.0.3
44.576724000,66,172.19.0.3,172.19.0.2
45.574994000,76,172.19.0.4,172.19.0.2
45.575019000,66,172.19.0.2,172.19.0.4
45.575794000,76,172.19.0.2,172.19.0.3
45.576092000,66,172.19.0.3,172.19.0.2
46.575685000,76,172.19.0.4,172.19.0.2
46.575728000,66,172.19.0.2,172.19.0.4
46.577046000,76,172.19.0.2,172.19.0.3
46.577202000,66,172.19.0.3,172.19.0.2
47.577249000,76,172.19.0.4,172.19.0.2
47.577277000,66,172.19.0.2,172.19.0.4
47.577789000,76,172.19.0.2,172.19.0.3
47.578098000,66,172.19.0.3,172.19.0.2
48.579573000,76,172.19.0.4,172.19.0.2
48.579612000,66,172.19.0.2,172.19.0.4
48.579981000,76,172.19.0.2,172.19.0.3
48.580075000,66,172.19.0.3,172.19.0.2
48.635476000,42,,
48.635563000,42,,
48.635577000,42,,
48.635731000,42,,
48.985200000,68,172.19.0.3,172.19.0.2
48.985621000,68,172.19.0.2,172.19.0.3
48.985895000,66,172.19.0.3,172.19.0.2
49.587031000,76,172.19.0.4,172.19.0.2
49.587069000,66,172.19.0.2,172.19.0.4
49.587964000,76,172.19.0.2,172.19.0.3
49.588052000,66,172.19.0.3,172.19.0.2
50.581206000,76,172.19.0.4,172.19.0.2
50.581267000,66,172.19.0.2,172.19.0.4
50.582285000,76,172.19.0.2,172.19.0.3
50.582527000,66,172.19.0.3,172.19.0.2
51.585573000,76,172.19.0.4,172.19.0.2
51.585635000,66,172.19.0.2,172.19.0.4
51.586915000,76,172.19.0.2,172.19.0.3
51.586997000,66,172.19.0.3,172.19.0.2
52.586664000,76,172.19.0.4,172.19.0.2
52.586708000,66,172.19.0.2,172.19.0.4
52.587144000,76,172.19.0.2,172.19.0.3
52.587594000,66,172.19.0.3,172.19.0.2
52.988171000,70,,
53.590642000,76,172.19.0.4,172.19.0.2
53.590668000,66,172.19.0.2,172.19.0.4
53.592388000,76,172.19.0.2,172.19.0.3
