frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,68,172.19.0.3,172.19.0.2
0.000379000,68,172.19.0.2,172.19.0.3
0.000796000,66,172.19.0.3,172.19.0.2
3.936409000,68,172.19.0.2,172.19.0.4
3.937143000,68,172.19.0.4,172.19.0.2
3.937170000,66,172.19.0.2,172.19.0.4
5.008067000,42,,
5.008143000,42,,
5.008154000,42,,
5.008163000,42,,
9.103981000,42,,
9.104045000,42,,
9.104119000,42,,
9.104130000,42,,
13.488301000,73,172.19.0.4,172.19.0.2
13.488402000,66,172.19.0.2,172.19.0.4
13.488726000,73,172.19.0.2,172.19.0.3
13.488881000,66,172.19.0.3,172.19.0.2
14.487441000,74,172.19.0.4,172.19.0.2
14.487468000,66,172.19.0.2,172.19.0.4
14.488016000,74,172.19.0.2,172.19.0.3
14.488164000,66,172.19.0.3,172.19.0.2
15.489644000,74,172.19.0.4,172.19.0.2
15.489671000,66,172.19.0.2,172.19.0.4
15.490171000,74,172.19.0.2,172.19.0.3
15.490373000,66,172.19.0.3,172.19.0.2
16.493482000,74,172.19.0.4,172.19.0.2
16.493509000,66,172.19.0.2,172.19.0.4
16.495029000,74,172.19.0.2,172.19.0.3
16.495192000,66,172.19.0.3,172.19.0.2
17.492223000,74,172.19.0.4,172.19.0.2
17.492251000,66,172.19.0.2,172.19.0.4
17.495368000,74,172.19.0.2,172.19.0.3
17.495462000,66,172.19.0.3,172.19.0.2
18.495032000,74,172.19.0.4,172.19.0.2
18.495061000,66,172.19.0.2,172.19.0.4
18.495424000,74,172.19.0.2,172.19.0.3
18.495616000,66,172.19.0.3,172.19.0.2
19.493090000,74,172.19.0.4,172.19.0.2
19.493117000,66,172.19.0.2,172.19.0.4
19.493424000,74,172.19.0.2,172.19.0.3
19.493543000,66,172.19.0.3,172.19.0.2
20.493406000,74,172.19.0.4,172.19.0.2
20.493433000,66,172.19.0.2,172.19.0.4
20.494031000,74,172.19.0.2,172.19.0.3
20.494236000,66,172.19.0.3,172.19.0.2
21.494904000,74,172.19.0.4,172.19.0.2
21.494938000,66,172.19.0.2,172.19.0.4
21.495370000,74,172.19.0.2,172.19.0.3
