"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.19.0.8","172.19.0.7","TCP","80","56716  >  8088 [PSH, ACK] Seq=1 Ack=1 Win=502 Len=14 TSval=2463236738 TSecr=2801550400"
"2","0.030754","172.19.0.7","172.19.0.6","TCP","80","48876  >  8088 [PSH, ACK] Seq=1 Ack=1 Win=502 Len=14 TSval=2398514536 TSecr=1216039258"
"3","0.032412","172.19.0.7","172.19.0.8","TCP","71","8088  >  56716 [PSH, ACK] Seq=1 Ack=15 Win=509 Len=5 TSval=2801565080 TSecr=2463236738"
"4","0.032530","172.19.0.8","172.19.0.7","TCP","66","56716  >  8088 [ACK] Seq=15 Ack=6 Win=502 Len=0 TSval=2463236771 TSecr=2801565080"
"5","0.046358","172.19.0.6","172.19.0.7","TCP","71","8088  >  48876 [PSH, ACK] Seq=1 Ack=15 Win=509 Len=5 TSval=1216053952 TSecr=2398514536"
"6","0.046448","172.19.0.7","172.19.0.6","TCP","66","48876  >  8088 [ACK] Seq=15 Ack=6 Win=502 Len=0 TSval=2398514552 TSecr=1216053952"
"7","2.457347","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=6 Ack=15 Win=509 Len=15 TSval=1216056363 TSecr=2398514552"
"8","2.457416","172.19.0.7","172.19.0.6","TCP","66","48876  >  8088 [ACK] Seq=15 Ack=21 Win=502 Len=0 TSval=2398516963 TSecr=1216056363"
"9","2.457724","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=6 Ack=15 Win=509 Len=15 TSval=2801567505 TSecr=2463236771"
"10","2.457868","172.19.0.8","172.19.0.7","TCP","66","56716  >  8088 [ACK] Seq=15 Ack=21 Win=502 Len=0 TSval=2463239196 TSecr=2801567505"
"11","2.457987","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=15 Ack=21 Win=502 Len=4 TSval=2398516964 TSecr=1216056363 [TCP segment of a reassembled PDU]"
"12","2.459617","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=15 Ack=21 Win=502 Len=4 TSval=2463239198 TSecr=2801567505 [TCP segment of a reassembled PDU]"
"13","2.499205","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=21 Ack=19 Win=509 Len=0 TSval=1216056405 TSecr=2398516964"
"14","2.503150","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=21 Ack=19 Win=509 Len=0 TSval=2801567551 TSecr=2463239198"
"15","3.457539","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=21 Ack=19 Win=509 Len=15 TSval=1216057363 TSecr=2398516964"
"16","3.457599","172.19.0.7","172.19.0.6","TCP","66","48876  >  8088 [ACK] Seq=19 Ack=36 Win=502 Len=0 TSval=2398517963 TSecr=1216057363"
"17","3.457790","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=21 Ack=19 Win=509 Len=15 TSval=2801568505 TSecr=2463239198"
"18","3.457884","172.19.0.8","172.19.0.7","TCP","66","56716  >  8088 [ACK] Seq=19 Ack=36 Win=502 Len=0 TSval=2463240196 TSecr=2801568505"
"19","3.458118","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=19 Ack=36 Win=502 Len=4 TSval=2463240197 TSecr=2801568505 [TCP segment of a reassembled PDU]"
"20","3.458295","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=36 Ack=23 Win=509 Len=0 TSval=2801568506 TSecr=2463240197"
"21","3.458346","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=19 Ack=36 Win=502 Len=4 TSval=2398517964 TSecr=1216057363 [TCP segment of a reassembled PDU]"
"22","3.458411","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=36 Ack=23 Win=509 Len=0 TSval=1216057364 TSecr=2398517964"
"23","4.459465","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=36 Ack=23 Win=509 Len=15 TSval=1216058365 TSecr=2398517964"
"24","4.459859","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=36 Ack=23 Win=509 Len=15 TSval=2801569507 TSecr=2463240197"
"25","4.459976","172.19.0.8","172.19.0.7","TCP","66","56716  >  8088 [ACK] Seq=23 Ack=51 Win=502 Len=0 TSval=2463241198 TSecr=2801569507"
"26","4.460020","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=23 Ack=51 Win=502 Len=4 TSval=2398518966 TSecr=1216058365 [TCP segment of a reassembled PDU]"
"27","4.460228","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=51 Ack=27 Win=509 Len=0 TSval=1216058366 TSecr=2398518966"
"28","4.461032","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=23 Ack=51 Win=502 Len=4 TSval=2463241199 TSecr=2801569507 [TCP segment of a reassembled PDU]"
"29","4.461056","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=51 Ack=27 Win=509 Len=0 TSval=2801569509 TSecr=2463241199"
"30","5.459638","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=51 Ack=27 Win=509 Len=15 TSval=1216059365 TSecr=2398518966"
"31","5.460049","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=51 Ack=27 Win=509 Len=15 TSval=2801570508 TSecr=2463241199"
"32","5.460222","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=27 Ack=66 Win=502 Len=4 TSval=2398519966 TSecr=1216059365 [TCP segment of a reassembled PDU]"
"33","5.460399","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=66 Ack=31 Win=509 Len=0 TSval=1216059366 TSecr=2398519966"
"34","5.460509","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=27 Ack=66 Win=502 Len=4 TSval=2463242199 TSecr=2801570508 [TCP segment of a reassembled PDU]"
"35","5.460562","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=66 Ack=31 Win=509 Len=0 TSval=2801570508 TSecr=2463242199"
"36","6.459652","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=66 Ack=31 Win=509 Len=15 TSval=1216060365 TSecr=2398519966"
"37","6.460039","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=66 Ack=31 Win=509 Len=15 TSval=2801571508 TSecr=2463242199"
