frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,42,,
0.000017000,42,,
0.000050000,42,,
0.000065000,42,,
0.000225000,42,,
0.000243000,42,,
9.696529000,80,172.19.0.5,172.19.0.4
9.729518000,80,172.19.0.4,172.19.0.2
9.731184000,71,172.19.0.4,172.19.0.5
9.731314000,66,172.19.0.5,172.19.0.4
9.746623000,71,172.19.0.2,172.19.0.4
9.746675000,66,172.19.0.4,172.19.0.2
12.060776000,81,172.19.0.2,172.19.0.4
12.060883000,66,172.19.0.4,172.19.0.2
12.061133000,81,172.19.0.4,172.19.0.5
12.061297000,66,172.19.0.5,172.19.0.4
12.061341000,70,172.19.0.4,172.19.0.2
12.061799000,70,172.19.0.5,172.19.0.4
12.103731000,66,172.19.0.4,172.19.0.5
12.103793000,66,172.19.0.2,172.19.0.4
13.061079000,81,172.19.0.2,172.19.0.4
13.061147000,66,172.19.0.4,172.19.0.2
13.061400000,81,172.19.0.4,172.19.0.5
13.061494000,66,172.19.0.5,172.19.0.4
13.061531000,70,172.19.0.4,172.19.0.2
13.061595000,66,172.19.0.2,172.19.0.4
13.061848000,70,172.19.0.5,172.19.0.4
13.061868000,66,172.19.0.4,172.19.0.5
14.061937000,81,172.19.0.2,172.19.0.4
14.062069000,66,172.19.0.4,172.19.0.2
14.062284000,81,172.19.0.4,172.19.0.5
14.062531000,70,172.19.0.4,172.19.0.2
14.062882000,66,172.19.0.2,172.19.0.4
14.063215000,70,172.19.0.5,172.19.0.4
14.063746000,66,172.19.0.4,172.19.0.5
15.062575000,81,172.19.0.2,172.19.0.4
15.063449000,81,172.19.0.4,172.19.0.5
15.063600000,70,172.19.0.4,172.19.0.2
15.063707000,66,172.19.0.2,172.19.0.4
15.063989000,70,172.19.0.5,172.19.0.4
15.064014000,66,172.19.0.4,172.19.0.5
16.062881000,81,172.19.0.2,172.19.0.4
16.063538000,81,172.19.0.4,172.19.0.5
16.064497000,70,172.19.0.5,172.19.0.4
16.064518000,66,172.19.0.4,172.19.0.5
16.064688000,70,172.19.0.4,172.19.0.2
16.064784000,66,172.19.0.2,172.19.0.4
17.065224000,81,172.19.0.2,172.19.0.4
17.065559000,81,172.19.0.4,172.19.0.5
17.065733000,70,172.19.0.4,172.19.0.2
17.065896000,66,172.19.0.2,172.19.0.4
17.066440000,70,172.19.0.5,172.19.0.4
17.066465000,66,172.19.0.4,172.19.0.5
18.065219000,81,172.19.0.2,172.19.0.4
18.065571000,81,172.19.0.4,172.19.0.5
18.065724000,70,172.19.0.4,172.19.0.2
18.065825000,66,172.19.0.2,172.19.0.4
18.066045000,70,172.19.0.5,172.19.0.4
18.066094000,66,172.19.0.4,172.19.0.5
19.066517000,81,172.19.0.2,172.19.0.4
19.066714000,81,172.19.0.4,172.19.0.5
19.066801000,70,172.19.0.4,172.19.0.2
19.066946000,66,172.19.0.2,172.19.0.4
19.068152000,70,172.19.0.5,172.19.0.4
19.068239000,66,172.19.0.4,172.19.0.5
20.068629000,80,172.19.0.2,172.19.0.4
20.069068000,80,172.19.0.4,172.19.0.5
20.069203000,70,172.19.0.4,172.19.0.2
20.069414000,66,172.19.0.2,172.19.0.4
20.070226000,70,172.19.0.5,172.19.0.4
20.070318000,66,172.19.0.4,172.19.0.5
21.068654000,81,172.19.0.2,172.19.0.4
21.069215000,81,172.19.0.4,172.19.0.5
21.069419000,70,172.19.0.4,172.19.0.2
21.069613000,66,172.19.0.2,172.19.0.4
21.070202000,70,172.19.0.5,172.19.0.4
21.070260000,66,172.19.0.4,172.19.0.5
22.071652000,81,172.19.0.2,172.19.0.4
22.072106000,81,172.19.0.4,172.19.0.5
22.072317000,70,172.19.0.4,172.19.0.2
22.072504000,66,172.19.0.2,172.19.0.4
22.073127000,70,172.19.0.5,172.19.0.4
22.073149000,66,172.19.0.4,172.19.0.5
23.073139000,81,172.19.0.2,172.19.0.4
23.073868000,81,172.19.0.4,172.19.0.5
23.074054000,70,172.19.0.4,172.19.0.2
23.074302000,66,172.19.0.2,172.19.0.4
23.074575000,70,172.19.0.5,172.19.0.4
23.074619000,66,172.19.0.4,172.19.0.5
24.073001000,81,172.19.0.2,172.19.0.4
24.073611000,81,172.19.0.4,172.19.0.5
24.074052000,70,172.19.0.5,172.19.0.4
24.074099000,66,172.19.0.4,172.19.0.5
24.074684000,70,172.19.0.4,172.19.0.2
24.074906000,66,172.19.0.2,172.19.0.4
25.074705000,81,172.19.0.2,172.19.0.4
25.075267000,81,172.19.0.4,172.19.0.5
25.075391000,70,172.19.0.4,172.19.0.2
25.075820000,66,172.19.0.2,172.19.0.4
